"country","league","season","squad","expenditure_euros","income_euros","avg_age_out","avg_age_in","Country","Year"
"Spain","LaLiga","FC Barcelona","FC Barcelona",3.03e+08,154400000,23.9,23.2,"Spain",2019
"Spain","LaLiga","FC Barcelona","Atlético de Madrid",247350000,316300000,25.1,24,"Spain",2019
"Spain","LaLiga","FC Barcelona","Real Madrid",355500000,136800000,22.4,22.1,"Spain",2019
"Spain","LaLiga","FC Barcelona","Getafe CF",21500000,11250000,27.1,26,"Spain",2019
"Spain","LaLiga","FC Barcelona","Valencia CF",7.5e+07,56300000,24.4,24.5,"Spain",2019
"Spain","LaLiga","FC Barcelona","Sevilla FC",188730000,131400000,25.7,24.8,"Spain",2019
"Spain","LaLiga","FC Barcelona","Athletic Bilbao",0,0,27.4,23.9,"Spain",2019
"Spain","LaLiga","FC Barcelona","Real Sociedad",31750000,9500000,25,22.7,"Spain",2019
"Spain","LaLiga","FC Barcelona","RCD Espanyol Barcelona",61500000,6.1e+07,27.1,24.8,"Spain",2019
"Spain","LaLiga","FC Barcelona","Deportivo Alavés",11770000,22500000,24.7,24.6,"Spain",2019
"Spain","LaLiga","FC Barcelona","SD Eibar",17300000,2.7e+07,25,25.4,"Spain",2019
"Spain","LaLiga","FC Barcelona","CD Leganés",16450000,40820000,24.5,23.7,"Spain",2019
"Spain","LaLiga","FC Barcelona","Real Betis Balompié",96450000,7.2e+07,24.8,24.7,"Spain",2019
"Spain","LaLiga","FC Barcelona","Villarreal CF",43800000,69300000,26.7,25.3,"Spain",2019
"Spain","LaLiga","FC Barcelona","Levante UD",14600000,14900000,25.4,25.8,"Spain",2019
"Spain","LaLiga","FC Barcelona","Real Valladolid CF",1400000,8e+06,24.9,23.5,"Spain",2019
"Spain","LaLiga","FC Barcelona","Celta de Vigo",24600000,40650000,25.8,25.6,"Spain",2019
"Spain","LaLiga","FC Barcelona","CA Osasuna",14450000,3e+05,25.6,25.3,"Spain",2019
"Spain","LaLiga","FC Barcelona","Granada CF",11240000,3e+05,26.2,25.1,"Spain",2019
"Spain","LaLiga","FC Barcelona","RCD Mallorca",7500000,0,24.5,24.6,"Spain",2019
"Spain","LaLiga","Real Madrid","Real Madrid",0,108200000,22.7,21.7,"Spain",2020
