"comp_name","country","comp_url","player_name","player_url","position","nationality","second_nationality","current_club","contract_expiry","contract_option","player_market_value","transfer_fee","agent","Country","Year"
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Mikel Merino","https://www.transfermarkt.com/mikel-merino/profil/spieler/338424","Central Midfield","Spain",NA,"Real Sociedad",2025-06-30,"-",5e+07,1.2e+07,"Bahía Internacional","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Unai Simón","https://www.transfermarkt.com/unai-simon/profil/spieler/262396","Goalkeeper","Spain",NA,"Athletic Bilbao",2025-06-30,"-",2.5e+07,NA,"CAA Stellar","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Ferland Mendy","https://www.transfermarkt.com/ferland-mendy/profil/spieler/291417","Left-Back","France","Senegal","Real Madrid",2025-06-30,"-",2e+07,4.8e+07,"FAIR SPORT MNG","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Youssef En-Nesyri","https://www.transfermarkt.com/youssef-en-nesyri/profil/spieler/433049","Centre-Forward","Morocco",NA,"Sevilla FC",2025-06-30,"-",1.8e+07,2e+07,"11MANGMT","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","İlkay Gündoğan","https://www.transfermarkt.com/ilkay-gundogan/profil/spieler/53622","Central Midfield","Germany",NA,"FC Barcelona",2025-06-30,"both parties 1 year",1.6e+07,0,"KIN Partners","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Andriy Lunin","https://www.transfermarkt.com/andriy-lunin/profil/spieler/404839","Goalkeeper","Ukraine",NA,"Real Madrid",2025-06-30,"-",1.6e+07,8500000,"Gestifute","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Álvaro Valles","https://www.transfermarkt.com/alvaro-valles/profil/spieler/417913","Goalkeeper","Spain",NA,"UD Las Palmas",2025-06-30,"-",1.5e+07,NA,"YOU FIRST","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Isaac Romero","https://www.transfermarkt.com/isaac-romero/profil/spieler/687609","Centre-Forward","Spain",NA,"Sevilla FC",2025-06-30,"-",1.5e+07,NA,"Promoesport","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Lucas Ocampos","https://www.transfermarkt.com/lucas-ocampos/profil/spieler/189441","Left Winger","Argentina","Spain","Sevilla FC",2025-06-30,"-",1.2e+07,1.5e+07,"Interplayers","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Memphis Depay","https://www.transfermarkt.com/memphis-depay/profil/spieler/167850","Centre-Forward","Netherlands","Ghana","Atlético de Madrid",2025-06-30,"-",1.2e+07,3e+06,"TEAM DEPAY","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Daniel Carvajal","https://www.transfermarkt.com/daniel-carvajal/profil/spieler/138927","Right-Back","Spain",NA,"Real Madrid",2025-06-30,"-",1.2e+07,6500000,"Be Loyal by Ginés Carvajal","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Reinildo Mandava","https://www.transfermarkt.com/reinildo-mandava/profil/spieler/240692","Left-Back","Mozambique",NA,"Atlético de Madrid",2025-06-30,"-",1.2e+07,3e+06,"Blueprivate Investimentos Lda","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Koke","https://www.transfermarkt.com/koke/profil/spieler/74229","Central Midfield","Spain",NA,"Atlético de Madrid",2025-06-30,"Option for a further year",1.2e+07,NA,"Gesport Espizua SL","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Arnau Martínez","https://www.transfermarkt.com/arnau-martinez/profil/spieler/826224","Right-Back","Spain",NA,"Girona FC",2025-06-30,"-",1e+07,NA,"TRIPLE MATCH","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Yarek Gasiorowski","https://www.transfermarkt.com/yarek-gasiorowski/profil/spieler/895334","Centre-Back","Spain","Poland","Valencia CF",2025-06-30,"club option 2 years",1e+07,NA,"INVSPORT (Sergio Barila)","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Beñat Prados","https://www.transfermarkt.com/benat-prados/profil/spieler/625047","Central Midfield","Spain",NA,"Athletic Bilbao",2025-06-30,"-",8e+06,NA,"CAA Stellar","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Hamari Traoré","https://www.transfermarkt.com/hamari-traore/profil/spieler/297070","Right-Back","Mali",NA,"Real Sociedad",2025-06-30,"-",7500000,0,"LA PLAYERS","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Héctor Fort","https://www.transfermarkt.com/hector-fort/profil/spieler/937955","Right-Back","Spain",NA,"FC Barcelona",2025-06-30,"-",7500000,NA,"AC Talent","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Marc Guiu","https://www.transfermarkt.com/marc-guiu/profil/spieler/938158","Centre-Forward","Spain",NA,"FC Barcelona",2025-06-30,"-",7500000,NA,"IFM","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Iñigo Martínez","https://www.transfermarkt.com/inigo-martinez/profil/spieler/158863","Centre-Back","Spain",NA,"FC Barcelona",2025-06-30,"-",6e+06,0,"Carmelo Sánchez","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Aitor Ruibal","https://www.transfermarkt.com/aitor-ruibal/profil/spieler/378139","Right Winger","Spain",NA,"Real Betis Balompié",2025-06-30,"-",5e+06,NA,"JV SPORTS","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Marcos Acuña","https://www.transfermarkt.com/marcos-acuna/profil/spieler/60410","Left-Back","Argentina",NA,"Sevilla FC",2025-06-30,"-",5e+06,11250000,"Eleven Talent Group","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Jorge Cuenca","https://www.transfermarkt.com/jorge-cuenca/profil/spieler/494880","Centre-Back","Spain",NA,"Villarreal CF",2025-06-30,"-",5e+06,2500000,"InterStarDeporte","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Largie Ramazani","https://www.transfermarkt.com/largie-ramazani/profil/spieler/518644","Left Winger","Belgium","Burundi","UD Almería",2025-06-30,"-",5e+06,0,"Ramazani Mwanuke","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Javi López","https://www.transfermarkt.com/javi-lopez/profil/spieler/568158","Left-Back","Spain",NA,"Deportivo Alavés",2025-06-30,"-",5e+06,NA,"Gesport Espizua SL","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Marcos Acuña","https://www.transfermarkt.com/marcos-acuna/profil/spieler/60410","Left-Back","Argentina",NA,"Sevilla FC",2025-06-30,"-",5e+06,11250000,"Eleven Talent Group","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Jorge Cuenca","https://www.transfermarkt.com/jorge-cuenca/profil/spieler/494880","Centre-Back","Spain",NA,"Villarreal CF",2025-06-30,"-",5e+06,2500000,"InterStarDeporte","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Largie Ramazani","https://www.transfermarkt.com/largie-ramazani/profil/spieler/518644","Left Winger","Belgium","Burundi","UD Almería",2025-06-30,"-",5e+06,0,"Ramazani Mwanuke","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Martin Valjent","https://www.transfermarkt.com/martin-valjent/profil/spieler/277384","Centre-Back","Slovakia",NA,"RCD Mallorca",2025-06-30,"-",4500000,1500000,"20 Sport","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Luis Rioja","https://www.transfermarkt.com/luis-rioja/profil/spieler/278837","Left Winger","Spain",NA,"Deportivo Alavés",2025-06-30,"-",4e+06,2e+06,"Promoesport","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Saúl Coco","https://www.transfermarkt.com/saul-coco/profil/spieler/588426","Centre-Back","Equatorial Guinea","Spain","UD Las Palmas",2025-06-30,"-",4e+06,NA,"Promoesport","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Eric Bailly","https://www.transfermarkt.com/eric-bailly/profil/spieler/286384","Centre-Back","Cote d'Ivoire",NA,"Villarreal CF",2025-06-30,"-",3500000,0,"Rafaela Pimenta","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","César Azpilicueta","https://www.transfermarkt.com/cesar-azpilicueta/profil/spieler/57500","Right-Back","Spain",NA,"Atlético de Madrid",2025-06-30,"-",3e+06,0,"Relatives","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Iago Aspas","https://www.transfermarkt.com/iago-aspas/profil/spieler/72047","Centre-Forward","Spain",NA,"Celta de Vigo",2025-06-30,"-",3e+06,5300000,"","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Stefan Savic","https://www.transfermarkt.com/stefan-savic/profil/spieler/107010","Centre-Back","Montenegro","Serbia","Atlético de Madrid",2025-06-30,"-",3e+06,1.2e+07,"Zarko Pelicic","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Daley Blind","https://www.transfermarkt.com/daley-blind/profil/spieler/12282","Centre-Back","Netherlands","England","Girona FC",2025-06-30,"-",3e+06,0,"SEG","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Enzo Loiodice","https://www.transfermarkt.com/enzo-loiodice/profil/spieler/581781","Central Midfield","France",NA,"UD Las Palmas",2025-06-30,"-",3e+06,0,"2SAgency","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Iñigo Lekue","https://www.transfermarkt.com/inigo-lekue/profil/spieler/255501","Right-Back","Spain",NA,"Athletic Bilbao",2025-06-30,"-",3e+06,NA,"","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Djené","https://www.transfermarkt.com/djene/profil/spieler/221150","Centre-Back","Togo",NA,"Getafe CF",2025-06-30,"-",3e+06,2500000,"SPORTBACK","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Abdel Abqar","https://www.transfermarkt.com/abdel-abqar/profil/spieler/559979","Centre-Back","Morocco",NA,"Deportivo Alavés",2025-06-30,"-",3e+06,NA,"11MANGMT","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Rubén Peña","https://www.transfermarkt.com/ruben-pena/profil/spieler/238868","Right-Back","Spain",NA,"CA Osasuna",2025-06-30,"-",2500000,0,"","Spain",2025
"LaLiga","Spain","https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1","Carlos Neva","https://www.transfermarkt.com/carlos-neva/profil/spieler/448844","Left-Back","Spain",NA,"Granada CF",2025-06-30,"-",2500000,NA,"IS SPORTS AGENCY","Spain",2025
