"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played","Country","Year"
"Red Bull Salzburg","Bundesliga","Austria","2018","Arrivals","Karim Adeyemi","https://www.transfermarkt.com/karim-adeyemi/profil/spieler/496094","Left Winger","16","Germany","U'haching U19",NA,"Germany",10100000,FALSE,NA,"Summer",0,0,0,0,"Austria",2018
"Red Bull Salzburg","Bundesliga","Austria","2018","Arrivals","Jérôme Onguéné","https://www.transfermarkt.com/jerome-onguene/profil/spieler/272638","Centre-Back","20","Cameroon","VfB Stuttgart","Bundesliga","Germany",2e+06,FALSE,NA,"Summer",37,22,3,1877,"Austria",2018
"Red Bull Salzburg","Bundesliga","Austria","2018","Arrivals","Philipp Köhn","https://www.transfermarkt.com/philipp-kohn/profil/spieler/251322","Goalkeeper","20","Switzerland","RB Leipzig","Bundesliga","Germany",9e+05,FALSE,NA,"Summer",0,0,0,0,"Austria",2018
"Red Bull Salzburg","Bundesliga","Austria","2018","Arrivals","Jasper van der Werff","https://www.transfermarkt.com/jasper-van-der-werff/profil/spieler/322519","Centre-Back","19","Switzerland","FC St. Gallen","Super League","Switzerland",8e+05,FALSE,NA,"Summer",10,5,0,360,"Austria",2018
"Red Bull Salzburg","Bundesliga","Austria","2018","Arrivals","Darko Todorovic","https://www.transfermarkt.com/darko-todorovic/profil/spieler/293231","Right-Back","21","Bosnia-Herzegovina","Sloboda Tuzla","Wwin liga BiH","Bosnia-Herzegovina",450000,FALSE,NA,"Summer",33,14,0,994,"Austria",2018
"Red Bull Salzburg","Bundesliga","Austria","2018","Arrivals","Zlatko Junuzovic","https://www.transfermarkt.com/zlatko-junuzovic/profil/spieler/31007","Central Midfield","30","Austria","Werder Bremen","Bundesliga","Germany",0,FALSE,NA,"Summer",36,35,6,2568,"Austria",2018
"Red Bull Salzburg","Bundesliga","Austria","2018","Arrivals","Kilian Ludewig","https://www.transfermarkt.com/kilian-ludewig/profil/spieler/361516","Right-Back","18","Germany","RB Leipzig U19","U19-BL N/NE","Germany",0,FALSE,NA,"Summer",0,0,0,0,"Austria",2018
"Red Bull Salzburg","Bundesliga","Austria","2018","Arrivals","Ousmane Diakité","https://www.transfermarkt.com/ousmane-diakite/profil/spieler/402007","Defensive Midfield","18","Mali","Yeelen",NA,"Mali",NA,FALSE,"?","Summer",0,0,0,0,"Austria",2018
"Red Bull Salzburg","Bundesliga","Austria","2018","Arrivals","Enock Mwepu","https://www.transfermarkt.com/enock-mwepu/profil/spieler/490307","Central Midfield","20","Zambia","FC Liefering","2. Liga","Austria",NA,FALSE,"-","Summer",49,28,2,1329,"Austria",2018
"Red Bull Salzburg","Bundesliga","Austria","2018","Arrivals","Luca Meisl","https://www.transfermarkt.com/luca-meisl/profil/spieler/307641","Centre-Back","19","Austria","FC Liefering","2. Liga","Austria",NA,FALSE,"-","Summer",NA,NA,NA,NA,"Austria",2018
