"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played","Country","Year"
"KRC Genk","Jupiler Pro League","Belgium","2018","Arrivals","Joseph Paintsil","https://www.transfermarkt.com/joseph-paintsil/profil/spieler/534435","Right Winger","20","Ghana","Tema Youth",NA,"Ghana",3e+06,FALSE,NA,"Summer",45,37,5,1751,"Belgium",2018
"KRC Genk","Jupiler Pro League","Belgium","2018","Arrivals","Ivan Fiolic","https://www.transfermarkt.com/ivan-fiolic/profil/spieler/226070","Attacking Midfield","22","Croatia","Dinamo Zagreb","SuperSport HNL","Croatia",2500000,FALSE,NA,"Summer",13,8,0,230,"Belgium",2018
"KRC Genk","Jupiler Pro League","Belgium","2018","Arrivals","Jhon Lucumí","https://www.transfermarkt.com/jhon-lucumi/profil/spieler/413565","Centre-Back","20","Colombia","Deportivo Cali","Liga DIMAYOR II","Colombia",2500000,FALSE,NA,"Summer",36,27,0,2288,"Belgium",2018
"KRC Genk","Jupiler Pro League","Belgium","2018","Arrivals","Vladimir Screciu","https://www.transfermarkt.com/vladimir-screciu/profil/spieler/418219","Defensive Midfield","18","Romania","CS U Craiova","SuperLiga","Romania",2e+06,FALSE,NA,"Summer",0,0,0,0,"Belgium",2018
"KRC Genk","Jupiler Pro League","Belgium","2018","Arrivals","Jakub Piotrowski","https://www.transfermarkt.com/jakub-piotrowski/profil/spieler/377243","Defensive Midfield","20","Poland","Pogon Szczecin","Ekstraklasa","Poland",2e+06,FALSE,NA,"Summer",20,13,1,439,"Belgium",2018
"KRC Genk","Jupiler Pro League","Belgium","2018","Arrivals","Zinho Gano","https://www.transfermarkt.com/zinho-gano/profil/spieler/182446","Centre-Forward","24","Guinea-Bissau","KV Oostende","Jupiler Pro League","Belgium",1800000,FALSE,NA,"Summer",47,30,6,1091,"Belgium",2018
"KRC Genk","Jupiler Pro League","Belgium","2018","Arrivals","Dieumerci Ndongala","https://www.transfermarkt.com/dieumerci-ndongala/profil/spieler/103284","Right Winger","27","DR Congo","Standard Liège","Jupiler Pro League","Belgium",1350000,FALSE,NA,"Summer",52,43,6,2645,"Belgium",2018
"KRC Genk","Jupiler Pro League","Belgium","2018","Arrivals","José Naranjo","https://www.transfermarkt.com/jose-naranjo/profil/spieler/272679","Left Winger","23","Spain","CD Leganés","LaLiga","Spain",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Belgium",2018
"KRC Genk","Jupiler Pro League","Belgium","2018","Arrivals","Christophe Janssens","https://www.transfermarkt.com/christophe-janssens/profil/spieler/289564","Left-Back","20","Belgium","MVV Maastricht","Keuken Kampioen Divisie","Netherlands",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Belgium",2018
"KRC Genk","Jupiler Pro League","Belgium","2018","Departures","Omar Colley","https://www.transfermarkt.com/omar-colley/profil/spieler/174733","Centre-Back","25","The Gambia","Sampdoria","Serie A","Italy",9250000,FALSE,NA,"Summer",NA,NA,NA,NA,"Belgium",2018
"KRC Genk","Jupiler Pro League","Belgium","2018","Departures","Siebe Schrijvers","https://www.transfermarkt.com/siebe-schrijvers/profil/spieler/208552","Central Midfield","21","Belgium","Club Brugge","Jupiler Pro League","Belgium",3e+06,FALSE,NA,"Summer",NA,NA,NA,NA,"Belgium",2018
