"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played","Country","Year"
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","Esteban Pavez","https://www.transfermarkt.com/esteban-pavez/profil/spieler/131233","Defensive Midfield","28","Chile","Athletico-PR","Série A","Brazil",4e+05,FALSE,NA,"Summer",16,16,3,1440,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","Damián Pérez","https://www.transfermarkt.com/damian-perez/profil/spieler/71106","Left-Back","29","Argentina","Club Tijuana","Liga MX Apertura","Mexico",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","Lucas Barrios","https://www.transfermarkt.com/lucas-barrios/profil/spieler/58516","Centre-Forward","33","Paraguay","Argentinos Jrs.","Liga Profesional","Argentina",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","Danny Pérez","https://www.transfermarkt.com/danny-perez/profil/spieler/486842","Left Winger","18","Venezuela","La Serena","Primera B","Chile",NA,TRUE,"loan transfer","Summer",NA,NA,NA,NA,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","Christofer Gonzales","https://www.transfermarkt.com/christofer-gonzales/profil/spieler/250055","Attacking Midfield","25","Peru","Rosario FC","Liga 1 Clausura","Peru",NA,TRUE,"End of loan Jul 15, 2018","Summer",NA,NA,NA,NA,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Departures","Octavio Rivero","https://www.transfermarkt.com/octavio-rivero/profil/spieler/249211","Centre-Forward","26","Uruguay","Atlas","Liga MX Apertura","Mexico",3420000,FALSE,NA,"Summer",NA,NA,NA,NA,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Departures","Bryan Carvallo","https://www.transfermarkt.com/bryan-carvallo/profil/spieler/319463","Attacking Midfield","21","Chile","Necaxa","Liga MX Apertura","Mexico",515000,FALSE,NA,"Summer",NA,NA,NA,NA,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Departures","Christofer Gonzales","https://www.transfermarkt.com/christofer-gonzales/profil/spieler/250055","Attacking Midfield","25","Peru","FBC Melgar","Liga 1 Clausura","Peru",50000,TRUE,NA,"Summer",NA,NA,NA,NA,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Departures","Luciano Díaz","https://www.transfermarkt.com/luciano-diaz/profil/spieler/264830","Attacking Midfield","20","Chile","Colo Colo U21",NA,"Chile",NA,FALSE,"-","Summer",NA,NA,NA,NA,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","Gabriel Costa","https://www.transfermarkt.com/gabriel-costa/profil/spieler/203385","Right Winger","28","Peru","Sport. Cristal","Liga 1 Clausura","Peru",1150000,FALSE,NA,"Winter",31,27,8,1741,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","Javier Parraguez","https://www.transfermarkt.com/javier-parraguez/profil/spieler/181558","Centre-Forward","29","Chile","Huachipato","Primera División","Chile",650000,FALSE,NA,"Winter",30,26,8,1124,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","Ronald de la Fuente","https://www.transfermarkt.com/ronald-de-la-fuente/profil/spieler/191543","Left-Back","28","Chile","U. Concepción","Primera División","Chile",540000,FALSE,NA,"Winter",22,15,0,1259,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","Juan Carlos Gaete","https://www.transfermarkt.com/juan-carlos-gaete/profil/spieler/584007","Left Winger","21","Chile","Santa Cruz","Primera B","Chile",308000,FALSE,NA,"Winter",NA,NA,NA,NA,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","Pablo Mouche","https://www.transfermarkt.com/pablo-mouche/profil/spieler/17872","Left Winger","31","Argentina","Palmeiras","Série A","Brazil",0,FALSE,NA,"Winter",28,28,5,2216,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","Darío Melo","https://www.transfermarkt.com/dario-melo/profil/spieler/189797","Goalkeeper","25","Chile","Palestino","Primera División","Chile",0,FALSE,NA,"Winter",28,6,0,540,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","Agustín Ortiz","https://www.transfermarkt.com/agustin-ortiz/profil/spieler/663995","Centre-Back","19","Chile","Colo Colo U21",NA,"Chile",NA,FALSE,"-","Winter",11,0,0,0,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","Williams Alarcón","https://www.transfermarkt.com/williams-alarcon/profil/spieler/599552","Defensive Midfield","18","Chile","Colo Colo U21",NA,"Chile",NA,FALSE,"-","Winter",25,13,0,582,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","José Aguilera","https://www.transfermarkt.com/jose-aguilera/profil/spieler/602552","Left Winger","18","Chile","Colo Colo U21",NA,"Chile",NA,FALSE,"-","Winter",7,2,0,15,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","Marcos Bolados","https://www.transfermarkt.com/marcos-bolados/profil/spieler/265765","Right Winger","22","Chile","U. Católica","Primera División","Chile",NA,TRUE,"End of loan Dec 31, 2018","Winter",20,19,4,1069,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","Cristián Gutiérrez","https://www.transfermarkt.com/cristian-gutierrez/profil/spieler/385104","Left-Back","21","Canada","Huachipato","Primera División","Chile",NA,TRUE,"End of loan Dec 31, 2018","Winter",12,9,0,685,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","Christofer Gonzales","https://www.transfermarkt.com/christofer-gonzales/profil/spieler/250055","Attacking Midfield","26","Peru","FBC Melgar","Liga 1 Clausura","Peru",NA,TRUE,"End of loan Dec 31, 2018","Winter",NA,NA,NA,NA,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","Andrés Vilches","https://www.transfermarkt.com/andres-vilches/profil/spieler/89790","Centre-Forward","26","Chile","U. Católica","Primera División","Chile",NA,TRUE,"End of loan Dec 31, 2018","Winter",28,22,4,1051,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","Hardy Cavero","https://www.transfermarkt.com/hardy-cavero/profil/spieler/319464","Centre-Back","22","Chile","Antofagasta","Primera División","Chile",NA,TRUE,"End of loan Dec 31, 2018","Winter",NA,NA,NA,NA,"Chile",2018
"CSD Colo-Colo","Primera División de Chile","Chile","2018","Arrivals","Ángel Rojas","https://www.transfermarkt.com/angel-rojas/profil/spieler/523615","Centre-Back","21","Chile","Malleco",NA,"Chile",NA,TRUE,"End of loan Dec 31, 2018","Winter",NA,NA,NA,NA,"Chile",2018
