"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played","Country","Year"
"Junior FC","Liga Dimayor Apertura","Colombia","2018","Arrivals","Fabián Sambueza","https://www.transfermarkt.com/fabian-sambueza/profil/spieler/358015","Attacking Midfield","29","Argentina","Deportivo Cali","Liga DIMAYOR II","Colombia",NA,FALSE,"?","Summer",20,20,4,1359,"Colombia",2018
"Junior FC","Liga Dimayor Apertura","Colombia","2018","Arrivals","Iván Rivas","https://www.transfermarkt.com/ivan-rivas/profil/spieler/178119","Centre-Forward","30","Colombia","Patriotas","Liga DIMAYOR II","Colombia",NA,FALSE,"?","Summer",8,3,0,94,"Colombia",2018
"Junior FC","Liga Dimayor Apertura","Colombia","2018","Arrivals","Daniel Moreno","https://www.transfermarkt.com/daniel-moreno/profil/spieler/600842","Right Winger","23","Colombia","Barranquilla FC",NA,"Colombia",NA,FALSE,"?","Summer",51,43,3,2242,"Colombia",2018
"Junior FC","Liga Dimayor Apertura","Colombia","2018","Arrivals","Willer Ditta","https://www.transfermarkt.com/willer-ditta/profil/spieler/609255","Centre-Back","20","Colombia","Barranquilla FC",NA,"Colombia",NA,FALSE,"?","Summer",58,41,0,3426,"Colombia",2018
"Junior FC","Liga Dimayor Apertura","Colombia","2018","Arrivals","Edder Farías","https://www.transfermarkt.com/edder-farias/profil/spieler/140128","Centre-Forward","31","Venezuela","Atl. Venezuela","Torneo Clausura (- 2019)","Venezuela",NA,TRUE,"loan transfer","Summer",19,11,0,497,"Colombia",2018
"Junior FC","Liga Dimayor Apertura","Colombia","2018","Arrivals","Éder Castañeda","https://www.transfermarkt.com/eder-castaneda/profil/spieler/178109","Centre-Back","25","Colombia","CD América","Liga DIMAYOR II","Colombia",NA,TRUE,"loan transfer","Summer",NA,NA,NA,NA,"Colombia",2018
"Junior FC","Liga Dimayor Apertura","Colombia","2018","Arrivals","Luis Vásquez","https://www.transfermarkt.com/luis-vasquez/profil/spieler/325097","Goalkeeper","22","Colombia","Real Cartagena",NA,"Colombia",NA,TRUE,"loan transfer","Summer",NA,NA,NA,NA,"Colombia",2018
"Junior FC","Liga Dimayor Apertura","Colombia","2018","Arrivals","Léiner Escalante","https://www.transfermarkt.com/leiner-escalante/profil/spieler/171151","Left Winger","26","Colombia","Jaguares FC","Liga DIMAYOR II","Colombia",NA,TRUE,"End of loan Jun 30, 2018","Summer",8,4,0,91,"Colombia",2018
"Junior FC","Liga Dimayor Apertura","Colombia","2018","Arrivals","Lewis Ochoa","https://www.transfermarkt.com/lewis-ochoa/profil/spieler/76922","Right-Back","33","Colombia","A. Bucaramanga","Liga DIMAYOR II","Colombia",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Colombia",2018
"Junior FC","Liga Dimayor Apertura","Colombia","2018","Arrivals","Gulfran Támara","https://www.transfermarkt.com/gulfran-tamara/profil/spieler/452540","Centre-Back","22","Colombia","Barranquilla FC",NA,"Colombia",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Colombia",2018
