"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played","Country","Year"
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Arrivals","Lovro Majer","https://www.transfermarkt.com/lovro-majer/profil/spieler/387106","Attacking Midfield","20","Croatia","NK Lokomotiva","SuperSport HNL","Croatia",2500000,FALSE,NA,"Summer",17,11,1,690,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Arrivals","Mislav Orsic","https://www.transfermarkt.com/mislav-orsic/profil/spieler/119150","Left Winger","25","Croatia","Ulsan HD","K League 1","Korea, South",1e+06,FALSE,NA,"Summer",51,45,13,3224,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Arrivals","Emir Dilaver","https://www.transfermarkt.com/emir-dilaver/profil/spieler/80161","Centre-Back","27","Austria","Lech Poznan","Ekstraklasa","Poland",8e+05,FALSE,NA,"Summer",42,35,1,3040,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Arrivals","Damian Kadzior","https://www.transfermarkt.com/damian-kadzior/profil/spieler/199299","Right Winger","26","Poland","Górnik Zabrze","Ekstraklasa","Poland",4e+05,FALSE,NA,"Summer",50,41,8,2224,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Arrivals","Luka Menalo","https://www.transfermarkt.com/luka-menalo/profil/spieler/316047","Left Winger","21","Bosnia-Herzegovina","Siroki Brijeg","Wwin liga BiH","Bosnia-Herzegovina",4e+05,FALSE,NA,"Summer",15,12,0,400,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Arrivals","Marin Leovac","https://www.transfermarkt.com/marin-leovac/profil/spieler/51604","Left-Back","29","Croatia","PAOK Salonika","Super League 1","Greece",3e+05,FALSE,NA,"Summer",26,24,2,2009,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Arrivals","Kévin Théophile-Catherine","https://www.transfermarkt.com/kevin-theophile-catherine/profil/spieler/60603","Centre-Back","28","Martinique","Saint-Étienne","Ligue 1","France",0,FALSE,NA,"Summer",35,32,1,2898,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Arrivals","Sadegh Moharrami","https://www.transfermarkt.com/sadegh-moharrami/profil/spieler/294778","Right-Back","22","Iran","Persepolis","Persian Gulf Pro League","Iran",0,FALSE,NA,"Summer",30,22,0,1868,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Arrivals","Borna Petrovic","https://www.transfermarkt.com/borna-petrovic/profil/spieler/375859","Centre-Forward","20","Croatia","NK Lokomotiva","SuperSport HNL","Croatia",NA,FALSE,"?","Summer",0,0,0,0,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Arrivals","Bruno Petkovic","https://www.transfermarkt.com/bruno-petkovic/profil/spieler/256358","Centre-Forward","23","Croatia","Bologna","Serie A","Italy",NA,TRUE,"loan transfer","Summer",47,40,12,2219,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Arrivals","Antonio Marin","https://www.transfermarkt.com/antonio-marin/profil/spieler/371016","Left Winger","17","Croatia","Din. Zagreb U19",NA,"Croatia",NA,FALSE,"-","Summer",11,8,0,356,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Arrivals","Mario Situm","https://www.transfermarkt.com/mario-situm/profil/spieler/138741","Right Midfield","26","Croatia","Lech Poznan","Ekstraklasa","Poland",NA,TRUE,"End of loan Jun 30, 2018","Summer",35,24,2,1162,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Arrivals","Ivan Sunjic","https://www.transfermarkt.com/ivan-sunjic/profil/spieler/226097","Defensive Midfield","21","Croatia","NK Lokomotiva","SuperSport HNL","Croatia",NA,TRUE,"End of loan Jun 30, 2018","Summer",45,41,2,2871,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Arrivals","Adrian Semper","https://www.transfermarkt.com/adrian-semper/profil/spieler/317057","Goalkeeper","20","Croatia","NK Lokomotiva","SuperSport HNL","Croatia",NA,TRUE,"End of loan Jun 30, 2018","Summer",5,1,0,90,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Arrivals","Bojan Knezevic","https://www.transfermarkt.com/bojan-knezevic/profil/spieler/263324","Defensive Midfield","21","Croatia","NK Lokomotiva","SuperSport HNL","Croatia",NA,TRUE,"End of loan Jun 30, 2018","Summer",7,5,0,279,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Arrivals","Vinko Soldo","https://www.transfermarkt.com/vinko-soldo/profil/spieler/316936","Centre-Back","20","Croatia","Cibalia",NA,"Croatia",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Arrivals","Mario Musa","https://www.transfermarkt.com/mario-musa/profil/spieler/86633","Left-Back","28","Croatia","NK Lokomotiva","SuperSport HNL","Croatia",NA,TRUE,"End of loan Aug 13, 2018","Summer",20,15,1,1105,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Arrivals","Dejan Radonjic","https://www.transfermarkt.com/dejan-radonjic/profil/spieler/67856","Centre-Forward","27","Croatia","NK Lokomotiva","SuperSport HNL","Croatia",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Arrivals","Zvonko Pamic","https://www.transfermarkt.com/zvonko-pamic/profil/spieler/47624","Central Midfield","27","Croatia","Hrv Dragovoljac","Prva NL","Croatia",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Departures","Filip Benkovic","https://www.transfermarkt.com/filip-benkovic/profil/spieler/293168","Centre-Back","21","Croatia","Leicester","Premier League","England",14500000,FALSE,NA,"Summer",NA,NA,NA,NA,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Departures","Ante Coric","https://www.transfermarkt.com/ante-coric/profil/spieler/96630","Attacking Midfield","21","Croatia","AS Roma","Serie A","Italy",6e+06,FALSE,NA,"Summer",NA,NA,NA,NA,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Departures","Borna Sosa","https://www.transfermarkt.com/borna-sosa/profil/spieler/293194","Left-Back","20","Croatia","VfB Stuttgart","Bundesliga","Germany",6e+06,FALSE,NA,"Summer",NA,NA,NA,NA,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Departures","El Arbi Hillel Soudani","https://www.transfermarkt.com/el-arbi-hillel-soudani/profil/spieler/174842","Right Winger","30","Algeria","Nottm Forest","Championship","England",3e+06,FALSE,NA,"Summer",NA,NA,NA,NA,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Departures","Ivan Fiolic","https://www.transfermarkt.com/ivan-fiolic/profil/spieler/226070","Attacking Midfield","22","Croatia","KRC Genk","Jupiler Pro League","Belgium",2500000,FALSE,NA,"Summer",4,4,0,161,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Departures","Armin Hodzic","https://www.transfermarkt.com/armin-hodzic/profil/spieler/166753","Centre-Forward","23","Bosnia-Herzegovina","Fehérvár","NB I.","Hungary",1500000,FALSE,NA,"Summer",7,3,2,200,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Departures","Tongo Doumbia","https://www.transfermarkt.com/tongo-doumbia/profil/spieler/103563","Defensive Midfield","29","Mali","Al-Ain FC","UAE Pro League","United Arab Emirates",0,FALSE,NA,"Summer",4,3,0,104,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Departures","Zvonko Pamic","https://www.transfermarkt.com/zvonko-pamic/profil/spieler/47624","Central Midfield","27","Croatia","OFK Titograd","Meridianbet 1. CFL","Montenegro",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Departures","Dejan Radonjic","https://www.transfermarkt.com/dejan-radonjic/profil/spieler/67856","Centre-Forward","27","Croatia","NK Lokomotiva","SuperSport HNL","Croatia",NA,FALSE,"?","Summer",NA,NA,NA,NA,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Departures","Adrian Semper","https://www.transfermarkt.com/adrian-semper/profil/spieler/317057","Goalkeeper","20","Croatia","Chievo Verona","Serie A","Italy",NA,TRUE,"loan transfer","Summer",5,1,0,90,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Departures","Jan Lecjaks","https://www.transfermarkt.com/jan-lecjaks/profil/spieler/62854","Left-Back","28","Czech Republic","NK Lokomotiva","SuperSport HNL","Croatia",NA,TRUE,"loan transfer","Summer",1,1,0,90,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Departures","Vinko Soldo","https://www.transfermarkt.com/vinko-soldo/profil/spieler/316936","Centre-Back","20","Croatia","NK Rudes","SuperSport HNL","Croatia",NA,TRUE,"loan transfer","Summer",NA,NA,NA,NA,"Croatia",2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","2018","Departures","Marko Mikulic","https://www.transfermarkt.com/marko-mikulic/profil/spieler/182400","Goalkeeper","24","Croatia","NK Sesvete","Prva NL","Croatia",NA,TRUE,"loan transfer","Summer",0,0,0,0,"Croatia",2018
