"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played","Country","Year"
"FC Copenhagen","Superliga","Denmark","2018","Arrivals","Kenan Kodro","https://www.transfermarkt.com/kenan-kodro/profil/spieler/197126","Centre-Forward","24","Bosnia-Herzegovina","1.FSV Mainz 05","Bundesliga","Germany",1600000,FALSE,NA,"Summer",27,18,6,839,"Denmark",2018
"FC Copenhagen","Superliga","Denmark","2018","Arrivals","Jesse Joronen","https://www.transfermarkt.com/jesse-joronen/profil/spieler/131758","Goalkeeper","25","Finland","AC Horsens","Superliga","Denmark",875000,FALSE,NA,"Summer",49,38,0,3398,"Denmark",2018
"FC Copenhagen","Superliga","Denmark","2018","Arrivals","Andreas Bjelland","https://www.transfermarkt.com/andreas-bjelland/profil/spieler/56354","Centre-Back","29","Denmark","Brentford","Championship","England",0,FALSE,NA,"Summer",42,41,1,3250,"Denmark",2018
"FC Copenhagen","Superliga","Denmark","2018","Arrivals","Dame N'Doye","https://www.transfermarkt.com/dame-ndoye/profil/spieler/44855","Centre-Forward","33","Senegal","Trabzonspor","Süper Lig","Türkiye",0,FALSE,NA,"Summer",48,46,24,4015,"Denmark",2018
"FC Copenhagen","Superliga","Denmark","2018","Arrivals","Sotirios Papagiannopoulos","https://www.transfermarkt.com/sotirios-papagiannopoulos/profil/spieler/97616","Centre-Back","27","Sweden","Östersund","Allsvenskan","Sweden",NA,FALSE,"?","Summer",50,30,0,2062,"Denmark",2018
"FC Copenhagen","Superliga","Denmark","2018","Arrivals","Frederik Ibsen","https://www.transfermarkt.com/frederik-ibsen/profil/spieler/461484","Goalkeeper","21","Denmark","Vendsyssel FF","Superliga","Denmark",NA,FALSE,"?","Summer",4,1,0,90,"Denmark",2018
"FC Copenhagen","Superliga","Denmark","2018","Arrivals","Mohamed Daramy","https://www.transfermarkt.com/mohamed-daramy/profil/spieler/574385","Left Winger","17","Denmark","Copenhagen U19","U19 Boys League","Denmark",NA,FALSE,"-","Summer",18,12,2,438,"Denmark",2018
"FC Copenhagen","Superliga","Denmark","2018","Arrivals","Bashkim Kadrii","https://www.transfermarkt.com/bashkim-kadrii/profil/spieler/91851","Centre-Forward","26","Denmark","Randers FC","Superliga","Denmark",NA,TRUE,"End of loan Jun 30, 2018","Summer",3,1,0,37,"Denmark",2018
"FC Copenhagen","Superliga","Denmark","2018","Departures","Robin Olsen","https://www.transfermarkt.com/robin-olsen/profil/spieler/75458","Goalkeeper","28","Sweden","AS Roma","Serie A","Italy",9e+06,FALSE,NA,"Summer",NA,NA,NA,NA,"Denmark",2018
"FC Copenhagen","Superliga","Denmark","2018","Departures","Federico Santander","https://www.transfermarkt.com/federico-santander/profil/spieler/99180","Centre-Forward","27","Paraguay","Bologna","Serie A","Italy",6500000,FALSE,NA,"Summer",NA,NA,NA,NA,"Denmark",2018
"FC Copenhagen","Superliga","Denmark","2018","Departures","Andrija Pavlovic","https://www.transfermarkt.com/andrija-pavlovic/profil/spieler/188131","Centre-Forward","24","Serbia","Rapid Vienna","Bundesliga","Austria",1300000,FALSE,NA,"Summer",NA,NA,NA,NA,"Denmark",2018
"FC Copenhagen","Superliga","Denmark","2018","Departures","László Köteles","https://www.transfermarkt.com/laszlo-koteles/profil/spieler/57188","Goalkeeper","33","Hungary",NA,NA,NA,0,FALSE,NA,"Summer",NA,NA,NA,NA,"Denmark",2018
"FC Copenhagen","Superliga","Denmark","2018","Departures","Erik Berg","https://www.transfermarkt.com/erik-berg/profil/spieler/49147","Centre-Back","29","Sweden","Djurgården","Allsvenskan","Sweden",NA,FALSE,"?","Summer",NA,NA,NA,NA,"Denmark",2018
"FC Copenhagen","Superliga","Denmark","2018","Departures","Bashkim Kadrii","https://www.transfermarkt.com/bashkim-kadrii/profil/spieler/91851","Centre-Forward","27","Denmark","Odense BK","Superliga","Denmark",NA,FALSE,"?","Summer",3,1,0,37,"Denmark",2018
"FC Copenhagen","Superliga","Denmark","2018","Departures","Uros Matic","https://www.transfermarkt.com/uros-matic/profil/spieler/90885","Central Midfield","28","Serbia","Austria Vienna","Bundesliga","Austria",NA,TRUE,"loan transfer","Summer",0,0,0,0,"Denmark",2018
