"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played","Country","Year"
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Daniel Podence","https://www.transfermarkt.com/daniel-podence/profil/spieler/256977","Right Winger","22","Portugal","Sporting CP","Liga Portugal","Portugal",7e+06,FALSE,NA,"Summer",41,41,8,3327,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Guilherme","https://www.transfermarkt.com/guilherme/profil/spieler/115382","Defensive Midfield","27","Brazil","Dep. La Coruña","LaLiga2","Spain",3e+06,FALSE,NA,"Summer",39,33,4,2838,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Yassine Meriah","https://www.transfermarkt.com/yassine-meriah/profil/spieler/306330","Centre-Back","25","Tunisia","CS Sfaxien","Ligue I Pro","Tunisia",1800000,FALSE,NA,"Summer",32,26,1,2162,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Giannis Masouras","https://www.transfermarkt.com/giannis-masouras/profil/spieler/295780","Right-Back","21","Greece","AE Larisa","Super League 1","Greece",1e+06,FALSE,NA,"Summer",3,3,0,187,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Lazar Randjelovic","https://www.transfermarkt.com/lazar-randjelovic/profil/spieler/512394","Right Winger","21","Serbia","Radnicki Nis","Super liga Srbije","Serbia",550000,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Roderick Miranda","https://www.transfermarkt.com/roderick-miranda/profil/spieler/87856","Centre-Back","27","Portugal","Wolves","Premier League","England",5e+05,TRUE,NA,"Summer",38,20,0,1743,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Ahmed Hassan","https://www.transfermarkt.com/ahmed-hassan/profil/spieler/184816","Centre-Forward","25","Egypt","SC Braga","Liga Portugal","Portugal",3e+05,TRUE,NA,"Summer",34,32,15,1694,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Dimitrios Klingopoulos","https://www.transfermarkt.com/dimitrios-klingopoulos/profil/spieler/402936","Centre-Back","20","Greece","Aris Saloniki","Super League 1","Greece",3e+05,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Dimitrios Manos","https://www.transfermarkt.com/dimitrios-manos/profil/spieler/206563","Centre-Forward","23","Greece","OFI Crete FC","Super League 1","Greece",2e+05,FALSE,NA,"Summer",12,9,2,448,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Bibras Natcho","https://www.transfermarkt.com/bibras-natcho/profil/spieler/56976","Central Midfield","30","Israel","CSKA Moscow","Premier Liga","Russia",0,FALSE,NA,"Summer",42,34,1,1338,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Giannis Fetfatzidis","https://www.transfermarkt.com/giannis-fetfatzidis/profil/spieler/128931","Right Winger","27","Greece","Al-Ahli","Saudi Pro League","Saudi Arabia",0,FALSE,NA,"Summer",24,18,1,778,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Yaya Touré","https://www.transfermarkt.com/yaya-toure/profil/spieler/13091","Central Midfield","35","Cote d'Ivoire","Man City","Premier League","England",0,FALSE,NA,"Summer",6,5,0,223,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Lazaros Christodoulopoulos","https://www.transfermarkt.com/lazaros-christodoulopoulos/profil/spieler/34283","Attacking Midfield","31","Greece","Hellas Verona","Serie B","Italy",0,FALSE,NA,"Summer",27,26,9,1593,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Miguel Ángel Guerrero","https://www.transfermarkt.com/miguel-angel-guerrero/profil/spieler/137704","Second Striker","27","Spain","CD Leganés","LaLiga","Spain",0,FALSE,NA,"Summer",41,35,10,2138,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Andreas Gianniotis","https://www.transfermarkt.com/andreas-gianniotis/profil/spieler/226802","Goalkeeper","25","Greece","Atromitos","Super League 1","Greece",0,FALSE,NA,"Summer",25,13,0,1170,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Matías Nahuel","https://www.transfermarkt.com/matias-nahuel/profil/spieler/263843","Attacking Midfield","21","Spain","Villarreal","LaLiga","Spain",0,FALSE,NA,"Summer",14,11,1,747,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Andreas Bouchalakis","https://www.transfermarkt.com/andreas-bouchalakis/profil/spieler/157535","Central Midfield","25","Greece","Nottm Forest","Championship","England",0,FALSE,NA,"Summer",38,30,2,2133,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Vasilios Torosidis","https://www.transfermarkt.com/vasilios-torosidis/profil/spieler/24977","Right-Back","33","Greece","Bologna","Serie A","Italy",0,FALSE,NA,"Summer",37,25,3,1207,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Stefanos Evangelou","https://www.transfermarkt.com/stefanos-evangelou/profil/spieler/342255","Centre-Back","20","Greece","Panathinaikos","Super League 1","Greece",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Mady Camara","https://www.transfermarkt.com/mady-camara/profil/spieler/481173","Central Midfield","21","Guinea","AC Ajaccio","Ligue 2","France",NA,FALSE,"?","Summer",39,36,6,2562,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","José Sá","https://www.transfermarkt.com/jose-sa/profil/spieler/249994","Goalkeeper","25","Portugal","FC Porto","Liga Portugal","Portugal",NA,TRUE,"loan transfer","Summer",37,31,0,2790,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Konstantinos Laifis","https://www.transfermarkt.com/konstantinos-laifis/profil/spieler/121570","Centre-Back","25","Cyprus","Standard Liège","Jupiler Pro League","Belgium",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Bruno Viana","https://www.transfermarkt.com/bruno-viana/profil/spieler/411838","Centre-Back","23","Brazil","SC Braga","Liga Portugal","Portugal",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Jagos Vukovic","https://www.transfermarkt.com/jagos-vukovic/profil/spieler/46894","Centre-Back","30","Serbia","Hellas Verona","Serie B","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",31,28,3,2432,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Spyros Risvanis","https://www.transfermarkt.com/spyros-risvanis/profil/spieler/279869","Centre-Back","24","Greece","Atromitos","Super League 1","Greece",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Manolis Siopis","https://www.transfermarkt.com/manolis-siopis/profil/spieler/182688","Defensive Midfield","24","Greece","Panionios","Super League 1","Greece",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Sasa Zdjelar","https://www.transfermarkt.com/sasa-zdjelar/profil/spieler/171072","Defensive Midfield","23","Serbia","Partizan","Super liga Srbije","Serbia",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Emmanuel Emenike","https://www.transfermarkt.com/emmanuel-emenike/profil/spieler/120630","Centre-Forward","31","Nigeria","UD Las Palmas","LaLiga2","Spain",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Konstantinos Tsimikas","https://www.transfermarkt.com/konstantinos-tsimikas/profil/spieler/338070","Left-Back","22","Greece","Willem II","Eredivisie","Netherlands",NA,TRUE,"End of loan Jun 30, 2018","Summer",31,28,0,2415,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Nicolás Martínez","https://www.transfermarkt.com/nicolas-martinez/profil/spieler/124223","Attacking Midfield","30","Argentina","Apol. Limassol","Protathlima Cyta","Cyprus",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Georgios Manthatis","https://www.transfermarkt.com/georgios-manthatis/profil/spieler/292357","Right-Back","21","Greece","PAS Giannina","Super League 1","Greece",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Giannis Gianniotas","https://www.transfermarkt.com/giannis-gianniotas/profil/spieler/136643","Right Winger","25","Greece","Real Valladolid","LaLiga","Spain",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Dimitrios Goutas","https://www.transfermarkt.com/dimitrios-goutas/profil/spieler/191829","Centre-Back","24","Greece","Sint-Truiden","Jupiler Pro League","Belgium",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Anastasios Karamanos","https://www.transfermarkt.com/anastasios-karamanos/profil/spieler/127826","Centre-Forward","27","Greece","Feirense","Liga Portugal","Portugal",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Qazim Laci","https://www.transfermarkt.com/qazim-laci/profil/spieler/290552","Central Midfield","22","Albania","AC Ajaccio","Ligue 2","France",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Georgios Xydas","https://www.transfermarkt.com/georgios-xydas/profil/spieler/351487","Left Winger","21","Greece","PAE Chania","Football League","Greece",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Epaminondas Pantelakis","https://www.transfermarkt.com/epaminondas-pantelakis/profil/spieler/286533","Centre-Back","23","Greece","PAE Chania","Football League","Greece",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Ardit Toli","https://www.transfermarkt.com/ardit-toli/profil/spieler/295178","Defensive Midfield","20","Albania","PAE Chania","Football League","Greece",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Angelos Karatasios","https://www.transfermarkt.com/angelos-karatasios/profil/spieler/295638","Centre-Back","21","Greece","AE Larisa","Super League 1","Greece",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Antonis Karageorgis","https://www.transfermarkt.com/antonis-karageorgis/profil/spieler/416003","Centre-Back","21","Greece","PAE Chania","Football League","Greece",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Antonis Fouasis","https://www.transfermarkt.com/antonis-fouasis/profil/spieler/372011","Left-Back","20","Greece","PAE Chania","Football League","Greece",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Dimitrios Tasioulis","https://www.transfermarkt.com/dimitrios-tasioulis/profil/spieler/342906","Left Winger","21","Greece","PAE Chania","Football League","Greece",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Konstantinos Megaritis","https://www.transfermarkt.com/konstantinos-megaritis/profil/spieler/341681","Central Midfield","21","Greece","PAE Chania","Football League","Greece",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Arrivals","Iason Gavalas","https://www.transfermarkt.com/iason-gavalas/profil/spieler/342166","Goalkeeper","20","Greece","PAE Chania","Football League","Greece",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Bruno Viana","https://www.transfermarkt.com/bruno-viana/profil/spieler/411838","Centre-Back","23","Brazil","SC Braga","Liga Portugal","Portugal",3e+06,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Uros Djurdjevic","https://www.transfermarkt.com/uros-djurdjevic/profil/spieler/190804","Centre-Forward","24","Montenegro","Sporting Gijón","LaLiga2","Spain",2500000,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Vadis Odjidja-Ofoe","https://www.transfermarkt.com/vadis-odjidja-ofoe/profil/spieler/38388","Central Midfield","29","Belgium","KAA Gent","Jupiler Pro League","Belgium",2200000,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Konstantinos Laifis","https://www.transfermarkt.com/konstantinos-laifis/profil/spieler/121570","Centre-Back","25","Cyprus","Standard Liège","Jupiler Pro League","Belgium",1500000,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Marko Marin","https://www.transfermarkt.com/marko-marin/profil/spieler/35251","Attacking Midfield","29","Germany","Red Star","Super liga Srbije","Serbia",7e+05,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Sasa Zdjelar","https://www.transfermarkt.com/sasa-zdjelar/profil/spieler/171072","Defensive Midfield","23","Serbia","Partizan","Super liga Srbije","Serbia",5e+05,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Manolis Siopis","https://www.transfermarkt.com/manolis-siopis/profil/spieler/182688","Defensive Midfield","24","Greece","Aris Saloniki","Super League 1","Greece",1e+05,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Alberto Botía","https://www.transfermarkt.com/alberto-botia/profil/spieler/53077","Centre-Back","29","Spain","Al-Hilal","Saudi Pro League","Saudi Arabia",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","André Martins","https://www.transfermarkt.com/andre-martins/profil/spieler/90367","Central Midfield","28","Portugal","Legia Warszawa","Ekstraklasa","Poland",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Ehsan Hajsafi","https://www.transfermarkt.com/ehsan-hajsafi/profil/spieler/77547","Left-Back","28","Iran","Tractor","Persian Gulf Pro League","Iran",0,FALSE,NA,"Summer",1,0,0,0,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Panagiotis Tachtsidis","https://www.transfermarkt.com/panagiotis-tachtsidis/profil/spieler/62415","Defensive Midfield","27","Greece","Nottm Forest","Championship","England",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Spyros Risvanis","https://www.transfermarkt.com/spyros-risvanis/profil/spieler/279869","Centre-Back","24","Greece","Atromitos","Super League 1","Greece",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Silvio Proto","https://www.transfermarkt.com/silvio-proto/profil/spieler/12518","Goalkeeper","35","Belgium","Lazio","Serie A","Italy",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Alaixys Romao","https://www.transfermarkt.com/alaixys-romao/profil/spieler/40014","Defensive Midfield","34","Togo","Stade Reims","Ligue 1","France",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Guillaume Gillet","https://www.transfermarkt.com/guillaume-gillet/profil/spieler/31952","Defensive Midfield","34","Belgium","Lens","Ligue 2","France",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Nicolás Martínez","https://www.transfermarkt.com/nicolas-martinez/profil/spieler/124223","Attacking Midfield","30","Argentina","Aris Saloniki","Super League 1","Greece",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Giannis Gianniotas","https://www.transfermarkt.com/giannis-gianniotas/profil/spieler/136643","Right Winger","25","Greece","AEK Athens","Super League 1","Greece",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Anastasios Karamanos","https://www.transfermarkt.com/anastasios-karamanos/profil/spieler/127826","Centre-Forward","27","Greece","PAS Lamia","Super League 1","Greece",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Georgios Xydas","https://www.transfermarkt.com/georgios-xydas/profil/spieler/351487","Left Winger","21","Greece","PAS Giannina","Super League 1","Greece",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Epaminondas Pantelakis","https://www.transfermarkt.com/epaminondas-pantelakis/profil/spieler/286533","Centre-Back","23","Greece","Panathinaikos","Super League 1","Greece",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
"Olympiacos Piraeus","Super League 1","Greece","2018","Departures","Nikolaos Vergos","https://www.transfermarkt.com/nikolaos-vergos/profil/spieler/118302","Centre-Forward","22","Greece","Panathinaikos","Super League 1","Greece",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Greece",2018
