"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played","Country","Year"
"Ajax Amsterdam","Eredivisie","Netherlands","2018","Arrivals","Daley Blind","https://www.transfermarkt.com/daley-blind/profil/spieler/12282","Centre-Back","28","Netherlands","Man Utd","Premier League","England",1.6e+07,FALSE,NA,"Summer",57,57,6,4919,"Netherlands",2018
"Ajax Amsterdam","Eredivisie","Netherlands","2018","Arrivals","Dusan Tadic","https://www.transfermarkt.com/dusan-tadic/profil/spieler/36139","Left Winger","29","Serbia","Southampton","Premier League","England",13700000,FALSE,NA,"Summer",56,56,38,4797,"Netherlands",2018
"Ajax Amsterdam","Eredivisie","Netherlands","2018","Arrivals","Hassane Bandé","https://www.transfermarkt.com/hassane-bande/profil/spieler/504259","Left Winger","19","Burkina Faso","KV Mechelen","Challenger Pro League","Belgium",8250000,FALSE,NA,"Summer",0,0,0,0,"Netherlands",2018
"Ajax Amsterdam","Eredivisie","Netherlands","2018","Arrivals","Zakaria Labyad","https://www.transfermarkt.com/zakaria-labyad/profil/spieler/123349","Attacking Midfield","25","Morocco","FC Utrecht","Eredivisie","Netherlands",6e+06,FALSE,NA,"Summer",48,20,4,677,"Netherlands",2018
"Ajax Amsterdam","Eredivisie","Netherlands","2018","Arrivals","Perr Schuurs","https://www.transfermarkt.com/perr-schuurs/profil/spieler/418543","Centre-Back","18","Netherlands","Fortuna Sittard","Eredivisie","Netherlands",NA,TRUE,"End of loan Jun 30, 2018","Summer",15,4,1,309,"Netherlands",2018
"Ajax Amsterdam","Eredivisie","Netherlands","2018","Arrivals","Deyovaisio Zeefuik","https://www.transfermarkt.com/deyovaisio-zeefuik/profil/spieler/338032","Right-Back","20","Netherlands","FC Groningen","Eredivisie","Netherlands",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Netherlands",2018
"Ajax Amsterdam","Eredivisie","Netherlands","2018","Departures","Justin Kluivert","https://www.transfermarkt.com/justin-kluivert/profil/spieler/330659","Left Winger","19","Netherlands","AS Roma","Serie A","Italy",17250000,FALSE,NA,"Summer",NA,NA,NA,NA,"Netherlands",2018
"Ajax Amsterdam","Eredivisie","Netherlands","2018","Departures","Deyovaisio Zeefuik","https://www.transfermarkt.com/deyovaisio-zeefuik/profil/spieler/338032","Right-Back","20","Netherlands","FC Groningen","Eredivisie","Netherlands",2e+06,FALSE,NA,"Summer",NA,NA,NA,NA,"Netherlands",2018
"Ajax Amsterdam","Eredivisie","Netherlands","2018","Departures","Amin Younes","https://www.transfermarkt.com/amin-younes/profil/spieler/96167","Left Winger","24","Germany","SSC Napoli","Serie A","Italy",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Netherlands",2018
"Ajax Amsterdam","Eredivisie","Netherlands","2018","Departures","Nick Viergever","https://www.transfermarkt.com/nick-viergever/profil/spieler/93081","Centre-Back","28","Netherlands","PSV Eindhoven","Eredivisie","Netherlands",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Netherlands",2018
"Ajax Amsterdam","Eredivisie","Netherlands","2018","Departures","Mitchell Dijks","https://www.transfermarkt.com/mitchell-dijks/profil/spieler/187245","Left-Back","25","Netherlands","Bologna","Serie A","Italy",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Netherlands",2018
"Ajax Amsterdam","Eredivisie","Netherlands","2018","Departures","Norbert Alblas","https://www.transfermarkt.com/norbert-alblas/profil/spieler/278938","Goalkeeper","23","Netherlands","NEC Nijmegen","Keuken Kampioen Divisie","Netherlands",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Netherlands",2018
"Ajax Amsterdam","Eredivisie","Netherlands","2018","Departures","Mateo Cassierra","https://www.transfermarkt.com/mateo-cassierra/profil/spieler/362667","Centre-Forward","21","Colombia","FC Groningen","Eredivisie","Netherlands",NA,TRUE,"loan transfer","Summer",NA,NA,NA,NA,"Netherlands",2018
"Ajax Amsterdam","Eredivisie","Netherlands","2018","Departures","Siem de Jong","https://www.transfermarkt.com/siem-de-jong/profil/spieler/45509","Attacking Midfield","29","Netherlands","Sydney FC","A-League Men","Australia",NA,TRUE,"loan transfer","Summer",0,0,0,0,"Netherlands",2018
"Ajax Amsterdam","Eredivisie","Netherlands","2018","Departures","Benjamin van Leer","https://www.transfermarkt.com/benjamin-van-leer/profil/spieler/123520","Goalkeeper","26","Netherlands","NAC Breda","Eredivisie","Netherlands",NA,TRUE,"loan transfer","Summer",0,0,0,0,"Netherlands",2018
"Ajax Amsterdam","Eredivisie","Netherlands","2018","Arrivals","Lisandro Magallán","https://www.transfermarkt.com/lisandro-magallan/profil/spieler/66736","Centre-Back","25","Argentina","Boca Juniors","Liga Profesional","Argentina",9e+06,FALSE,NA,"Winter",19,5,0,162,"Netherlands",2018
"Ajax Amsterdam","Eredivisie","Netherlands","2018","Arrivals","Bruno Varela","https://www.transfermarkt.com/bruno-varela/profil/spieler/182722","Goalkeeper","24","Cape Verde","Benfica","Liga Portugal","Portugal",NA,TRUE,"loan transfer","Winter",19,0,0,0,"Netherlands",2018
"Ajax Amsterdam","Eredivisie","Netherlands","2018","Arrivals","Dani de Wit","https://www.transfermarkt.com/dani-de-wit/profil/spieler/340459","Attacking Midfield","20","Netherlands","Ajax U21","Keuken Kampioen Divisie","Netherlands",NA,FALSE,"-","Winter",49,11,0,129,"Netherlands",2018
"Ajax Amsterdam","Eredivisie","Netherlands","2018","Arrivals","Mateo Cassierra","https://www.transfermarkt.com/mateo-cassierra/profil/spieler/362667","Centre-Forward","21","Colombia","FC Groningen","Eredivisie","Netherlands",NA,TRUE,"End of loan Dec 31, 2018","Winter",NA,NA,NA,NA,"Netherlands",2018
