"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played","Country","Year"
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Gabriel Pires","https://www.transfermarkt.com/gabriel-pires/profil/spieler/167291","Central Midfield","24","Brazil","CD Leganés","LaLiga","Spain",9600000,FALSE,NA,"Summer",38,34,1,2210,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Nicolás Castillo","https://www.transfermarkt.com/nicolas-castillo/profil/spieler/145602","Centre-Forward","25","Chile","UNAM Pumas","Liga MX Apertura","Mexico",7870000,FALSE,NA,"Summer",22,11,0,270,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Germán Conti","https://www.transfermarkt.com/german-conti/profil/spieler/284321","Centre-Back","24","Argentina","Colon","Liga Profesional","Argentina",3500000,FALSE,NA,"Summer",21,10,1,808,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Alfa Semedo","https://www.transfermarkt.com/alfa-semedo/profil/spieler/359210","Defensive Midfield","20","Guinea-Bissau","Moreirense ","Liga Portugal","Portugal",2540000,FALSE,NA,"Summer",28,16,1,692,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Odysseas Vlachodimos","https://www.transfermarkt.com/odysseas-vlachodimos/profil/spieler/124419","Goalkeeper","24","Greece","Panathinaikos","Super League 1","Greece",2400000,FALSE,NA,"Summer",53,50,0,4526,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Sébastien Corchia","https://www.transfermarkt.com/sebastien-corchia/profil/spieler/102744","Right-Back","27","France","Sevilla FC","LaLiga","Spain",7e+05,TRUE,NA,"Summer",15,8,0,609,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Chiquinho","https://www.transfermarkt.com/chiquinho/profil/spieler/334557","Central Midfield","22","Portugal","Coimbra","Liga Sabseg","Portugal",6e+05,FALSE,NA,"Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Facundo Ferreyra","https://www.transfermarkt.com/facundo-ferreyra/profil/spieler/93795","Centre-Forward","27","Argentina","Shakhtar D.","Premier Liga","Ukraine",0,FALSE,NA,"Summer",14,9,1,536,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Cristian Lema","https://www.transfermarkt.com/cristian-lema/profil/spieler/147128","Centre-Back","28","Argentina","Belgrano","Liga Profesional","Argentina",0,FALSE,NA,"Summer",3,2,0,127,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Tyronne Ebuehi","https://www.transfermarkt.com/tyronne-ebuehi/profil/spieler/309944","Right-Back","22","Nigeria","ADO Den Haag","Eredivisie","Netherlands",0,FALSE,NA,"Summer",0,0,0,0,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Yuri Ribeiro","https://www.transfermarkt.com/yuri-ribeiro/profil/spieler/258032","Left-Back","21","Portugal","Benfica B","Liga Sabseg","Portugal",NA,FALSE,"-","Summer",12,7,0,586,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","João Félix","https://www.transfermarkt.com/joao-felix/profil/spieler/462250","Left Winger","18","Portugal","Benfica B","Liga Sabseg","Portugal",NA,FALSE,"-","Summer",50,43,20,2866,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Gedson Fernandes","https://www.transfermarkt.com/gedson-fernandes/profil/spieler/337800","Central Midfield","19","Portugal","Benfica B","Liga Sabseg","Portugal",NA,FALSE,"-","Summer",59,46,3,2757,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Bryan Cristante","https://www.transfermarkt.com/bryan-cristante/profil/spieler/199248","Defensive Midfield","23","Italy","Atalanta BC","Serie A","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Talisca","https://www.transfermarkt.com/talisca/profil/spieler/258626","Attacking Midfield","24","Brazil","Besiktas","Süper Lig","Türkiye",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","André Carrillo","https://www.transfermarkt.com/andre-carrillo/profil/spieler/135057","Attacking Midfield","27","Peru","Watford","Premier League","England",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","André Horta","https://www.transfermarkt.com/andre-horta/profil/spieler/329722","Central Midfield","21","Portugal","SC Braga","Liga Portugal","Portugal",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Lisandro López","https://www.transfermarkt.com/lisandro-lopez/profil/spieler/125019","Centre-Back","28","Argentina","Inter","Serie A","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Adel Taarabt","https://www.transfermarkt.com/adel-taarabt/profil/spieler/45287","Central Midfield","29","Morocco","Genoa","Serie A","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",9,7,0,140,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","João Amaral","https://www.transfermarkt.com/joao-amaral/profil/spieler/352898","Attacking Midfield","26","Portugal","Vitória Setúbal","Liga Portugal","Portugal",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Erdal Rakip","https://www.transfermarkt.com/erdal-rakip/profil/spieler/230746","Defensive Midfield","22","North Macedonia","Crystal Palace","Premier League","England",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Jhon Murillo","https://www.transfermarkt.com/jhon-murillo/profil/spieler/308560","Right Winger","22","Venezuela","Kasimpasa","Süper Lig","Türkiye",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Patrick Vieira","https://www.transfermarkt.com/patrick-vieira/profil/spieler/224852","Right-Back","27","Brazil","Vitória Setúbal","Liga Portugal","Portugal",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Salvador Agra","https://www.transfermarkt.com/salvador-agra/profil/spieler/155395","Right Winger","26","Portugal","Granada CF","LaLiga2","Spain",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Pedro Nuno","https://www.transfermarkt.com/pedro-nuno/profil/spieler/335380","Attacking Midfield","23","Portugal","Tondela","Liga Portugal","Portugal",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Arrivals","Mato Milos","https://www.transfermarkt.com/mato-milos/profil/spieler/178078","Right-Back","25","Croatia","Lechia Gdansk","Ekstraklasa","Poland",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Departures","João Carvalho","https://www.transfermarkt.com/joao-carvalho/profil/spieler/258005","Attacking Midfield","21","Portugal","Nottm Forest","Championship","England",1.5e+07,FALSE,NA,"Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Departures","Bryan Cristante","https://www.transfermarkt.com/bryan-cristante/profil/spieler/199248","Defensive Midfield","23","Italy","Atalanta BC","Serie A","Italy",9500000,FALSE,NA,"Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Departures","Talisca","https://www.transfermarkt.com/talisca/profil/spieler/258626","Attacking Midfield","24","Brazil","GuaZ FC","Super League","China",5800000,TRUE,NA,"Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Departures","André Horta","https://www.transfermarkt.com/andre-horta/profil/spieler/329722","Central Midfield","21","Portugal","LAFC","MLS","United States",5700000,FALSE,NA,"Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Departures","André Carrillo","https://www.transfermarkt.com/andre-carrillo/profil/spieler/135057","Attacking Midfield","27","Peru","Al-Hilal","Saudi Pro League","Saudi Arabia",4e+06,TRUE,NA,"Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Departures","Raúl Jiménez","https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040","Centre-Forward","27","Mexico","Wolves","Premier League","England",3e+06,TRUE,NA,"Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Departures","João Amaral","https://www.transfermarkt.com/joao-amaral/profil/spieler/352898","Attacking Midfield","26","Portugal","Lech Poznan","Ekstraklasa","Poland",350000,FALSE,NA,"Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Departures","Marçal","https://www.transfermarkt.com/marcal/profil/spieler/137745","Left-Back","29","Brazil","Olympique Lyon","Ligue 1","France",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Departures","Patrick Vieira","https://www.transfermarkt.com/patrick-vieira/profil/spieler/224852","Right-Back","27","Brazil","Santa Clara","Liga Portugal","Portugal",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Departures","Pedro Nuno","https://www.transfermarkt.com/pedro-nuno/profil/spieler/335380","Attacking Midfield","23","Portugal","Moreirense ","Liga Portugal","Portugal",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Departures","Chiquinho","https://www.transfermarkt.com/chiquinho/profil/spieler/334557","Central Midfield","23","Portugal","Moreirense ","Liga Portugal","Portugal",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Portugal",2018
"SL Benfica","Liga Portugal","Portugal","2018","Departures","César Martins","https://www.transfermarkt.com/cesar-martins/profil/spieler/269467","Centre-Back","25","Brazil","Santa Clara","Liga Portugal","Portugal",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Portugal",2018
