"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played","Country","Year"
"Zenit St. Petersburg","Premier Liga","Russia","2018","Arrivals","Claudio Marchisio","https://www.transfermarkt.com/claudio-marchisio/profil/spieler/44716","Central Midfield","32","Italy","Juventus","Serie A","Italy",0,FALSE,NA,"Summer",18,15,2,744,"Russia",2018
"Zenit St. Petersburg","Premier Liga","Russia","2018","Arrivals","Andrey Mostovoy","https://www.transfermarkt.com/andrey-mostovoy/profil/spieler/362570","Left Winger","21","Russia","Zenit 2 S-Pb","2. Division B Group 2 (-2023)","Russia",NA,FALSE,"-","Summer",NA,NA,NA,NA,"Russia",2018
"Zenit St. Petersburg","Premier Liga","Russia","2018","Arrivals","Oleg Shatov","https://www.transfermarkt.com/oleg-shatov/profil/spieler/59187","Attacking Midfield","27","Russia","Krasnodar","Premier Liga","Russia",NA,TRUE,"End of loan Jun 30, 2018","Summer",32,27,3,1420,"Russia",2018
"Zenit St. Petersburg","Premier Liga","Russia","2018","Arrivals","Artem Dzyuba","https://www.transfermarkt.com/artem-dzyuba/profil/spieler/48067","Centre-Forward","29","Russia","Arsenal Tula","Premier Liga","Russia",NA,TRUE,"End of loan Jun 30, 2018","Summer",38,37,13,3197,"Russia",2018
"Zenit St. Petersburg","Premier Liga","Russia","2018","Arrivals","Róbert Mak","https://www.transfermarkt.com/robert-mak/profil/spieler/92180","Left Winger","27","Slovakia","PAOK Salonika","Super League 1","Greece",NA,TRUE,"End of loan Jun 30, 2018","Summer",45,35,6,2125,"Russia",2018
"Zenit St. Petersburg","Premier Liga","Russia","2018","Arrivals","Hernani","https://www.transfermarkt.com/hernani/profil/spieler/181768","Central Midfield","24","Brazil","Saint-Étienne","Ligue 1","France",NA,TRUE,"End of loan Jun 30, 2018","Summer",45,26,1,1452,"Russia",2018
"Zenit St. Petersburg","Premier Liga","Russia","2018","Arrivals","Christian Noboa","https://www.transfermarkt.com/christian-noboa/profil/spieler/45858","Central Midfield","33","Ecuador","Rubin Kazan","Premier Liga","Russia",NA,TRUE,"End of loan Jun 30, 2018","Summer",18,12,1,705,"Russia",2018
"Zenit St. Petersburg","Premier Liga","Russia","2018","Arrivals","Luís Neto","https://www.transfermarkt.com/luis-neto/profil/spieler/56036","Centre-Back","30","Portugal","Fenerbahce","Süper Lig","Türkiye",NA,TRUE,"End of loan Jun 30, 2018","Summer",42,21,0,1802,"Russia",2018
"Zenit St. Petersburg","Premier Liga","Russia","2018","Arrivals","Ibragim Tsallagov","https://www.transfermarkt.com/ibragim-tsallagov/profil/spieler/138399","Defensive Midfield","27","Russia","Dynamo Moscow","Premier Liga","Russia",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Russia",2018
"Zenit St. Petersburg","Premier Liga","Russia","2018","Arrivals","Artur Yusupov","https://www.transfermarkt.com/artur-yusupov/profil/spieler/97541","Central Midfield","28","Russia","Rostov","Premier Liga","Russia",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Russia",2018
