"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played","Country","Year"
"BSC Young Boys","Super League","Switzerland","2018","Arrivals","Sandro Lauper","https://www.transfermarkt.com/sandro-lauper/profil/spieler/254965","Defensive Midfield","21","Switzerland","FC Thun","Super League","Switzerland",1500000,FALSE,NA,"Summer",37,35,1,2545,"Switzerland",2018
"BSC Young Boys","Super League","Switzerland","2018","Arrivals","Mohamed Camara","https://www.transfermarkt.com/mohamed-camara/profil/spieler/426723","Centre-Back","20","Guinea","Hapoel Raanana","Ligat ha'Al","Israel",1500000,FALSE,NA,"Summer",36,22,3,1931,"Switzerland",2018
"BSC Young Boys","Super League","Switzerland","2018","Arrivals","Ulisses Garcia","https://www.transfermarkt.com/ulisses-garcia/profil/spieler/192616","Left-Back","22","Switzerland","Werder Bremen","Bundesliga","Germany",8e+05,FALSE,NA,"Summer",41,29,4,1375,"Switzerland",2018
"BSC Young Boys","Super League","Switzerland","2018","Arrivals","Jan Kronig","https://www.transfermarkt.com/jan-kronig/profil/spieler/346881","Centre-Back","18","Switzerland","BSC YB U21","1. Liga gr. 1","Switzerland",NA,FALSE,"-","Summer",11,2,0,180,"Switzerland",2018
"BSC Young Boys","Super League","Switzerland","2018","Arrivals","Kwadwo Duah","https://www.transfermarkt.com/kwadwo-duah/profil/spieler/254955","Centre-Forward","21","Switzerland","FC Winterthur","Challenge League","Switzerland",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Switzerland",2018
"BSC Young Boys","Super League","Switzerland","2018","Arrivals","Nicolas Bürgy","https://www.transfermarkt.com/nicolas-burgy/profil/spieler/203895","Centre-Back","22","Switzerland","FC Thun","Super League","Switzerland",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Switzerland",2018
"BSC Young Boys","Super League","Switzerland","2018","Arrivals","Linus Obexer","https://www.transfermarkt.com/linus-obexer/profil/spieler/254972","Left-Back","21","Switzerland","Neuchâtel Xamax","Super League","Switzerland",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Switzerland",2018
"BSC Young Boys","Super League","Switzerland","2018","Arrivals","Taulant Seferi","https://www.transfermarkt.com/taulant-seferi/profil/spieler/254985","Centre-Forward","21","Albania","FC Wohlen","Promotion League","Switzerland",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Switzerland",2018
"BSC Young Boys","Super League","Switzerland","2018","Departures","Kasim Adams","https://www.transfermarkt.com/kasim-adams/profil/spieler/263801","Centre-Back","23","Ghana","TSG Hoffenheim","Bundesliga","Germany",8e+06,FALSE,NA,"Summer",NA,NA,NA,NA,"Switzerland",2018
"BSC Young Boys","Super League","Switzerland","2018","Departures","Marco Bürki","https://www.transfermarkt.com/marco-burki/profil/spieler/172192","Centre-Back","24","Switzerland","Zulte Waregem","Jupiler Pro League","Belgium",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Switzerland",2018
"BSC Young Boys","Super League","Switzerland","2018","Departures","Pedro Teixeira","https://www.transfermarkt.com/pedro-teixeira/profil/spieler/433189","Left Midfield","20","Switzerland","Rapperswil-Jona","Challenge League","Switzerland",NA,TRUE,"loan transfer","Summer",2,0,0,0,"Switzerland",2018
"BSC Young Boys","Super League","Switzerland","2018","Departures","Nicolas Bürgy","https://www.transfermarkt.com/nicolas-burgy/profil/spieler/203895","Centre-Back","23","Switzerland","FC Aarau","Challenge League","Switzerland",NA,TRUE,"loan transfer","Summer",0,0,0,0,"Switzerland",2018
