"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played","Country","Year"
"Galatasaray","Süper Lig","Türkiye","2018","Arrivals","Emre Akbaba","https://www.transfermarkt.com/emre-akbaba/profil/spieler/278654","Attacking Midfield","25","Türkiye","Alanyaspor","Süper Lig","Türkiye",4e+06,FALSE,NA,"Summer",24,21,3,969,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Arrivals","Yuto Nagatomo","https://www.transfermarkt.com/yuto-nagatomo/profil/spieler/79522","Left-Back","31","Japan","Inter","Serie A","Italy",2500000,FALSE,NA,"Summer",33,25,1,2254,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Arrivals","Henry Onyekuru","https://www.transfermarkt.com/henry-onyekuru/profil/spieler/380415","Left Winger","21","Nigeria","Everton","Premier League","England",8e+05,TRUE,NA,"Summer",48,44,16,3390,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Arrivals","Badou Ndiaye","https://www.transfermarkt.com/badou-ndiaye/profil/spieler/211325","Central Midfield","27","Senegal","Stoke City","Championship","England",750000,TRUE,NA,"Summer",38,33,3,2669,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Arrivals","Ömer Bayram","https://www.transfermarkt.com/omer-bayram/profil/spieler/117586","Left-Back","27","Türkiye","Akhisarspor","Süper Lig","Türkiye",4e+05,FALSE,NA,"Summer",43,20,1,1311,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Arrivals","Birhan Vatansever","https://www.transfermarkt.com/birhan-vatansever/profil/spieler/251108","Defensive Midfield","21","Türkiye","Bandirmaspor","2.Lig Kirmizi","Türkiye",81000,FALSE,NA,"Summer",0,0,0,0,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Arrivals","Muğdat Çelik","https://www.transfermarkt.com/mugdat-celik/profil/spieler/67570","Centre-Forward","28","Türkiye","Akhisarspor","Süper Lig","Türkiye",0,FALSE,NA,"Summer",46,18,4,741,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Arrivals","Doğan Can Davas","https://www.transfermarkt.com/dogan-can-davas/profil/spieler/340961","Attacking Midfield","20","Türkiye","Galatasaray U21","U21 Süper Lig","Türkiye",NA,FALSE,"-","Summer",0,0,0,0,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Arrivals","Ozan Kabak","https://www.transfermarkt.com/ozan-kabak/profil/spieler/361260","Centre-Back","18","Türkiye","Galatasaray U21","U21 Süper Lig","Türkiye",NA,FALSE,"-","Summer",22,17,0,1444,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Arrivals","Yunus Akgün","https://www.transfermarkt.com/yunus-akgun/profil/spieler/396908","Right Winger","17","Türkiye","Galatasaray U19","U19 Süper Lig","Türkiye",NA,FALSE,"-","Summer",43,20,4,761,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Arrivals","Celil Yüksel","https://www.transfermarkt.com/celil-yuksel/profil/spieler/336074","Central Midfield","20","Türkiye","Galatasaray U21","U21 Süper Lig","Türkiye",NA,FALSE,"-","Summer",18,6,0,287,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Arrivals","Batuhan Şen","https://www.transfermarkt.com/batuhan-sen/profil/spieler/352659","Goalkeeper","19","Türkiye","Galatasaray U21","U21 Süper Lig","Türkiye",NA,FALSE,"-","Summer",8,1,0,9,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Arrivals","Gökay Güney","https://www.transfermarkt.com/gokay-guney/profil/spieler/452211","Centre-Back","19","Türkiye","Galatasaray U21","U21 Süper Lig","Türkiye",NA,FALSE,"-","Summer",9,5,0,213,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Arrivals","Atalay Babacan","https://www.transfermarkt.com/atalay-babacan/profil/spieler/361266","Central Midfield","18","Türkiye","Galatasaray U21","U21 Süper Lig","Türkiye",NA,FALSE,"-","Summer",10,2,1,142,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Arrivals","Abdussamed Karnuçu","https://www.transfermarkt.com/abdussamed-karnucu/profil/spieler/366147","Defensive Midfield","18","Türkiye","Galatasaray U21","U21 Süper Lig","Türkiye",NA,FALSE,"-","Summer",3,1,0,12,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Arrivals","Boran Güngör","https://www.transfermarkt.com/boran-gungor/profil/spieler/581619","Goalkeeper","18","Türkiye","Galatasaray U19","U19 Süper Lig","Türkiye",NA,FALSE,"-","Summer",NA,NA,NA,NA,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Arrivals","Lionel Carole","https://www.transfermarkt.com/lionel-carole/profil/spieler/11530","Left-Back","27","France","Sevilla FC","LaLiga","Spain",NA,TRUE,"End of loan Jun 30, 2018","Summer",1,1,0,18,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Arrivals","Luis Pedro Cavanda","https://www.transfermarkt.com/luis-pedro-cavanda/profil/spieler/102192","Right-Back","27","Belgium","Standard Liège","Jupiler Pro League","Belgium",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Arrivals","İsmail Çipe","https://www.transfermarkt.com/ismail-cipe/profil/spieler/282460","Goalkeeper","23","Türkiye","Tuzlaspor","2.Lig Kirmizi","Türkiye",NA,TRUE,"End of loan Jun 30, 2018","Summer",52,8,0,621,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Departures","Bafétimbi Gomis","https://www.transfermarkt.com/bafetimbi-gomis/profil/spieler/22388","Centre-Forward","33","France","Al-Hilal","Saudi Pro League","Saudi Arabia",6e+06,FALSE,NA,"Summer",3,2,0,164,"Türkiye",2018
"Galatasaray","Süper Lig","Türkiye","2018","Departures","Luis Pedro Cavanda","https://www.transfermarkt.com/luis-pedro-cavanda/profil/spieler/102192","Right-Back","27","Belgium","Standard Liège","Jupiler Pro League","Belgium",2400000,FALSE,NA,"Summer",NA,NA,NA,NA,"Türkiye",2018
