"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played","Country","Year"
"Shakhtar Donetsk","Premier Liga","Ukraine","2018","Arrivals","Maycon","https://www.transfermarkt.com/maycon/profil/spieler/421935","Central Midfield","20","Brazil","Corinthians","Série A","Brazil",6600000,FALSE,NA,"Summer",34,30,5,1675,"Ukraine",2018
"Shakhtar Donetsk","Premier Liga","Ukraine","2018","Arrivals","Fernando","https://www.transfermarkt.com/fernando/profil/spieler/550495","Centre-Forward","19","Brazil","Palmeiras","Série A","Brazil",5500000,FALSE,NA,"Summer",28,22,2,903,"Ukraine",2018
"Shakhtar Donetsk","Premier Liga","Ukraine","2018","Arrivals","Olarenwaju Kayode","https://www.transfermarkt.com/olarenwaju-kayode/profil/spieler/131694","Centre-Forward","25","Nigeria","Man City","Premier League","England",3e+06,FALSE,NA,"Summer",28,16,1,492,"Ukraine",2018
"Shakhtar Donetsk","Premier Liga","Ukraine","2018","Arrivals","Marquinhos Cipriano","https://www.transfermarkt.com/marquinhos-cipriano/profil/spieler/569805","Left-Back","19","Brazil","São Paulo","Série A","Brazil",1e+06,FALSE,NA,"Summer",8,6,0,235,"Ukraine",2018
"Shakhtar Donetsk","Premier Liga","Ukraine","2018","Arrivals","Júnior Moraes","https://www.transfermarkt.com/junior-moraes/profil/spieler/52915","Centre-Forward","31","Ukraine","Dynamo Kyiv","Premier Liga","Ukraine",0,FALSE,NA,"Summer",39,39,26,3368,"Ukraine",2018
"Shakhtar Donetsk","Premier Liga","Ukraine","2018","Arrivals","Oleksiy Shevchenko","https://www.transfermarkt.com/oleksiy-shevchenko/profil/spieler/136537","Goalkeeper","26","Ukraine","Karpaty","Premier Liga","Ukraine",0,FALSE,NA,"Summer",38,5,0,450,"Ukraine",2018
"Shakhtar Donetsk","Premier Liga","Ukraine","2018","Arrivals","Oleg Kudryk","https://www.transfermarkt.com/oleg-kudryk/profil/spieler/341485","Goalkeeper","21","Ukraine","Shakhtar II",NA,"Ukraine",NA,FALSE,"-","Summer",3,1,0,90,"Ukraine",2018
"Shakhtar Donetsk","Premier Liga","Ukraine","2018","Arrivals","Oleg Danchenko","https://www.transfermarkt.com/oleg-danchenko/profil/spieler/257937","Right-Back","23","Ukraine","Anzhi","Premier Liga","Russia",NA,TRUE,"End of loan Jun 30, 2018","Summer",15,12,1,981,"Ukraine",2018
"Shakhtar Donetsk","Premier Liga","Ukraine","2018","Arrivals","Eduard Sobol","https://www.transfermarkt.com/eduard-sobol/profil/spieler/206717","Left-Back","23","Ukraine","Slavia Prague","Fortuna Liga","Czech Republic",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Ukraine",2018
"Shakhtar Donetsk","Premier Liga","Ukraine","2018","Arrivals","Andriy Totovytskyi","https://www.transfermarkt.com/andriy-totovytskyi/profil/spieler/277777","Attacking Midfield","25","Ukraine","FK Mariupol","Premier Liga","Ukraine",NA,TRUE,"End of loan Jun 30, 2018","Summer",16,8,1,260,"Ukraine",2018
"Shakhtar Donetsk","Premier Liga","Ukraine","2018","Arrivals","Pylyp Budkivskyi","https://www.transfermarkt.com/pylyp-budkivskyi/profil/spieler/99863","Centre-Forward","26","Ukraine","Anzhi","Premier Liga","Russia",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Ukraine",2018
