"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played","Country","Year"
"CA Peñarol","Primera División Apertura","Uruguay","2018","Arrivals","Gonzalo Freitas","https://www.transfermarkt.com/gonzalo-freitas/profil/spieler/196520","Defensive Midfield","26","Uruguay","Liverpool FC","Primera División Clausura","Uruguay",385000,FALSE,NA,"Summer",NA,NA,NA,NA,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Arrivals","Guzmán Pereira","https://www.transfermarkt.com/guzman-pereira/profil/spieler/160259","Defensive Midfield","27","Uruguay","U. de Chile","Primera División","Chile",0,FALSE,NA,"Summer",37,34,1,2402,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Arrivals","Ignacio Lores Varela","https://www.transfermarkt.com/ignacio-lores-varela/profil/spieler/139535","Right Winger","27","Uruguay","Ascoli","Serie B","Italy",0,FALSE,NA,"Summer",29,24,3,1209,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Arrivals","Carlos Matheu","https://www.transfermarkt.com/carlos-matheu/profil/spieler/55932","Centre-Back","33","Argentina","Huracán","Liga Profesional","Argentina",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Arrivals","Lucas Hernández","https://www.transfermarkt.com/lucas-hernandez/profil/spieler/250144","Left-Back","25","Uruguay","CA Cerro","Primera División Clausura","Uruguay",NA,FALSE,"?","Summer",18,17,2,1552,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Arrivals","Carlos Rodríguez","https://www.transfermarkt.com/carlos-rodriguez/profil/spieler/125510","Centre-Back","28","Uruguay","Plaza Colonia","Liga de Ascenso","Uruguay",NA,TRUE,"loan transfer","Summer",NA,NA,NA,NA,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Arrivals","Ezequiel Busquets","https://www.transfermarkt.com/ezequiel-busquets/profil/spieler/589687","Right-Back","17","Uruguay","CA Peñarol U19",NA,"Uruguay",NA,FALSE,"-","Summer",23,13,0,1031,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Arrivals","Lucas Cavallini","https://www.transfermarkt.com/lucas-cavallini/profil/spieler/221038","Centre-Forward","25","Canada","Puebla FC","Liga MX Apertura","Mexico",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Arrivals","Alex Silva","https://www.transfermarkt.com/alex-silva/profil/spieler/203018","Right-Back","25","Uruguay","Progreso","Primera División Clausura","Uruguay",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Arrivals","Nicolás Albarracín","https://www.transfermarkt.com/nicolas-albarracin/profil/spieler/170785","Left Winger","25","Uruguay","CD Lugo","LaLiga2","Spain",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Arrivals","Emilio Mac Eachen","https://www.transfermarkt.com/emilio-mac-eachen/profil/spieler/174852","Centre-Back","26","Uruguay","Oaxaca","Liga Expansión MX Cl.","Mexico",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Arrivals","Hernán Petryk","https://www.transfermarkt.com/hernan-petryk/profil/spieler/227776","Centre-Back","23","Uruguay","Chacarita Jrs.","Primera Nacional","Argentina",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Arrivals","Rodrigo Viega","https://www.transfermarkt.com/rodrigo-viega/profil/spieler/188160","Central Midfield","26","Uruguay","Progreso","Primera División Clausura","Uruguay",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Arrivals","Luis Urruti","https://www.transfermarkt.com/luis-urruti/profil/spieler/285679","Left Winger","25","Uruguay","CA Fénix","Primera División Clausura","Uruguay",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Arrivals","Fabrizio Buschiazzo","https://www.transfermarkt.com/fabrizio-buschiazzo/profil/spieler/294840","Centre-Back","21","Uruguay","Matera","Serie C - C","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Arrivals","Fabián Píriz","https://www.transfermarkt.com/fabian-piriz/profil/spieler/503778","Left-Back","20","Uruguay","Rampla Jrs","Primera División Clausura","Uruguay",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Arrivals","Rodrigo Pollero","https://www.transfermarkt.com/rodrigo-pollero/profil/spieler/431784","Centre-Forward","21","Uruguay","Arsenal Sarandí","Primera Nacional","Argentina",NA,TRUE,"End of loan Jul 19, 2018","Summer",NA,NA,NA,NA,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Departures","Lucas Cavallini","https://www.transfermarkt.com/lucas-cavallini/profil/spieler/221038","Centre-Forward","25","Canada","Puebla FC","Liga MX Apertura","Mexico",1290000,FALSE,NA,"Summer",NA,NA,NA,NA,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Departures","Ramón Arias","https://www.transfermarkt.com/ramon-arias/profil/spieler/131095","Centre-Back","25","Uruguay","Al-Ettifaq","Saudi Pro League","Saudi Arabia",205000,FALSE,NA,"Summer",NA,NA,NA,NA,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Departures","Cristian Palacios","https://www.transfermarkt.com/cristian-palacios/profil/spieler/127271","Centre-Forward","27","Uruguay","Puebla FC","Liga MX Apertura","Mexico",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Departures","Alex Silva","https://www.transfermarkt.com/alex-silva/profil/spieler/203018","Right-Back","25","Uruguay","San Martín (SJ)","Liga Profesional","Argentina",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Departures","Leandro Gelpi","https://www.transfermarkt.com/leandro-gelpi/profil/spieler/188158","Goalkeeper","27","Uruguay","Rentistas","Liga de Ascenso","Uruguay",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Departures","Rodrigo Viega","https://www.transfermarkt.com/rodrigo-viega/profil/spieler/188160","Central Midfield","26","Uruguay","Progreso","Primera División Clausura","Uruguay",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Departures","Luis Urruti","https://www.transfermarkt.com/luis-urruti/profil/spieler/285679","Left Winger","25","Uruguay","River Plate","Primera División Clausura","Uruguay",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Departures","Luis Maldonado","https://www.transfermarkt.com/luis-maldonado/profil/spieler/217028","Centre-Back","33","Uruguay","Cobreloa","Primera B","Chile",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Departures","Nicolás Albarracín","https://www.transfermarkt.com/nicolas-albarracin/profil/spieler/170785","Left Winger","25","Uruguay","Wanderers","Primera División Clausura","Uruguay",NA,TRUE,"loan transfer","Summer",0,0,0,0,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Departures","Hernán Petryk","https://www.transfermarkt.com/hernan-petryk/profil/spieler/227776","Centre-Back","23","Uruguay","San Martín (T)","Liga Profesional","Argentina",NA,TRUE,"loan transfer","Summer",0,0,0,0,"Uruguay",2018
"CA Peñarol","Primera División Apertura","Uruguay","2018","Departures","Fabrizio Buschiazzo","https://www.transfermarkt.com/fabrizio-buschiazzo/profil/spieler/294840","Centre-Back","22","Uruguay","Pisa","Serie C - A","Italy",NA,TRUE,"loan transfer","Summer",0,0,0,0,"Uruguay",2018
