"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played","Country","Year"
"Juventus FC","Serie A","Italy","2018","Arrivals","Cristiano Ronaldo","https://www.transfermarkt.com/cristiano-ronaldo/profil/spieler/8198","Centre-Forward","33","Portugal","Real Madrid","LaLiga","Spain",1.17e+08,FALSE,NA,"Summer",44,43,28,3646,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","João Cancelo","https://www.transfermarkt.com/joao-cancelo/profil/spieler/182712","Right-Back","24","Portugal","Valencia","LaLiga","Spain",40400000,FALSE,NA,"Summer",43,34,1,2599,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Douglas Costa","https://www.transfermarkt.com/douglas-costa/profil/spieler/75615","Right Winger","27","Brazil","Bayern Munich","Bundesliga","Germany",4e+07,FALSE,NA,"Summer",26,25,1,971,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Leonardo Bonucci","https://www.transfermarkt.com/leonardo-bonucci/profil/spieler/39983","Centre-Back","31","Italy","AC Milan","Serie A","Italy",3.5e+07,FALSE,NA,"Summer",47,41,3,3550,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Mattia Perin","https://www.transfermarkt.com/mattia-perin/profil/spieler/110923","Goalkeeper","25","Italy","Genoa","Serie A","Italy",16300000,FALSE,NA,"Summer",42,9,0,810,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Andrea Favilli","https://www.transfermarkt.com/andrea-favilli/profil/spieler/340151","Centre-Forward","21","Italy","Ascoli","Serie B","Italy",7500000,FALSE,NA,"Summer",0,0,0,0,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Giangiacomo Magnani","https://www.transfermarkt.com/giangiacomo-magnani/profil/spieler/310458","Centre-Back","22","Italy","Perugia","Serie B","Italy",5e+06,FALSE,NA,"Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Leonardo Spinazzola","https://www.transfermarkt.com/leonardo-spinazzola/profil/spieler/118689","Left-Back","25","Italy","Atalanta BC","Serie A","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",34,12,0,745,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Emre Can","https://www.transfermarkt.com/emre-can/profil/spieler/119296","Defensive Midfield","24","Germany","Liverpool","Premier League","England",0,FALSE,NA,"Summer",39,37,4,2255,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Mattia Caldara","https://www.transfermarkt.com/mattia-caldara/profil/spieler/197470","Centre-Back","24","Italy","Atalanta BC","Serie A","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Marko Pjaca","https://www.transfermarkt.com/marko-pjaca/profil/spieler/205940","Left Winger","23","Croatia","FC Schalke 04","Bundesliga","Germany",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Moise Kean","https://www.transfermarkt.com/moise-kean/profil/spieler/364135","Centre-Forward","18","Italy","Hellas Verona","Serie B","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",42,17,7,661,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Rolando Mandragora","https://www.transfermarkt.com/rolando-mandragora/profil/spieler/308279","Defensive Midfield","21","Italy","Crotone","Serie B","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Tomás Rincón","https://www.transfermarkt.com/tomas-rincon/profil/spieler/75942","Defensive Midfield","30","Venezuela","Torino","Serie A","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Alberto Cerri","https://www.transfermarkt.com/alberto-cerri/profil/spieler/197751","Centre-Forward","22","Italy","Perugia","Serie B","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Emil Audero","https://www.transfermarkt.com/emil-audero/profil/spieler/256339","Goalkeeper","21","Italy","Venezia","Serie B","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Nicola Leali","https://www.transfermarkt.com/nicola-leali/profil/spieler/136111","Goalkeeper","25","Italy","Perugia","Serie B","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Andrés Tello","https://www.transfermarkt.com/andres-tello/profil/spieler/331389","Central Midfield","21","Colombia","Bari","Serie D - I","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Luca Marrone","https://www.transfermarkt.com/luca-marrone/profil/spieler/124769","Centre-Back","28","Italy","Bari","Serie D - I","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Alberto Brignoli","https://www.transfermarkt.com/alberto-brignoli/profil/spieler/146799","Goalkeeper","26","Italy","Benevento","Serie B","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Joel Untersee","https://www.transfermarkt.com/joel-untersee/profil/spieler/147031","Right-Back","24","Switzerland","FC Empoli","Serie A","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Luca Clemenza","https://www.transfermarkt.com/luca-clemenza/profil/spieler/291520","Right Winger","20","Italy","Ascoli","Serie B","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Dario Del Fabro","https://www.transfermarkt.com/dario-del-fabro/profil/spieler/110475","Centre-Back","23","Italy","Novara","Serie C - A","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Pol García","https://www.transfermarkt.com/pol-garcia/profil/spieler/178217","Centre-Back","23","Spain","Cremonese","Serie B","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Roman Macek","https://www.transfermarkt.com/roman-macek/profil/spieler/256085","Central Midfield","21","Czech Republic","Cremonese","Serie B","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Matheus Pereira","https://www.transfermarkt.com/matheus-pereira/profil/spieler/323934","Central Midfield","20","Brazil","Paraná","Série A","Brazil",NA,TRUE,"End of loan Jun 30, 2018","Summer",4,3,0,91,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Laurențiu Brănescu","https://www.transfermarkt.com/laurentiu-branescu/profil/spieler/156521","Goalkeeper","24","Romania","FC Dinamo","SuperLiga","Romania",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Stefano Beltrame","https://www.transfermarkt.com/stefano-beltrame/profil/spieler/167791","Attacking Midfield","25","Italy","Go Ahead Eagles","Keuken Kampioen Divisie","Netherlands",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Luca Barlocco","https://www.transfermarkt.com/luca-barlocco/profil/spieler/197741","Left-Back","23","Italy","Alessandria","Serie C - A","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Timothy Nocchi","https://www.transfermarkt.com/timothy-nocchi/profil/spieler/107392","Goalkeeper","27","Italy","Perugia","Serie B","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Eric Lanini","https://www.transfermarkt.com/eric-lanini/profil/spieler/199635","Centre-Forward","24","Italy","Padova","Serie B","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Nicola Mosti","https://www.transfermarkt.com/nicola-mosti/profil/spieler/302497","Attacking Midfield","20","Italy","Viterbese","Serie C - C","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Nazzareno Belfasti","https://www.transfermarkt.com/nazzareno-belfasti/profil/spieler/124900","Left-Back","24","Italy","Pro Piacenza","Serie C - A","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Davide Cais","https://www.transfermarkt.com/davide-cais/profil/spieler/176463","Centre-Forward","24","Italy","Carrarese","Serie C - A","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Filippo Bianco","https://www.transfermarkt.com/filippo-bianco/profil/spieler/386570","Right-Back","19","Italy","Caratese","Serie D - A","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Alberto Gallinetta","https://www.transfermarkt.com/alberto-gallinetta/profil/spieler/150552","Goalkeeper","26","Italy","Ravenna","Serie C - B","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","King Udoh","https://www.transfermarkt.com/king-udoh/profil/spieler/340067","Centre-Forward","20","Italy","AJ Fano","Serie C - B","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Mattia Caldara","https://www.transfermarkt.com/mattia-caldara/profil/spieler/197470","Centre-Back","24","Italy","AC Milan","Serie A","Italy",37740000,FALSE,NA,"Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Rolando Mandragora","https://www.transfermarkt.com/rolando-mandragora/profil/spieler/308279","Defensive Midfield","21","Italy","Udinese Calcio","Serie A","Italy",2e+07,FALSE,NA,"Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Gonzalo Higuaín","https://www.transfermarkt.com/gonzalo-higuain/profil/spieler/39153","Centre-Forward","30","Argentina","AC Milan","Serie A","Italy",10200000,TRUE,NA,"Summer",0,0,0,0,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Tomás Rincón","https://www.transfermarkt.com/tomas-rincon/profil/spieler/75942","Defensive Midfield","30","Venezuela","Torino","Serie A","Italy",5900000,FALSE,NA,"Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Andrea Favilli","https://www.transfermarkt.com/andrea-favilli/profil/spieler/340151","Centre-Forward","21","Italy","Genoa","Serie A","Italy",5e+06,TRUE,NA,"Summer",0,0,0,0,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Giangiacomo Magnani","https://www.transfermarkt.com/giangiacomo-magnani/profil/spieler/310458","Centre-Back","22","Italy","Sassuolo","Serie A","Italy",5e+06,FALSE,NA,"Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Nicola Leali","https://www.transfermarkt.com/nicola-leali/profil/spieler/136111","Goalkeeper","25","Italy","Perugia","Serie B","Italy",2500000,FALSE,NA,"Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Andrés Tello","https://www.transfermarkt.com/andres-tello/profil/spieler/331389","Central Midfield","21","Colombia","Benevento","Serie B","Italy",2500000,FALSE,NA,"Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Marko Pjaca","https://www.transfermarkt.com/marko-pjaca/profil/spieler/205940","Left Winger","23","Croatia","Fiorentina","Serie A","Italy",1100000,TRUE,NA,"Summer",0,0,0,0,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Alberto Cerri","https://www.transfermarkt.com/alberto-cerri/profil/spieler/197751","Centre-Forward","22","Italy","Cagliari Calcio","Serie A","Italy",1e+06,TRUE,NA,"Summer",0,0,0,0,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Emil Audero","https://www.transfermarkt.com/emil-audero/profil/spieler/256339","Goalkeeper","21","Italy","Sampdoria","Serie A","Italy",1e+06,TRUE,NA,"Summer",0,0,0,0,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Alberto Brignoli","https://www.transfermarkt.com/alberto-brignoli/profil/spieler/146799","Goalkeeper","26","Italy","Palermo","Serie B","Italy",1e+06,FALSE,NA,"Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Joel Untersee","https://www.transfermarkt.com/joel-untersee/profil/spieler/147031","Right-Back","24","Switzerland","FC Empoli","Serie A","Italy",5e+05,FALSE,NA,"Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Kwadwo Asamoah","https://www.transfermarkt.com/kwadwo-asamoah/profil/spieler/63531","Left Midfield","29","Ghana","Inter","Serie A","Italy",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Claudio Marchisio","https://www.transfermarkt.com/claudio-marchisio/profil/spieler/44716","Central Midfield","32","Italy","Zenit S-Pb","Premier Liga","Russia",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Gianluigi Buffon","https://www.transfermarkt.com/gianluigi-buffon/profil/spieler/5023","Goalkeeper","40","Italy","Paris SG","Ligue 1","France",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Stephan Lichtsteiner","https://www.transfermarkt.com/stephan-lichtsteiner/profil/spieler/2865","Right-Back","34","Switzerland","Arsenal","Premier League","England",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Pol García","https://www.transfermarkt.com/pol-garcia/profil/spieler/178217","Centre-Back","23","Spain","Sint-Truiden","Jupiler Pro League","Belgium",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Nazzareno Belfasti","https://www.transfermarkt.com/nazzareno-belfasti/profil/spieler/124900","Left-Back","25","Italy","Reggiana","Serie D - D","Italy",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Filippo Bianco","https://www.transfermarkt.com/filippo-bianco/profil/spieler/386570","Right-Back","19","Italy","Caratese","Serie D - A","Italy",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","King Udoh","https://www.transfermarkt.com/king-udoh/profil/spieler/340067","Centre-Forward","21","Italy","Viareggio","Serie D - E","Italy",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Stefano Sturaro","https://www.transfermarkt.com/stefano-sturaro/profil/spieler/167859","Central Midfield","25","Italy","Sporting CP","Liga Portugal","Portugal",NA,TRUE,"loan transfer","Summer",0,0,0,0,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Luca Marrone","https://www.transfermarkt.com/luca-marrone/profil/spieler/124769","Centre-Back","28","Italy","Hellas Verona","Serie B","Italy",NA,TRUE,"loan transfer","Summer",0,0,0,0,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Roman Macek","https://www.transfermarkt.com/roman-macek/profil/spieler/256085","Central Midfield","21","Czech Republic","FC Lugano","Super League","Switzerland",NA,TRUE,"loan transfer","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Luca Barlocco","https://www.transfermarkt.com/luca-barlocco/profil/spieler/197741","Left-Back","23","Italy","Piacenza","Serie C - A","Italy",NA,TRUE,"loan transfer","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Matheus Pereira","https://www.transfermarkt.com/matheus-pereira/profil/spieler/323934","Central Midfield","20","Brazil","Juve Next Gen","Serie C - A","Italy",NA,FALSE,"-","Summer",4,3,0,91,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Timothy Nocchi","https://www.transfermarkt.com/timothy-nocchi/profil/spieler/107392","Goalkeeper","28","Italy","Juve Next Gen","Serie C - A","Italy",NA,FALSE,"-","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Pietro Beruatto","https://www.transfermarkt.com/pietro-beruatto/profil/spieler/381370","Left-Back","19","Italy","Juve Next Gen","Serie C - A","Italy",NA,FALSE,"-","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Alberto Gallinetta","https://www.transfermarkt.com/alberto-gallinetta/profil/spieler/150552","Goalkeeper","26","Italy","Without Club",NA,NA,NA,FALSE,"-","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Douglas Costa","https://www.transfermarkt.com/douglas-costa/profil/spieler/75615","Right Winger","27","Brazil","Bayern Munich","Bundesliga","Germany",NA,TRUE,"End of loan Jun 30, 2018","Summer",26,25,1,971,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Departures","Benedikt Höwedes","https://www.transfermarkt.com/benedikt-howedes/profil/spieler/39020","Centre-Back","30","Germany","FC Schalke 04","Bundesliga","Germany",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Italy",2018
"Juventus FC","Serie A","Italy","2018","Arrivals","Martín Cáceres","https://www.transfermarkt.com/martin-caceres/profil/spieler/54935","Centre-Back","31","Uruguay","Lazio","Serie A","Italy",6e+05,TRUE,NA,"Winter",16,9,0,627,"Italy",2018
