"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played","Country","Year"
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Kylian Mbappé","https://www.transfermarkt.com/kylian-mbappe/profil/spieler/342229","Centre-Forward","19","France","Monaco","Ligue 1","Monaco",1.8e+08,FALSE,NA,"Summer",44,43,39,3500,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Thilo Kehrer","https://www.transfermarkt.com/thilo-kehrer/profil/spieler/228948","Centre-Back","21","Germany","FC Schalke 04","Bundesliga","Germany",3.7e+07,FALSE,NA,"Summer",46,40,1,2952,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Juan Bernat","https://www.transfermarkt.com/juan-bernat/profil/spieler/126719","Left-Back","25","Spain","Bayern Munich","Bundesliga","Germany",5e+06,FALSE,NA,"Summer",41,41,4,3212,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Eric-Maxim Choupo-Moting","https://www.transfermarkt.com/eric-maxim-choupo-moting/profil/spieler/45660","Centre-Forward","29","Cameroon","Stoke City","Championship","England",0,FALSE,NA,"Summer",47,31,3,1266,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Gianluigi Buffon","https://www.transfermarkt.com/gianluigi-buffon/profil/spieler/5023","Goalkeeper","40","Italy","Juventus","Serie A","Italy",0,FALSE,NA,"Summer",50,25,0,2204,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Timothy Weah","https://www.transfermarkt.com/timothy-weah/profil/spieler/370846","Right Midfield","18","United States","Paris SG B","National 2 - Grp. C","France",NA,FALSE,"-","Summer",3,3,2,144,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Moussa Diaby","https://www.transfermarkt.com/moussa-diaby/profil/spieler/395516","Right Winger","18","France","Paris SG B","National 2 - Grp. C","France",NA,FALSE,"-","Summer",51,34,4,1524,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Sébastien Cibois","https://www.transfermarkt.com/sebastien-cibois/profil/spieler/395251","Goalkeeper","20","France","Paris SG B","National 2 - Grp. C","France",NA,FALSE,"-","Summer",8,0,0,0,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Antoine Bernede","https://www.transfermarkt.com/antoine-bernede/profil/spieler/395512","Central Midfield","19","France","Paris SG B","National 2 - Grp. C","France",NA,FALSE,"-","Summer",5,3,0,187,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Colin Dagba","https://www.transfermarkt.com/colin-dagba/profil/spieler/460629","Right-Back","19","France","Paris SG B","National 2 - Grp. C","France",NA,FALSE,"-","Summer",29,22,0,1155,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Stanley Nsoki","https://www.transfermarkt.com/stanley-nsoki/profil/spieler/371141","Centre-Back","19","France","Paris SG B","National 2 - Grp. C","France",NA,FALSE,"-","Summer",38,15,0,879,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Yacine Adli","https://www.transfermarkt.com/yacine-adli/profil/spieler/395236","Defensive Midfield","17","France","Paris SG B","National 2 - Grp. C","France",NA,FALSE,"-","Summer",NA,NA,NA,NA,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Gonçalo Guedes","https://www.transfermarkt.com/goncalo-guedes/profil/spieler/225122","Left Winger","21","Portugal","Valencia","LaLiga","Spain",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Grzegorz Krychowiak","https://www.transfermarkt.com/grzegorz-krychowiak/profil/spieler/45184","Defensive Midfield","28","Poland","West Brom","Championship","England",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Jesé","https://www.transfermarkt.com/jese/profil/spieler/134936","Left Winger","25","Spain","Stoke City","Championship","England",NA,TRUE,"End of loan Jun 30, 2018","Summer",1,1,0,2,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Timothy Weah","https://www.transfermarkt.com/timothy-weah/profil/spieler/370846","Right Midfield","19","United States","Celtic","Premiership","Scotland",NA,TRUE,"End of loan May 10, 2019","Summer",3,3,2,144,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Jean-Christophe Bahebeck","https://www.transfermarkt.com/jean-christophe-bahebeck/profil/spieler/164897","Centre-Forward","25","France","FC Utrecht","Eredivisie","Netherlands",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Odsonne Edouard","https://www.transfermarkt.com/odsonne-edouard/profil/spieler/344152","Centre-Forward","20","France","Celtic","Premiership","Scotland",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Jonathan Ikoné","https://www.transfermarkt.com/jonathan-ikone/profil/spieler/324690","Right Winger","20","France","Montpellier","Ligue 1","France",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Arrivals","Rémy Descamps","https://www.transfermarkt.com/remy-descamps/profil/spieler/282028","Goalkeeper","22","France","Tours FC","Championnat National","France",NA,TRUE,"End of loan Jun 30, 2018","Summer",0,0,0,0,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Departures","Gonçalo Guedes","https://www.transfermarkt.com/goncalo-guedes/profil/spieler/225122","Left Winger","21","Portugal","Valencia","LaLiga","Spain",4e+07,FALSE,NA,"Summer",NA,NA,NA,NA,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Departures","Javier Pastore","https://www.transfermarkt.com/javier-pastore/profil/spieler/55215","Attacking Midfield","29","Argentina","AS Roma","Serie A","Italy",24700000,FALSE,NA,"Summer",NA,NA,NA,NA,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Departures","Yuri Berchiche","https://www.transfermarkt.com/yuri-berchiche/profil/spieler/61812","Left-Back","28","Spain","Athletic","LaLiga","Spain",2.4e+07,FALSE,NA,"Summer",NA,NA,NA,NA,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Departures","Odsonne Edouard","https://www.transfermarkt.com/odsonne-edouard/profil/spieler/344152","Centre-Forward","20","France","Celtic","Premiership","Scotland",10300000,FALSE,NA,"Summer",NA,NA,NA,NA,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Departures","Jonathan Ikoné","https://www.transfermarkt.com/jonathan-ikone/profil/spieler/324690","Right Winger","20","France","LOSC Lille","Ligue 1","France",5e+06,FALSE,NA,"Summer",NA,NA,NA,NA,"France",2018
"Paris Saint-Germain","Ligue 1","France","2018","Departures","Giovani Lo Celso","https://www.transfermarkt.com/giovani-lo-celso/profil/spieler/348795","Attacking Midfield","22","Argentina","Real Betis","LaLiga","Spain",3e+06,TRUE,NA,"Summer",4,1,0,10,"France",2018
