"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played","Country","Year"
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","2018","Arrivals","Gustavo Gómez","https://www.transfermarkt.com/gustavo-gomez/profil/spieler/215390","Centre-Back","25","Paraguay","AC Milan","Serie A","Italy",3500000,TRUE,NA,"Summer",48,42,5,3754,"Brazil",2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","2018","Arrivals","Nicolás Freire","https://www.transfermarkt.com/nicolas-freire/profil/spieler/266809","Centre-Back","24","Argentina","Mvd City Torque","Primera División Clausura","Uruguay",150000,TRUE,NA,"Summer",NA,NA,NA,NA,"Brazil",2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","2018","Arrivals","Gustavo Scarpa","https://www.transfermarkt.com/gustavo-scarpa/profil/spieler/330085","Attacking Midfield","24","Brazil","Fluminense","Série A","Brazil",0,FALSE,NA,"Summer",51,47,13,2795,"Brazil",2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","2018","Arrivals","Antônio Carlos","https://www.transfermarkt.com/antonio-carlos/profil/spieler/207446","Centre-Back","25","Brazil","Tombense",NA,"Brazil",NA,FALSE,"?","Summer",61,23,0,1970,"Brazil",2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","2018","Arrivals","Luan Silva","https://www.transfermarkt.com/luan-silva/profil/spieler/573404","Centre-Forward","20","Brazil","EC Vitória","Série B","Brazil",NA,TRUE,"loan transfer","Summer",7,1,0,23,"Brazil",2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","2018","Arrivals","Róger Guedes","https://www.transfermarkt.com/roger-guedes/profil/spieler/348263","Left Winger","21","Brazil","Atlético-MG","Série A","Brazil",NA,TRUE,"End of loan Jul 12, 2018","Summer",NA,NA,NA,NA,"Brazil",2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","2018","Arrivals","Fernando Tobio","https://www.transfermarkt.com/fernando-tobio/profil/spieler/69802","Centre-Back","28","Argentina","Rosario Central","Liga Profesional","Argentina",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Brazil",2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","2018","Arrivals","Erik","https://www.transfermarkt.com/erik/profil/spieler/262016","Right Winger","24","Brazil","Atlético-MG","Série A","Brazil",NA,TRUE,"End of loan Aug 17, 2018","Summer",NA,NA,NA,NA,"Brazil",2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","2018","Arrivals","Pablo Mouche","https://www.transfermarkt.com/pablo-mouche/profil/spieler/17872","Left Winger","30","Argentina","Banfield","Liga Profesional","Argentina",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Brazil",2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","2018","Arrivals","Arouca","https://www.transfermarkt.com/arouca/profil/spieler/26270","Defensive Midfield","31","Brazil","Atlético-MG","Série A","Brazil",NA,TRUE,"End of loan Jul 11, 2018","Summer",NA,NA,NA,NA,"Brazil",2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","2018","Arrivals","Matheus Sales","https://www.transfermarkt.com/matheus-sales/profil/spieler/407654","Defensive Midfield","23","Brazil","Novorizontino",NA,"Brazil",NA,TRUE,"End of loan Apr 22, 2019","Summer",0,0,0,0,"Brazil",2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","2018","Arrivals","Nathan","https://www.transfermarkt.com/nathan/profil/spieler/339711","Centre-Back","23","Brazil","Servette FC","Challenge League","Switzerland",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Brazil",2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","2018","Arrivals","Vagner","https://www.transfermarkt.com/vagner/profil/spieler/200455","Goalkeeper","29","Brazil","Novorizontino",NA,"Brazil",NA,TRUE,"End of loan Apr 4, 2019","Summer",NA,NA,NA,NA,"Brazil",2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","2018","Arrivals","Lucas Taylor","https://www.transfermarkt.com/lucas-taylor/profil/spieler/387928","Right-Back","23","Brazil","PFK Lviv","Premier Liga","Ukraine",NA,TRUE,"End of loan Apr 3, 2019","Summer",NA,NA,NA,NA,"Brazil",2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","2018","Arrivals","Vitinho","https://www.transfermarkt.com/vitinho/profil/spieler/323944","Attacking Midfield","21","Brazil","São Caetano",NA,"Brazil",NA,TRUE,"End of loan Apr 30, 2019","Summer",NA,NA,NA,NA,"Brazil",2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","2018","Arrivals","João Pedro","https://www.transfermarkt.com/joao-pedro/profil/spieler/342024","Right-Back","21","Brazil","EC Bahia","Série A","Brazil",NA,TRUE,"End of loan Jun 1, 2018","Summer",NA,NA,NA,NA,"Brazil",2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","2018","Arrivals","Vitinho","https://www.transfermarkt.com/vitinho/profil/spieler/323944","Attacking Midfield","20","Brazil","Barça Atlètic","2ª B - Grupo III","Spain",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Brazil",2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","2018","Arrivals","Lucas Taylor","https://www.transfermarkt.com/lucas-taylor/profil/spieler/387928","Right-Back","23","Brazil","Boa Esporte","Série B","Brazil",NA,TRUE,"End of loan Jul 23, 2018","Summer",NA,NA,NA,NA,"Brazil",2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","2018","Arrivals","Gabriel Leite Borges","https://www.transfermarkt.com/gabriel-leite-borges/profil/spieler/394417","Attacking Midfield","24","Brazil","Red Bull",NA,"Brazil",NA,TRUE,"End of loan May 16, 2019","Summer",0,0,0,0,"Brazil",2018
