"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played","Country","Year"
"Bayern Munich","Bundesliga","Germany","2018","Arrivals","Leon Goretzka","https://www.transfermarkt.com/leon-goretzka/profil/spieler/153084","Central Midfield","23","Germany","FC Schalke 04","Bundesliga","Germany",0,FALSE,NA,"Summer",43,42,9,2720,"Germany",2018
"Bayern Munich","Bundesliga","Germany","2018","Arrivals","Ron-Thorben Hoffmann","https://www.transfermarkt.com/ron-thorben-hoffmann/profil/spieler/317444","Goalkeeper","19","Germany","FC Bayern U19","U19-Bundesliga S/SW","Germany",NA,FALSE,"-","Summer",6,0,0,0,"Germany",2018
"Bayern Munich","Bundesliga","Germany","2018","Arrivals","Douglas Costa","https://www.transfermarkt.com/douglas-costa/profil/spieler/75615","Right Winger","27","Brazil","Juventus","Serie A","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Germany",2018
"Bayern Munich","Bundesliga","Germany","2018","Arrivals","Serge Gnabry","https://www.transfermarkt.com/serge-gnabry/profil/spieler/159471","Right Winger","22","Germany","TSG Hoffenheim","Bundesliga","Germany",NA,TRUE,"End of loan Jun 30, 2018","Summer",42,42,13,2540,"Germany",2018
"Bayern Munich","Bundesliga","Germany","2018","Arrivals","Renato Sanches","https://www.transfermarkt.com/renato-sanches/profil/spieler/258027","Central Midfield","20","Portugal","Swansea","Championship","Wales",NA,TRUE,"End of loan Jun 30, 2018","Summer",42,24,2,782,"Germany",2018
"Bayern Munich","Bundesliga","Germany","2018","Departures","Douglas Costa","https://www.transfermarkt.com/douglas-costa/profil/spieler/75615","Right Winger","27","Brazil","Juventus","Serie A","Italy",4e+07,FALSE,NA,"Summer",NA,NA,NA,NA,"Germany",2018
"Bayern Munich","Bundesliga","Germany","2018","Departures","Arturo Vidal","https://www.transfermarkt.com/arturo-vidal/profil/spieler/37666","Central Midfield","31","Chile","Barcelona","LaLiga","Spain",1.8e+07,FALSE,NA,"Summer",NA,NA,NA,NA,"Germany",2018
"Bayern Munich","Bundesliga","Germany","2018","Departures","Sebastian Rudy","https://www.transfermarkt.com/sebastian-rudy/profil/spieler/57051","Defensive Midfield","28","Germany","FC Schalke 04","Bundesliga","Germany",1.6e+07,FALSE,NA,"Summer",1,0,0,0,"Germany",2018
"Bayern Munich","Bundesliga","Germany","2018","Departures","Juan Bernat","https://www.transfermarkt.com/juan-bernat/profil/spieler/126719","Left-Back","25","Spain","Paris SG","Ligue 1","France",5e+06,FALSE,NA,"Summer",2,0,0,0,"Germany",2018
"Bayern Munich","Bundesliga","Germany","2018","Departures","Niklas Dorsch","https://www.transfermarkt.com/niklas-dorsch/profil/spieler/251302","Defensive Midfield","20","Germany","Heidenheim","2. Bundesliga","Germany",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Germany",2018
"Bayern Munich","Bundesliga","Germany","2018","Departures","Fabian Benko","https://www.transfermarkt.com/fabian-benko/profil/spieler/337027","Left Winger","20","Croatia","LASK","Bundesliga","Austria",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Germany",2018
"Bayern Munich","Bundesliga","Germany","2018","Departures","Felix Götze","https://www.transfermarkt.com/felix-gotze/profil/spieler/330635","Centre-Back","20","Germany","FC Augsburg","Bundesliga","Germany",0,FALSE,NA,"Summer",NA,NA,NA,NA,"Germany",2018
"Bayern Munich","Bundesliga","Germany","2018","Departures","Tom Starke","https://www.transfermarkt.com/tom-starke/profil/spieler/80","Goalkeeper","37","Germany",NA,NA,NA,NA,FALSE,"-","Summer",NA,NA,NA,NA,"Germany",2018
"Bayern Munich","Bundesliga","Germany","2018","Arrivals","Alphonso Davies","https://www.transfermarkt.com/alphonso-davies/profil/spieler/424204","Left-Back","18","Canada","Vancouver","MLS","Canada",1.4e+07,FALSE,NA,"Winter",17,6,1,74,"Germany",2018
