"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played","Country","Year"
"FC Barcelona","LaLiga","Spain","2018","Arrivals","Malcom","https://www.transfermarkt.com/malcom/profil/spieler/323704","Right Winger","21","Brazil","G. Bordeaux","Ligue 1","France",4.1e+07,FALSE,NA,"Summer",45,24,4,1067,"Spain",2018
"FC Barcelona","LaLiga","Spain","2018","Arrivals","Clément Lenglet","https://www.transfermarkt.com/clement-lenglet/profil/spieler/182904","Centre-Back","23","France","Sevilla FC","LaLiga","Spain",35900000,FALSE,NA,"Summer",57,45,2,3654,"Spain",2018
"FC Barcelona","LaLiga","Spain","2018","Arrivals","Arthur Melo","https://www.transfermarkt.com/arthur-melo/profil/spieler/362842","Defensive Midfield","21","Brazil","Grêmio","Série A","Brazil",3.1e+07,FALSE,NA,"Summer",49,44,0,2479,"Spain",2018
"FC Barcelona","LaLiga","Spain","2018","Arrivals","Arturo Vidal","https://www.transfermarkt.com/arturo-vidal/profil/spieler/37666","Central Midfield","31","Chile","Bayern Munich","Bundesliga","Germany",1.8e+07,FALSE,NA,"Summer",58,53,3,2745,"Spain",2018
"FC Barcelona","LaLiga","Spain","2018","Arrivals","Marc Cucurella","https://www.transfermarkt.com/marc-cucurella/profil/spieler/284857","Left-Back","19","Spain","Barça Atlètic","2ª B - Grupo III","Spain",NA,FALSE,"-","Summer",NA,NA,NA,NA,"Spain",2018
"FC Barcelona","LaLiga","Spain","2018","Arrivals","Sergi Palencia","https://www.transfermarkt.com/sergi-palencia/profil/spieler/268176","Right-Back","22","Spain","Barça Atlètic","2ª B - Grupo III","Spain",NA,FALSE,"-","Summer",NA,NA,NA,NA,"Spain",2018
"FC Barcelona","LaLiga","Spain","2018","Arrivals","Adrián Ortolá","https://www.transfermarkt.com/adrian-ortola/profil/spieler/142033","Goalkeeper","24","Spain","Barça Atlètic","2ª B - Grupo III","Spain",NA,FALSE,"-","Summer",NA,NA,NA,NA,"Spain",2018
"FC Barcelona","LaLiga","Spain","2018","Arrivals","Marc Cardona","https://www.transfermarkt.com/marc-cardona/profil/spieler/443222","Centre-Forward","22","Spain","Barça Atlètic","2ª B - Grupo III","Spain",NA,FALSE,"-","Summer",NA,NA,NA,NA,"Spain",2018
"FC Barcelona","LaLiga","Spain","2018","Arrivals","Rafinha","https://www.transfermarkt.com/rafinha/profil/spieler/129473","Attacking Midfield","25","Brazil","Inter","Serie A","Italy",NA,TRUE,"End of loan Jun 30, 2018","Summer",14,8,1,349,"Spain",2018
"FC Barcelona","LaLiga","Spain","2018","Arrivals","Gerard Deulofeu","https://www.transfermarkt.com/gerard-deulofeu/profil/spieler/129476","Centre-Forward","24","Spain","Watford","Premier League","England",NA,TRUE,"End of loan Jun 30, 2018","Summer",NA,NA,NA,NA,"Spain",2018
