"player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club"
"Alphonse Areola","https://www.transfermarkt.com/alphonse-areola/profil/spieler/120629","18/19","Back injury",2018-12-20,2019-01-04,"15 days","1","Paris Saint-Germain"
"Alphonse Areola","https://www.transfermarkt.com/alphonse-areola/profil/spieler/120629","18/19","Back injury",2018-12-20,2019-01-04,"15 days","1","Villarreal CF"
"Kevin Trapp","https://www.transfermarkt.com/kevin-trapp/profil/spieler/45672","23/24","Back problems",2024-02-10,2024-02-14,"4 days","1","Eintracht Frankfurt"
"Kevin Trapp","https://www.transfermarkt.com/kevin-trapp/profil/spieler/45672","23/24","Back problems",2023-10-31,2023-11-03,"3 days","1","Eintracht Frankfurt"
"Kevin Trapp","https://www.transfermarkt.com/kevin-trapp/profil/spieler/45672","23/24","Back problems",2023-10-18,2023-10-27,"9 days","2","Eintracht Frankfurt"
"Kevin Trapp","https://www.transfermarkt.com/kevin-trapp/profil/spieler/45672","22/23","cold",2023-01-24,2023-01-27,"3 days","1","Eintracht Frankfurt"
"Kevin Trapp","https://www.transfermarkt.com/kevin-trapp/profil/spieler/45672","21/22","Wrist injury",2022-04-14,2022-04-21,"7 days","2","Eintracht Frankfurt"
"Kevin Trapp","https://www.transfermarkt.com/kevin-trapp/profil/spieler/45672","21/22","Corona virus",2022-01-13,2022-01-20,"7 days","1","Eintracht Frankfurt"
"Kevin Trapp","https://www.transfermarkt.com/kevin-trapp/profil/spieler/45672","19/20","Quarantine",2020-03-19,2020-04-02,"14 days",NA,"Eintracht Frankfurt"
"Kevin Trapp","https://www.transfermarkt.com/kevin-trapp/profil/spieler/45672","19/20","Shoulder injury",2019-09-30,2020-01-02,"94 days","21","Germany"
"Kevin Trapp","https://www.transfermarkt.com/kevin-trapp/profil/spieler/45672","18/19","muscular problems",2018-10-18,2018-10-25,"7 days","2","Eintracht Frankfurt"
"Kevin Trapp","https://www.transfermarkt.com/kevin-trapp/profil/spieler/45672","18/19","muscular problems",2018-10-08,2018-10-18,"10 days","2","Germany"
"Kevin Trapp","https://www.transfermarkt.com/kevin-trapp/profil/spieler/45672","17/18","infection",2017-11-06,2017-11-09,"3 days",NA,"Paris Saint-Germain"
"Rémy Descamps","https://www.transfermarkt.com/remy-descamps/profil/spieler/282028","18/19","Finger injury",2018-10-13,2018-11-29,"47 days","6","Clermont Foot 63"
"Gianluigi Buffon","https://www.transfermarkt.com/gianluigi-buffon/profil/spieler/5023","22/23","Calf injury",2023-06-01,2023-06-11,"10 days","1","Parma Calcio 1913"
"Gianluigi Buffon","https://www.transfermarkt.com/gianluigi-buffon/profil/spieler/5023","22/23","unknown injury",2023-05-12,2023-05-16,"4 days","1","Parma Calcio 1913"
"Gianluigi Buffon","https://www.transfermarkt.com/gianluigi-buffon/profil/spieler/5023","22/23","unknown injury",2023-01-20,2023-02-04,"15 days","2","Parma Calcio 1913"
"Gianluigi Buffon","https://www.transfermarkt.com/gianluigi-buffon/profil/spieler/5023","22/23","Hamstring injury",2022-10-03,2023-01-09,"98 days","14","Parma Calcio 1913"
"Gianluigi Buffon","https://www.transfermarkt.com/gianluigi-buffon/profil/spieler/5023","21/22","Corona virus",2022-01-04,2022-01-13,"9 days",NA,"Juventus FC"
"Gianluigi Buffon","https://www.transfermarkt.com/gianluigi-buffon/profil/spieler/5023","20/21","Lumbago",2021-03-13,2021-03-21,"8 days","2","Juventus FC"
"Gianluigi Buffon","https://www.transfermarkt.com/gianluigi-buffon/profil/spieler/5023","20/21","Calf problems",2020-11-24,2020-12-07,"13 days","4","Juventus FC"
"Gianluigi Buffon","https://www.transfermarkt.com/gianluigi-buffon/profil/spieler/5023","17/18","Hamstring injury",2017-12-05,2018-01-26,"52 days","9","Juventus FC"
"Sébastien Cibois","https://www.transfermarkt.com/sebastien-cibois/profil/spieler/395251","23/24","Injury to abdominal muscles",2024-04-08,NA,"29 days","5","Rodez AF"
"Sébastien Cibois","https://www.transfermarkt.com/sebastien-cibois/profil/spieler/395251","22/23","Shoulder injury",2023-02-19,2023-04-23,"63 days","9","Rodez AF"
"Sébastien Cibois","https://www.transfermarkt.com/sebastien-cibois/profil/spieler/395251","21/22","Achilles tendon rupture",2021-07-01,2021-12-15,"167 days","18","Stade Brestois 29"
"Marquinhos","https://www.transfermarkt.com/marquinhos/profil/spieler/181767","23/24","Achilles tendon contusion",2024-02-18,2024-04-04,"46 days","8","Paris Saint-Germain"
"Marquinhos","https://www.transfermarkt.com/marquinhos/profil/spieler/181767","23/24","Hamstring injury",2023-11-23,2023-12-03,"10 days","3","Paris Saint-Germain"
"Marquinhos","https://www.transfermarkt.com/marquinhos/profil/spieler/181767","23/24","Adductor pain",2023-10-28,2023-11-01,"4 days","1","Paris Saint-Germain"
"Marquinhos","https://www.transfermarkt.com/marquinhos/profil/spieler/181767","22/23","Dead leg",2023-02-15,2023-02-22,"7 days","1","Paris Saint-Germain"
"Marquinhos","https://www.transfermarkt.com/marquinhos/profil/spieler/181767","22/23","Rest",2022-11-12,2022-11-14,"2 days","1","Paris Saint-Germain"
"Marquinhos","https://www.transfermarkt.com/marquinhos/profil/spieler/181767","21/22","Fitness",2021-07-12,2021-08-16,"35 days","3","Paris Saint-Germain"
"Marquinhos","https://www.transfermarkt.com/marquinhos/profil/spieler/181767","20/21","Adductor pain",2021-04-08,2021-04-25,"17 days","5","Paris Saint-Germain"
"Marquinhos","https://www.transfermarkt.com/marquinhos/profil/spieler/181767","20/21","Adductor pain",2021-01-23,2021-02-05,"13 days","2","Paris Saint-Germain"
"Marquinhos","https://www.transfermarkt.com/marquinhos/profil/spieler/181767","20/21","Hip problems",2020-12-10,2020-12-17,"7 days","2","Paris Saint-Germain"
"Marquinhos","https://www.transfermarkt.com/marquinhos/profil/spieler/181767","20/21","Adductor pain",2020-11-25,2020-12-01,"6 days","1","Paris Saint-Germain"
"Marquinhos","https://www.transfermarkt.com/marquinhos/profil/spieler/181767","20/21","Adductor pain",2020-10-14,2020-10-18,"4 days","1","Paris Saint-Germain"
"Marquinhos","https://www.transfermarkt.com/marquinhos/profil/spieler/181767","20/21","Corona virus",2020-09-02,2020-09-16,"14 days","3","Paris Saint-Germain"
"Marquinhos","https://www.transfermarkt.com/marquinhos/profil/spieler/181767","19/20","Hamstring strain",2020-01-23,2020-02-13,"21 days","6","Paris Saint-Germain"
