"player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club"
"Esteban Andrada","https://www.transfermarkt.com/esteban-andrada/profil/spieler/105888","22/23","Knee surgery",2022-07-12,2022-08-04,"23 days","4","CF Monterrey"
"Esteban Andrada","https://www.transfermarkt.com/esteban-andrada/profil/spieler/105888","20/21","Corona virus",2021-05-02,2021-05-17,"15 days","6","CA Boca Juniors"
"Esteban Andrada","https://www.transfermarkt.com/esteban-andrada/profil/spieler/105888","20/21","Quarantine",2021-04-18,2021-04-30,"12 days","3","CA Boca Juniors"
"Esteban Andrada","https://www.transfermarkt.com/esteban-andrada/profil/spieler/105888","20/21","Hamstring strain",2020-10-29,2020-11-05,"7 days","1","CA Boca Juniors"
"Esteban Andrada","https://www.transfermarkt.com/esteban-andrada/profil/spieler/105888","19/20","Knee injury",2020-01-15,2020-02-12,"28 days","3","CA Boca Juniors"
"Esteban Andrada","https://www.transfermarkt.com/esteban-andrada/profil/spieler/105888","18/19","Knee injury",2019-06-13,2019-07-07,"24 days","6","Argentina"
"Esteban Andrada","https://www.transfermarkt.com/esteban-andrada/profil/spieler/105888","18/19","Broken jaw",2018-09-21,2018-11-12,"52 days","13","CA Boca Juniors"
"Esteban Andrada","https://www.transfermarkt.com/esteban-andrada/profil/spieler/105888","22/23","Knee surgery",2022-07-12,2022-08-04,"23 days","4","Argentina"
"Agustín Rossi","https://www.transfermarkt.com/agustin-rossi/profil/spieler/352324","21/22","Torn muscle bundle",2022-04-13,2022-05-02,"19 days","6","CA Boca Juniors"
"Agustín Rossi","https://www.transfermarkt.com/agustin-rossi/profil/spieler/352324","21/22","Quarantine",2021-07-22,2021-07-29,"7 days","2","CA Boca Juniors"
"Manuel Roffo","https://www.transfermarkt.com/manuel-roffo/profil/spieler/491687","22/23","flesh wound",2022-09-15,2022-09-20,"5 days","1","Club Atlético Tigre"
"Manuel Roffo","https://www.transfermarkt.com/manuel-roffo/profil/spieler/491687","21/22","flu",2022-02-28,2022-03-03,"3 days","1","Club Atlético Tigre"
"Javier Bustillos","https://www.transfermarkt.com/javier-bustillos/profil/spieler/537274","18/19","Cruciate ligament tear",2019-01-24,2019-07-24,"181 days",NA,NA
"Leonardo Balerdi","https://www.transfermarkt.com/leonardo-balerdi/profil/spieler/575998","23/24","Adductor pain",2024-03-15,2024-03-20,"5 days","1","Olympique Marseille"
"Leonardo Balerdi","https://www.transfermarkt.com/leonardo-balerdi/profil/spieler/575998","21/22","Shoulder injury",2022-03-24,2022-07-21,"119 days","13","Olympique Marseille"
"Leonardo Balerdi","https://www.transfermarkt.com/leonardo-balerdi/profil/spieler/575998","18/19","Facial injury",2019-01-25,2019-02-11,"17 days","10","Borussia Dortmund"
"Leonardo Balerdi","https://www.transfermarkt.com/leonardo-balerdi/profil/spieler/575998","23/24","Adductor pain",2024-03-15,2024-03-20,"5 days","1","Argentina U20"
