"player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club"
"Jailson","https://www.transfermarkt.com/jailson/profil/spieler/112940","20/21","Corona virus",2020-11-20,2020-12-04,"14 days","4","Sociedade Esportiva Palmeiras"
"Vinícius","https://www.transfermarkt.com/vinicius/profil/spieler/286772","20/21","Corona virus",2020-11-20,2020-12-04,"14 days","4","Sociedade Esportiva Palmeiras"
"Vinícius","https://www.transfermarkt.com/vinicius/profil/spieler/286772","19/20","Thumb injury",2019-10-07,2020-01-01,"86 days","4","Clube de Regatas Brasil (AL)"
"Vinícius","https://www.transfermarkt.com/vinicius/profil/spieler/286772","20/21","Corona virus",2020-11-20,2020-12-04,"14 days","4","Sociedade Esportiva Palmeiras"
"Matheus Teixeira","https://www.transfermarkt.com/matheus-teixeira/profil/spieler/598975","22/23","Hamstring strain",2023-04-24,2023-05-29,"35 days","7","Oita Trinita"
"Vitor Hugo","https://www.transfermarkt.com/vitor-hugo/profil/spieler/149752","22/23","Nose injury",2022-12-10,2022-12-18,"8 days",NA,"Trabzonspor"
"Vitor Hugo","https://www.transfermarkt.com/vitor-hugo/profil/spieler/149752","21/22","Fitness",2022-04-01,2022-04-04,"3 days","1","Trabzonspor"
"Vitor Hugo","https://www.transfermarkt.com/vitor-hugo/profil/spieler/149752","21/22","Broken tibia",2022-03-01,2022-04-01,"31 days","4","Trabzonspor"
"Vitor Hugo","https://www.transfermarkt.com/vitor-hugo/profil/spieler/149752","21/22","Fitness",2022-01-04,2022-01-08,"4 days","1","Trabzonspor"
"Vitor Hugo","https://www.transfermarkt.com/vitor-hugo/profil/spieler/149752","21/22","Muscle injury",2021-12-20,2022-01-04,"15 days","3","Trabzonspor"
"Vitor Hugo","https://www.transfermarkt.com/vitor-hugo/profil/spieler/149752","20/21","Groin injury",2021-04-28,2021-05-09,"11 days","2","Trabzonspor"
"Vitor Hugo","https://www.transfermarkt.com/vitor-hugo/profil/spieler/149752","20/21","Broken nose bone",2021-02-28,2021-03-03,"3 days","1","Trabzonspor"
"Vitor Hugo","https://www.transfermarkt.com/vitor-hugo/profil/spieler/149752","20/21","Compression of the spine",2020-12-26,2021-01-07,"12 days","3","Sociedade Esportiva Palmeiras"
"Vitor Hugo","https://www.transfermarkt.com/vitor-hugo/profil/spieler/149752","18/19","Groin surgery",2019-12-04,2020-02-09,"67 days","7","ACF Fiorentina"
"Vitor Hugo","https://www.transfermarkt.com/vitor-hugo/profil/spieler/149752","18/19","muscular problems",2019-01-30,2019-02-04,"5 days","2","ACF Fiorentina"
"Vitor Hugo","https://www.transfermarkt.com/vitor-hugo/profil/spieler/149752","17/18","Hamstring muscle injury",2018-04-26,2018-05-15,"19 days","3","Trabzonspor"
"Felipe Melo","https://www.transfermarkt.com/felipe-melo/profil/spieler/35537","20/21","Ankle injury",2020-11-08,2021-01-17,"70 days","20","Sociedade Esportiva Palmeiras"
"Fabiano","https://www.transfermarkt.com/fabiano/profil/spieler/271335","23/24","unknown injury",2024-01-29,2024-03-01,"32 days","7","Aris Thessaloniki"
"Fabiano","https://www.transfermarkt.com/fabiano/profil/spieler/271335","20/21","unknown injury",2021-03-06,2021-03-18,"12 days","2","Denizlispor"
"Antônio Carlos","https://www.transfermarkt.com/antonio-carlos/profil/spieler/207446","23/24","Leg injury",2023-08-17,2023-10-03,"47 days","8","Orlando City SC"
"Antônio Carlos","https://www.transfermarkt.com/antonio-carlos/profil/spieler/207446","22/23","Leg injury",2023-02-20,2023-03-09,"17 days","3","Orlando City SC"
"Antônio Carlos","https://www.transfermarkt.com/antonio-carlos/profil/spieler/207446","21/22","Muscle tear",2022-04-04,2022-06-20,"77 days","13","Orlando City SC"
"Vitão","https://www.transfermarkt.com/vitao/profil/spieler/428783","23/24","Hamstring injury",2023-08-28,2023-09-25,"28 days","4","Sport Club Internacional"
"Vitão","https://www.transfermarkt.com/vitao/profil/spieler/428783","22/23","Inflammation of ligaments in the knee",2023-05-15,2023-05-24,"9 days","2","Sport Club Internacional"
"Vitão","https://www.transfermarkt.com/vitao/profil/spieler/428783","21/22","unknown injury",2021-10-02,2021-10-14,"12 days","1","Shakhtar Donetsk"
"Vitão","https://www.transfermarkt.com/vitao/profil/spieler/428783","20/21","unknown injury",2020-12-09,2021-01-01,"23 days","2","Shakhtar Donetsk"
"Pedrão","https://www.transfermarkt.com/pedrao/profil/spieler/585264","23/24","unknown injury",2023-08-17,2023-08-31,"14 days","2","Portimonense SC"
"Pedrão","https://www.transfermarkt.com/pedrao/profil/spieler/585264","21/22","Hamstring injury",2022-03-01,2022-03-15,"14 days","2","Portimonense SC"
"Luan Cândido","https://www.transfermarkt.com/luan-candido/profil/spieler/432166","22/23","Leg injury",2023-02-27,2023-06-26,"119 days","22","Red Bull Bragantino"
"Lucas Esteves","https://www.transfermarkt.com/lucas-esteves/profil/spieler/688668","22/23","Thigh problems",2023-02-26,2023-04-13,"46 days","14","Fortaleza Esporte Clube"
