"","player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club"
"1","Ederson","https://www.transfermarkt.com/ederson/profil/spieler/238223","23/24","Muscle injury",2024-03-10,2024-04-05,"26 days","4","Manchester City"
"2","Ederson","https://www.transfermarkt.com/ederson/profil/spieler/238223","23/24","Knee injury",2024-01-13,2024-01-20,"7 days","1","Manchester City"
"3","Ederson","https://www.transfermarkt.com/ederson/profil/spieler/238223","20/21","Virus",2020-12-27,2021-01-12,"16 days","3","Manchester City"
"4","Ederson","https://www.transfermarkt.com/ederson/profil/spieler/238223","19/20","Ill",2019-12-30,2020-01-07,"8 days","3","Manchester City"
"5","Ederson","https://www.transfermarkt.com/ederson/profil/spieler/238223","19/20","Ill",2019-12-08,2019-12-14,"6 days","1","Manchester City"
"6","Ederson","https://www.transfermarkt.com/ederson/profil/spieler/238223","19/20","muscular problems",2019-11-06,2019-11-22,"16 days","4","Manchester City"
"7","Ederson","https://www.transfermarkt.com/ederson/profil/spieler/238223","17/18","Facial injury",2017-09-10,2017-09-12,"2 days",NA,"Brazil"
"8","Claudio Bravo","https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423","23/24","Hamstring injury",2023-11-12,2024-02-05,"85 days","17","Real Betis Balompié"
"9","Claudio Bravo","https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423","21/22","Calf injury",2022-01-28,2022-02-21,"24 days","7","Chile"
"10","Claudio Bravo","https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423","20/21","Muscle injury",2021-01-18,2021-02-11,"24 days","6","Real Betis Balompié"
"11","Claudio Bravo","https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423","20/21","Calf problems",2020-12-21,2020-12-31,"10 days","2","Chile"
"12","Claudio Bravo","https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423","20/21","muscular problems",2020-11-23,2020-12-14,"21 days","4","Real Betis Balompié"
"13","Claudio Bravo","https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423","20/21","Knee problems",2020-09-25,2020-10-15,"20 days","5","Real Betis Balompié"
"14","Claudio Bravo","https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423","18/19","Fitness",2019-04-04,2019-05-12,"38 days","9","Real Betis Balompié"
"15","Claudio Bravo","https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423","18/19","Achilles tendon rupture",2018-08-20,2019-04-03,"226 days","55","Real Betis Balompié"
"16","Claudio Bravo","https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423","23/24","Hamstring injury",2023-11-12,2024-02-05,"85 days","17","FC Barcelona"
"17","Claudio Bravo","https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423","21/22","Calf injury",2022-01-28,2022-02-21,"24 days","7","Real Sociedad"
"18","Claudio Bravo","https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423","20/21","Muscle injury",2021-01-18,2021-02-11,"24 days","6","Chile"
"19","Claudio Bravo","https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423","20/21","Calf problems",2020-12-21,2020-12-31,"10 days","2","Real Sociedad"
"20","Claudio Bravo","https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423","20/21","muscular problems",2020-11-23,2020-12-14,"21 days","4","Chile"
"21","Claudio Bravo","https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423","20/21","Knee problems",2020-09-25,2020-10-15,"20 days","5","Real Sociedad"
"22","Claudio Bravo","https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423","18/19","Fitness",2019-04-04,2019-05-12,"38 days","9","Chile"
"23","Claudio Bravo","https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423","18/19","Achilles tendon rupture",2018-08-20,2019-04-03,"226 days","55","Real Sociedad"
"24","Arijanet Muric","https://www.transfermarkt.com/arijanet-muric/profil/spieler/371021","21/22","Head injury",2022-02-06,2022-02-11,"5 days","2","Adana Demirspor"
"25","Arijanet Muric","https://www.transfermarkt.com/arijanet-muric/profil/spieler/371021","20/21","Muscle injury",2020-10-20,2020-11-10,"21 days","6","Girona FC"
