"player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club"
"Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","23/24","Torn muscle fiber",2024-03-20,2024-04-08,"19 days","2","Bayern Munich"
"Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","23/24","Fitness",2023-10-18,2023-10-25,"7 days","2","Bayern Munich"
"Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","22/23","Lower leg fracture",2022-12-10,2023-10-17,"311 days","36","Bayern Munich"
"Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","22/23","Shoulder joint contusion",2022-10-10,2022-11-03,"24 days","7","Bayern Munich"
"Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","22/23","Corona virus",2022-09-19,2022-09-26,"7 days","2","Germany"
"Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","21/22","Knee surgery",2022-02-03,2022-03-07,"32 days","6","Bayern Munich"
"Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","21/22","Corona virus",2021-12-30,2022-01-13,"14 days","1","Bayern Munich"
"Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","21/22","Capsular injury",2021-08-30,2021-09-02,"3 days","1","Germany"
"Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","21/22","Capsular injury",2021-08-23,2021-08-26,"3 days","1","Bayern Munich"
"Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","18/19","Torn muscle fiber",2019-04-15,2019-05-20,"35 days","6","Bayern Munich"
"Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","18/19","Calf problems",2019-03-28,2019-04-08,"11 days","3","Bayern Munich"
"Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","18/19","Finger injury",2019-01-31,2019-02-14,"14 days","3","Bayern Munich"
"Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","17/18","Fitness",2018-04-12,2018-05-14,"32 days","8","Bayern Munich"
"Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","17/18","Metatarsal fracture",2017-09-18,2018-04-12,"206 days","43","Bayern Munich"
"Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","23/24","Torn muscle fiber",2024-03-20,2024-04-08,"19 days","2","Bayern Munich"
