"player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club"
"Odysseas Vlachodimos","https://www.transfermarkt.com/odysseas-vlachodimos/profil/spieler/124419","21/22","Corona virus",2022-01-06,2022-01-11,"5 days","1","SL Benfica"
"Odysseas Vlachodimos","https://www.transfermarkt.com/odysseas-vlachodimos/profil/spieler/124419","20/21","Corona virus",2021-01-24,2021-01-31,"7 days","2","SL Benfica"
"Bruno Varela","https://www.transfermarkt.com/bruno-varela/profil/spieler/182722","23/24","Hamstring injury",2024-02-05,2024-03-20,"44 days","7","Vitória Guimarães SC"
"Bruno Varela","https://www.transfermarkt.com/bruno-varela/profil/spieler/182722","22/23","unknown injury",2023-03-03,2023-04-25,"53 days","25","Vitória Guimarães SC"
"Bruno Varela","https://www.transfermarkt.com/bruno-varela/profil/spieler/182722","21/22","Corona virus",2022-01-22,2022-01-29,"7 days","1","Portugal U18"
"Bruno Varela","https://www.transfermarkt.com/bruno-varela/profil/spieler/182722","21/22","Knee injury",2021-07-23,2021-09-02,"41 days","8","Vitória Guimarães SC"
"Bruno Varela","https://www.transfermarkt.com/bruno-varela/profil/spieler/182722","21/22","Muscle injury",2021-05-18,2021-06-30,"43 days","10","Vitória Guimarães SC"
"Bruno Varela","https://www.transfermarkt.com/bruno-varela/profil/spieler/182722","20/21","Corona virus",2021-01-27,2021-02-04,"8 days","1","Portugal U18"
"Bruno Varela","https://www.transfermarkt.com/bruno-varela/profil/spieler/182722","18/19","unknown injury",2019-02-04,2019-02-25,"21 days","13","Vitória Guimarães SC"
"Bruno Varela","https://www.transfermarkt.com/bruno-varela/profil/spieler/182722","23/24","Hamstring injury",2024-02-05,2024-03-20,"44 days","7","Vitória Guimarães SC"
"Bruno Varela","https://www.transfermarkt.com/bruno-varela/profil/spieler/182722","22/23","unknown injury",2023-03-03,2023-04-25,"53 days","25","Ajax Amsterdam"
"Bruno Varela","https://www.transfermarkt.com/bruno-varela/profil/spieler/182722","21/22","Corona virus",2022-01-22,2022-01-29,"7 days","1","Portugal U18"
"Bruno Varela","https://www.transfermarkt.com/bruno-varela/profil/spieler/182722","21/22","Knee injury",2021-07-23,2021-09-02,"41 days","8","Vitória Setúbal FC"
"Bruno Varela","https://www.transfermarkt.com/bruno-varela/profil/spieler/182722","21/22","Muscle injury",2021-05-18,2021-06-30,"43 days","10","Portugal U21"
"Mile Svilar","https://www.transfermarkt.com/mile-svilar/profil/spieler/338670","21/22","Corona virus",2022-01-03,2022-01-08,"5 days",NA,"SL Benfica"
"Mile Svilar","https://www.transfermarkt.com/mile-svilar/profil/spieler/338670","21/22","Corona virus",2021-09-10,2021-09-20,"10 days","3","SL Benfica"
