team_buyer,league_buyer,country_buyer,player_name,player_position,player_age,player_nationality,club_seller,league_seller,country_seller,precio de transferencia,is_loan,window,total_games_missed,Overall,Wage,Preferred Foot,Weak Foot,Skill Moves,Work Rate,Body Type,Contract Valid Until,Year_Joined,in_squad,expenditure_euros_seller,income_euros_seller,avg_age_out_seller,avg_age_in_seller,expenditure_euros_buyer,income_euros_buyer,avg_age_out_buyer,avg_age_in_buyer,appearances,goals,minutes_played,appearances_2022_quartiles
inter milan,Serie A,Italy,b. pavard,Centre-Back,27.0,France,bayern munich,Bundesliga,Germany,30000000.0,False,Summer,0.0,79.0,56000.0,Right,3.0,3.0,Medium/ High,Normal (185+),2025.0,2019.0,2.0,187500000.0,173250000.0,24.4,23.8,70750000.0,129950000.0,24.1,27.6,43.0,7.0,3371.0,Q4
inter milan,Serie A,Italy,k. asllani,Defensive Midfield,21.0,Albania,fc empoli,Serie A,Italy,10000000.0,False,Summer,0.0,72.0,6000.0,Right,3.0,2.0,Medium/ High,Lean (170-185),2024.0,2022.0,46.0,70750000.0,59000000.0,23.7,25.4,70750000.0,129950000.0,24.1,27.6,29.0,0.0,858.0,Q3
inter milan,Serie A,Italy,y. bisseck,Centre-Back,22.0,Germany,aarhus gf,Superliga,Denmark,7000000.0,False,Summer,0.0,68.0,4000.0,Right,3.0,2.0,Medium/ High,Stocky (185+),2026.0,2021.0,47.0,70750000.0,13600000.0,23.1,21.9,70750000.0,129950000.0,24.1,27.6,35.0,5.0,3082.0,Q4
inter milan,Serie A,Italy,y. sommer,Goalkeeper,34.0,Switzerland,bayern munich,Bundesliga,Germany,6750000.0,False,Summer,6.0,85.0,40000.0,Right,4.0,1.0,Medium/ Medium,Normal (170-185),2024.0,2014.0,46.0,187500000.0,173250000.0,24.4,23.8,70750000.0,129950000.0,24.1,27.6,25.0,0.0,2250.0,Q3
inter milan,Serie A,Italy,d. frattesi,Central Midfield,23.0,Italy,us sassuolo,Serie A,Italy,6000000.0,True,Summer,0.0,77.0,29000.0,Right,4.0,3.0,Medium/ Medium,Normal (170-185),2026.0,2017.0,44.0,70750000.0,110120000.0,22.5,22.6,70750000.0,129950000.0,24.1,27.6,37.0,7.0,2969.0,Q4
inter milan,Serie A,Italy,f. acerbi,Centre-Back,35.0,Italy,ss lazio,Serie A,Italy,4000000.0,False,Summer,0.0,82.0,59000.0,Left,3.0,3.0,Medium/ High,Normal (185+),2024.0,2018.0,38.0,70750000.0,48800000.0,25.4,22.5,70750000.0,129950000.0,24.1,27.6,49.0,1.0,3827.0,Q4
inter milan,Serie A,Italy,t. buchanan,Right Midfield,24.0,Canada,club brugge kv,Jupiler Pro League,Belgium,7000000.0,False,Winter,20.0,72.0,15000.0,Right,3.0,3.0,High/ Medium,Lean (170-185),2025.0,2021.0,25.0,70750000.0,53000000.0,24.4,24.5,70750000.0,129950000.0,24.1,27.6,32.0,1.0,2464.0,Q4
ac milan,Serie A,Italy,c. pulisic,Right Winger,24.0,United States,chelsea fc,Premier League,England,20000000.0,False,Summer,52.0,82.0,120000.0,Right,4.0,4.0,Medium/ Medium,Lean (170-185),2025.0,2019.0,48.0,467800000.0,269500000.0,24.9,21.4,119500000.0,70500000.0,24.5,22.6,30.0,1.0,1012.0,Q3
ac milan,Serie A,Italy,s. chukwueze,Right Winger,24.0,Nigeria,villerreal cf,LaLiga,Spain,20000000.0,False,Summer,0.0,79.0,32000.0,Left,2.0,4.0,High/ Low,Normal (170-185),2025.0,2018.0,38.0,119500000.0,111900000.0,24.929340334755544,23.781851000984613,119500000.0,70500000.0,24.5,22.6,50.0,13.0,3262.0,Q4
ac milan,Serie A,Italy,y. musah,Central Midfield,20.0,United States,valencia cf,LaLiga,Spain,20000000.0,False,Summer,0.0,73.0,15000.0,Right,3.0,4.0,High/ Medium,Normal (170-185),2026.0,2019.0,43.0,119500000.0,27400000.0,25.4,22.7,119500000.0,70500000.0,24.5,22.6,37.0,0.0,2358.0,Q4
ac milan,Serie A,Italy,t. reijnders,Central Midfield,24.0,Netherlands,az alkmaar,Eredivisie,Netherlands,19000000.0,False,Summer,0.0,71.0,7000.0,Right,4.0,3.0,Medium/ Medium,Lean (185+),2025.0,2017.0,49.0,119500000.0,61900000.0,22.9,20.7,119500000.0,70500000.0,24.5,22.6,54.0,7.0,4843.0,Q4
ac milan,Serie A,Italy,r. loftus-cheek,Central Midfield,27.0,England,chelsea fc,Premier League,England,18500000.0,False,Summer,5.0,76.0,81000.0,Right,3.0,4.0,Medium/ Medium,Normal (185+),2025.0,2013.0,42.0,467800000.0,269500000.0,24.9,21.4,119500000.0,70500000.0,24.5,22.6,33.0,0.0,1912.0,Q4
ac milan,Serie A,Italy,n. okafor,Centre-Forward,23.0,Switzerland,rb salzburg,Austrian league, Austria,14000000.0,False,Summer,5.0,75.0,25000.0,Right,4.0,4.0,High/ Medium,Normal (185+),2025.0,2020.0,40.0,119500000.0,74800000.0,24.929340334755544,23.781851000984613,119500000.0,70500000.0,24.5,22.6,32.0,10.0,1844.0,Q4
ac milan,Serie A,Italy,m. pellegrino,Centre-Back,21.0,Argentina,platense,Copa de la Liga,Argentina,3500000.0,False,Summer,0.0,63.0,3000.0,Left,4.0,2.0,Medium/ Medium,Lean (185+),2024.0,2022.0,10.0,119500000.0,3500000.0,24.929340334755544,23.781851000984613,119500000.0,70500000.0,24.5,22.6,,,,
ac milan,Serie A,Italy,f. terracciano,Right-Back,20.0,Italy,hellas verona,Serie A,Italy,4500000.0,False,Winter,0.0,69.0,0.0,Right,1.0,1.0,Medium/ Medium,Normal (170-185),2025.0,2019,24.0,119500000.0,95860000.0,24.6,23.4,119500000.0,70500000.0,24.5,22.6,20.0,0.0,814.0,Q3
ssc napoli,Serie A,Italy,"j. lindstra,m",Attacking Midfield,23.0,Denmark,eintracht frankfurt,Bundesliga,Germany,30000000.0,False,Summer,11.0,75.0,22000.0,Right,3.0,3.0,High/ Medium,Lean (170-185),2026.0,2021.0,4.0,125000000.0,149000000.0,23.7,21.9,125000000.0,101700000.0,23.4,23.9,38.0,9.0,2364.0,Q4
ssc napoli,Serie A,Italy,g. raspadori,Second Striker,23.0,Italy,us sassuolo,Serie A,Italy,26000000.0,False,Summer,0.0,79.0,37000.0,Right,5.0,4.0,High/ Low,Normal (170-185),2031.0,2022.0,46.0,125000000.0,110120000.0,22.5,22.6,125000000.0,101700000.0,23.4,23.9,33.0,6.0,1217.0,Q4
ssc napoli,Serie A,Italy,g. simeone,Centre-Forward,27.0,Argentina,hellas verona,Serie A,Italy,12000000.0,False,Summer,0.0,78.0,33000.0,Right,4.0,3.0,High/ High,Normal (170-185),2026.0,2022.0,46.0,125000000.0,95860000.0,24.6,23.4,125000000.0,101700000.0,23.4,23.9,33.0,9.0,765.0,Q4
ssc napoli,Serie A,Italy,j. cajuste,Central Midfield,24.0,Sweden,stade reims,Ligue 1,France,12000000.0,False,Summer,0.0,72.0,15000.0,Right,4.0,3.0,Medium/ High,Normal (185+),2026.0,2022.0,42.0,125000000.0,75050000.0,23.5,23.0,125000000.0,101700000.0,23.4,23.9,31.0,3.0,1500.0,Q3
ssc napoli,Serie A,Italy,natan,Centre-Back,22.0,Brazil,rb bragantino,Liga Brasil,Brazil,10000000.0,False,Summer,0.0,69.0,0.0,Right,1.0,1.0,Medium/ Medium,Normal (170-185),2025.0,2019,40.0,125000000.0,19000000.0,23.8,23.6,125000000.0,101700000.0,23.4,23.9,26.0,0.0,2215.0,Q3
ssc napoli,Serie A,Italy,w. cheddira,Centre-Forward,25.0,Morocco,bari,Serie B,Italy,7000000.0,False,Summer,0.0,67.0,2000.0,Right,4.0,3.0,Medium/ Medium,Normal (185+),2025.0,2022.0,38.0,125000000.0,14000000.0,24.929340334755544,23.781851000984613,125000000.0,101700000.0,23.4,23.9,38.0,22.0,3000.0,Q4
ssc napoli,Serie A,Italy,e. caprile,Goalkeeper,21.0,Italy,bari,Serie B,Italy,7000000.0,False,Summer,0.0,67.0,900.0,Right,3.0,1.0,Medium/ Medium,Normal (185+),2025.0,2022.0,31.0,125000000.0,14000000.0,24.929340334755544,23.781851000984613,125000000.0,101700000.0,23.4,23.9,43.0,0.0,3800.0,Q4
ssc napoli,Serie A,Italy,c. ngonge,Right Winger,23.0,Belgium,hellas verona,Serie A,Italy,18000000.0,False,Winter,3.0,69.0,0.0,Right,1.0,1.0,Medium/ Medium,Normal (170-185),2025.0,2019,13.0,125000000.0,95860000.0,24.6,23.4,125000000.0,101700000.0,23.4,23.9,15.0,5.0,836.0,Q2
ssc napoli,Serie A,Italy,p. mazzocchi,Right-Back,28.0,Italy,us salernitana 1919,Serie A,Italy,3000000.0,False,Winter,0.0,70.0,13000.0,Right,3.0,3.0,Medium/ Medium,Normal (170-185),2025.0,2022.0,21.0,125000000.0,4760000.0,25.2,25.2,125000000.0,101700000.0,23.4,23.9,27.0,2.0,1965.0,Q3
juventus fc,Serie A,Italy,m. locatelli,Defensive Midfield,25.0,Italy,us sassuolo,Serie A,Italy,36400000.0,False,Summer,0.0,82.0,37000.0,Right,4.0,3.0,Medium/ High,Lean (185+),2024.0,2022.0,39.0,95450000.0,110120000.0,22.5,22.6,95450000.0,66730000.0,24.6,22.3,49.0,0.0,3637.0,Q4
juventus fc,Serie A,Italy,m. kean,Centre-Forward,23.0,Italy,everton fc,Premier League,England,30000000.0,False,Summer,0.0,78.0,41000.0,Right,3.0,3.0,High/ Medium,Normal (170-185),2024.0,2022.0,22.0,95450000.0,82800000.0,26.4,24.7,95450000.0,66730000.0,24.6,22.3,40.0,8.0,1439.0,Q4
juventus fc,Serie A,Italy,t. weah,Right Midfield,23.0,United States,losc lille,Ligue 1,France,11000000.0,False,Summer,16.0,74.0,23000.0,Right,3.0,3.0,High/ Medium,Lean (185+),2025.0,2019.0,34.0,95450000.0,43100000.0,27.5,24.2,95450000.0,66730000.0,24.6,22.3,32.0,0.0,1940.0,Q4
juventus fc,Serie A,Italy,a. milik,Centre-Forward,29.0,Poland,olympique marseille,Ligue 1,France,7300000.0,False,Summer,0.0,79.0,50000.0,Left,3.0,3.0,Medium/ Medium,Normal (185+),2025.0,2022.0,33.0,102600000.0,72400000.0,26.3,25.1,95450000.0,66730000.0,24.6,22.3,39.0,9.0,2121.0,Q4
juventus fc,Serie A,Italy,f. gonza!lez,Centre-Back,20.0,Uruguay,valencia b,Segunda FederaciÃÂ³n - Gr. III,Spain,1750000.0,False,Summer,0.0,61.0,2000.0,Left,2.0,3.0,Medium/ Medium,Normal (170-185),2025.0,2021.0,18.434199903116426,95450000.0,1750000.0,24.929340334755544,23.781851000984613,95450000.0,66730000.0,24.6,22.3,,,,
juventus fc,Serie A,Italy,t. djala3,Centre-Back,23.0,Portugal,losc lille,Ligue 1,France,5100000.0,False,Winter,37.0,75.0,23000.0,Right,3.0,2.0,Medium/ High,Lean (185+),2025.0,2019.0,16.0,95450000.0,43100000.0,27.5,24.2,95450000.0,66730000.0,24.6,22.3,26.0,2.0,2111.0,Q3
juventus fc,Serie A,Italy,c. alcaraz,Central Midfield,21.0,Argentina,southampton,Championship,England,3900000.0,True,Winter,0.0,71.0,7000.0,Right,3.0,4.0,High/ Low,Lean (170-185),2026.0,2020.0,13.0,95450000.0,183340000.0,24.929340334755544,23.781851000984613,95450000.0,66730000.0,24.6,22.3,21.0,4.0,1260.0,Q3
atalanta bc,Serie A,Italy,e. bilal toura(c),Centre-Forward,21.0,Mali,ud almeria,LaLiga,Spain,29100000.0,False,Summer,0.0,69.0,0.0,Right,1.0,1.0,Medium/ Medium,Normal (170-185),2025.0,2019,24.0,78100000.0,51200000.0,24.7,24.1,78100000.0,151920000.0,23.5,23.6,22.0,7.0,1308.0,Q3
atalanta bc,Serie A,Italy,g. scamacca,Centre-Forward,24.0,Italy,west ham united,Premier League,England,25500000.0,False,Summer,41.0,80.0,73000.0,Right,3.0,4.0,Medium/ Medium,Normal (185+),2027.0,2022.0,43.0,144560000.0,172560000.0,25.8,24.9,78100000.0,151920000.0,23.5,23.6,27.0,8.0,1342.0,Q3
atalanta bc,Serie A,Italy,m. bakker,Left Midfield,23.0,Netherlands,bayer 04 leverkusen,Bundesliga,Germany,9500000.0,False,Summer,0.0,75.0,33000.0,Left,2.0,2.0,Medium/ Medium,Normal (185+),2025.0,2021.0,47.0,81800000.0,69200000.0,25.3,23.8,78100000.0,151920000.0,23.5,23.6,40.0,4.0,2602.0,Q4
atalanta bc,Serie A,Italy,c. de ketelaere,Attacking Midfield,22.0,Belgium,ac milan,Serie A,Italy,3000000.0,True,Summer,0.0,78.0,49000.0,Left,4.0,4.0,High/ High,Lean (185+),2027.0,2022.0,46.0,119500000.0,70500000.0,24.5,22.6,78100000.0,151920000.0,23.5,23.6,0.0,0.0,0.0,Q1
atalanta bc,Serie A,Italy,e. holm,Right Midfield,23.0,Sweden,spezia calcio,Serie B,Italy,2500000.0,True,Summer,18.0,65.0,4000.0,Right,2.0,2.0,High/ Medium,Lean (185+),2026.0,2021.0,41.0,78100000.0,20100000.0,24.929340334755544,23.781851000984613,78100000.0,151920000.0,23.5,23.6,23.0,1.0,1484.0,Q3
atalanta bc,Serie A,Italy,i. hien,Centre-Back,24.0,Sweden,hellas verona,Serie A,Italy,8500000.0,False,Winter,0.0,67.0,2000.0,Right,3.0,2.0,Medium/ Medium,Lean (185+),2025.0,2021.0,23.0,78100000.0,95860000.0,24.6,23.4,78100000.0,151920000.0,23.5,23.6,33.0,0.0,2694.0,Q4
as roma,Serie A,Italy,r. lukaku,Centre-Forward,30.0,Belgium,chelsea fc,Premier League,England,5800000.0,True,Summer,30.0,86.0,200000.0,Left,4.0,3.0,Medium/ Low,Unique,2024.0,2022.0,46.0,467800000.0,269500000.0,24.9,21.4,19950000.0,82950000.0,24.2,25.1,37.0,14.0,1988.0,Q4
as roma,Serie A,Italy,l. paredes,Defensive Midfield,29.0,Argentina,paris sg,Ligue 1,France,2500000.0,False,Summer,24.0,80.0,79000.0,Right,4.0,4.0,Medium/ Medium,Normal (170-185),2025.0,2019.0,49.0,454500000.0,207500000.0,23.8,23.6,19950000.0,82950000.0,24.2,25.1,35.0,1.0,1548.0,Q4
as roma,Serie A,Italy,r. sanches,Central Midfield,25.0,Portugal,paris sg,Ligue 1,France,1000000.0,True,Summer,19.0,80.0,72000.0,Right,4.0,4.0,High/ High,Normal (170-185),2027.0,2022.0,31.0,454500000.0,207500000.0,23.8,23.6,19950000.0,82950000.0,24.2,25.1,,,,
as roma,Serie A,Italy,t. baldanzi,Attacking Midfield,20.0,Italy,fc empoli,Serie A,Italy,10000000.0,False,Winter,0.0,66.0,2000.0,Left,3.0,3.0,High/ Low,Normal (170-),2024.0,2021.0,22.0,19950000.0,59000000.0,23.7,25.4,19950000.0,82950000.0,24.2,25.1,27.0,4.0,1825.0,Q3
as roma,Serie A,Italy,d. huijsen,Centre-Back,18.0,Spain,juventus fc,Serie A,Italy,650000.0,True,Winter,0.0,69.0,0.0,Right,1.0,1.0,Medium/ Medium,Normal (170-185),2025.0,2019,16.0,95450000.0,66730000.0,24.6,22.3,19950000.0,82950000.0,24.2,25.1,,,,
bologna fc 1909,Serie A,Italy,j. karlsson,Left Winger,25.0,Sweden,az alkmaar,Eredivisie,Netherlands,11000000.0,False,Summer,23.0,78.0,13000.0,Right,3.0,5.0,High/ Low,Lean (170-185),2031.0,2022.0,25.0,65500000.0,61900000.0,22.9,20.7,65500000.0,33500000.0,23.9,22.8,33.0,13.0,2478.0,Q4
