"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Agustín Rossi","https://www.transfermarkt.com/agustin-rossi/profil/spieler/352324","Goalkeeper",22,"Argentina",12,6,0,540,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Manuel Roffo","https://www.transfermarkt.com/manuel-roffo/profil/spieler/491687","Goalkeeper",18,"Argentina",0,0,0,0,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Esteban Andrada","https://www.transfermarkt.com/esteban-andrada/profil/spieler/105888","Goalkeeper",27,"Argentina",41,38,0,3480,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Marcos Díaz","https://www.transfermarkt.com/marcos-diaz/profil/spieler/56006","Goalkeeper",32,"Argentina",34,3,0,270,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Javier Bustillos","https://www.transfermarkt.com/javier-bustillos/profil/spieler/537274","Goalkeeper",21,"Argentina",7,0,0,0,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Leonardo Balerdi","https://www.transfermarkt.com/leonardo-balerdi/profil/spieler/575998","Centre-Back",19,"Argentina",7,5,0,450,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Júnior Alonso","https://www.transfermarkt.com/junior-alonso/profil/spieler/273000","Centre-Back",25,"Paraguay",33,16,0,1347,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Kevin Mac Allister","https://www.transfermarkt.com/kevin-mac-allister/profil/spieler/428920","Centre-Back",20,"Argentina",16,2,0,111,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Lucas Olaza","https://www.transfermarkt.com/lucas-olaza/profil/spieler/216240","Left-Back",23,"Uruguay",5,4,0,316,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Lisandro Magallán","https://www.transfermarkt.com/lisandro-magallan/profil/spieler/66736","Centre-Back",24,"Argentina",9,8,1,637,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Marcelo Weigandt","https://www.transfermarkt.com/marcelo-weigandt/profil/spieler/491690","Right-Back",18,"Argentina",14,9,0,810,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Lisandro López","https://www.transfermarkt.com/lisandro-lopez/profil/spieler/125019","Centre-Back",28,"Argentina",29,26,4,2400,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Carlos Izquierdoz","https://www.transfermarkt.com/carlos-izquierdoz/profil/spieler/116968","Centre-Back",29,"Argentina",37,36,1,3077,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Santiago Ramos Mingo","https://www.transfermarkt.com/santiago-ramos-mingo/profil/spieler/688593","Centre-Back",16,"Argentina",1,0,0,0,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Frank Fabra","https://www.transfermarkt.com/frank-fabra/profil/spieler/156561","Left-Back",27,"Colombia",23,5,0,394,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Gino Peruzzi","https://www.transfermarkt.com/gino-peruzzi/profil/spieler/138110","Right-Back",26,"Argentina",5,3,0,270,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Leonardo Jara","https://www.transfermarkt.com/leonardo-jara/profil/spieler/116163","Right-Back",27,"Argentina",6,4,0,310,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Nicolás Colazo","https://www.transfermarkt.com/nicolas-colazo/profil/spieler/116277","Left-Back",27,"Argentina",0,0,0,0,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Emmanuel Más","https://www.transfermarkt.com/emmanuel-mas/profil/spieler/77153","Left-Back",29,"Argentina",42,38,3,3343,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Julio Buffarini","https://www.transfermarkt.com/julio-buffarini/profil/spieler/89281","Right-Back",29,"Argentina",41,31,1,2743,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Agustín Heredia","https://www.transfermarkt.com/agustin-heredia/profil/spieler/570420","Centre-Back",21,"Argentina",6,0,0,0,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Paolo Goltz","https://www.transfermarkt.com/paolo-goltz/profil/spieler/55183","Centre-Back",33,"Argentina",19,11,0,985,2018
"CA Boca Juniors","Copa de la Liga Profesional de Fútbol","Argentina","Alexis Mac Allister","https://www.transfermarkt.com/alexis-mac-allister/profil/spieler/534033","Central Midfield",19,"Argentina",7,7,1,584,2018
