"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"Red Bull Salzburg","Bundesliga","Austria","Philipp Köhn","https://www.transfermarkt.com/philipp-kohn/profil/spieler/251322","Goalkeeper",20,"Switzerland",0,0,0,0,2018
"Red Bull Salzburg","Bundesliga","Austria","Cican Stankovic","https://www.transfermarkt.com/cican-stankovic/profil/spieler/127679","Goalkeeper",25,"Austria",50,33,0,2970,2018
"Red Bull Salzburg","Bundesliga","Austria","Carlos Coronel","https://www.transfermarkt.com/carlos-coronel/profil/spieler/378871","Goalkeeper",21,"Paraguay",6,0,0,0,2018
"Red Bull Salzburg","Bundesliga","Austria","Alexander Walke","https://www.transfermarkt.com/alexander-walke/profil/spieler/1271","Goalkeeper",35,"Germany",48,19,0,1710,2018
"Red Bull Salzburg","Bundesliga","Austria","Igor","https://www.transfermarkt.com/igor/profil/spieler/380350","Centre-Back",20,"Brazil",0,0,0,0,2018
"Red Bull Salzburg","Bundesliga","Austria","Marin Pongracic","https://www.transfermarkt.com/marin-pongracic/profil/spieler/282144","Centre-Back",20,"Croatia",32,26,0,2221,2018
"Red Bull Salzburg","Bundesliga","Austria","André Ramalho","https://www.transfermarkt.com/andre-ramalho/profil/spieler/175792","Centre-Back",26,"Brazil",48,45,1,3956,2018
"Red Bull Salzburg","Bundesliga","Austria","Stefan Lainer","https://www.transfermarkt.com/stefan-lainer/profil/spieler/85791","Right-Back",25,"Austria",46,43,1,3811,2018
"Red Bull Salzburg","Bundesliga","Austria","Asger Sörensen","https://www.transfermarkt.com/asger-sorensen/profil/spieler/260846","Centre-Back",22,"Denmark",0,0,0,0,2018
"Red Bull Salzburg","Bundesliga","Austria","Darko Todorovic","https://www.transfermarkt.com/darko-todorovic/profil/spieler/293231","Right-Back",21,"Bosnia-Herzegovina",33,14,0,994,2018
"Red Bull Salzburg","Bundesliga","Austria","Albert Vallci","https://www.transfermarkt.com/albert-vallci/profil/spieler/261935","Centre-Back",22,"Austria",19,12,1,927,2018
"Red Bull Salzburg","Bundesliga","Austria","Jasper van der Werff","https://www.transfermarkt.com/jasper-van-der-werff/profil/spieler/322519","Centre-Back",19,"Switzerland",10,5,0,360,2018
"Red Bull Salzburg","Bundesliga","Austria","Jérôme Onguéné","https://www.transfermarkt.com/jerome-onguene/profil/spieler/272638","Centre-Back",20,"Cameroon",37,22,3,1877,2018
"Red Bull Salzburg","Bundesliga","Austria","Kilian Ludewig","https://www.transfermarkt.com/kilian-ludewig/profil/spieler/361516","Right-Back",18,"Germany",0,0,0,0,2018
"Red Bull Salzburg","Bundesliga","Austria","Mahamadou Dembélé","https://www.transfermarkt.com/mahamadou-dembele/profil/spieler/394326","Centre-Back",19,"France",2,0,0,0,2018
"Red Bull Salzburg","Bundesliga","Austria","Andreas Ulmer","https://www.transfermarkt.com/andreas-ulmer/profil/spieler/31196","Left-Back",32,"Austria",48,47,0,4091,2018
"Red Bull Salzburg","Bundesliga","Austria","Patrick Farkas","https://www.transfermarkt.com/patrick-farkas/profil/spieler/81675","Right-Back",25,"Austria",7,4,1,191,2018
"Red Bull Salzburg","Bundesliga","Austria","Dominik Szoboszlai","https://www.transfermarkt.com/dominik-szoboszlai/profil/spieler/451276","Central Midfield",17,"Hungary",25,20,5,925,2018
"Red Bull Salzburg","Bundesliga","Austria","Xaver Schlager","https://www.transfermarkt.com/xaver-schlager/profil/spieler/223979","Central Midfield",20,"Austria",48,44,8,3501,2018
"Red Bull Salzburg","Bundesliga","Austria","Amadou Haidara","https://www.transfermarkt.com/amadou-haidara/profil/spieler/402008","Central Midfield",20,"Mali",21,21,3,1533,2018
"Red Bull Salzburg","Bundesliga","Austria","Antoine Bernede","https://www.transfermarkt.com/antoine-bernede/profil/spieler/395512","Central Midfield",19,"France",7,3,0,134,2018
"Red Bull Salzburg","Bundesliga","Austria","Diadié Samassékou","https://www.transfermarkt.com/diadie-samassekou/profil/spieler/315604","Defensive Midfield",22,"Mali",50,45,2,3934,2018
"Red Bull Salzburg","Bundesliga","Austria","Majeed Ashimeru","https://www.transfermarkt.com/majeed-ashimeru/profil/spieler/360140","Central Midfield",20,"Ghana",0,0,0,0,2018
