"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Weverton","https://www.transfermarkt.com/weverton/profil/spieler/69400","Goalkeeper",30,"Brazil",55,51,0,4590,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Vinícius","https://www.transfermarkt.com/vinicius/profil/spieler/286772","Goalkeeper",24,"Brazil",1,0,0,0,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Matheus Teixeira","https://www.transfermarkt.com/matheus-teixeira/profil/spieler/598975","Goalkeeper",19,"Brazil",3,0,0,0,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Fernando Prass","https://www.transfermarkt.com/fernando-prass/profil/spieler/31315","Goalkeeper",39,"Brazil",42,11,0,990,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Jailson","https://www.transfermarkt.com/jailson/profil/spieler/112940","Goalkeeper",36,"Brazil",44,6,0,540,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Lucas Bergantin","https://www.transfermarkt.com/lucas-bergantin/profil/spieler/670944","Goalkeeper",17,"Brazil",1,0,0,0,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Gustavo Gómez","https://www.transfermarkt.com/gustavo-gomez/profil/spieler/215390","Centre-Back",25,"Paraguay",48,42,5,3754,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Vitão","https://www.transfermarkt.com/vitao/profil/spieler/428783","Centre-Back",18,"Brazil",2,1,0,71,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Luan Cândido","https://www.transfermarkt.com/luan-candido/profil/spieler/432166","Left-Back",17,"Brazil",1,0,0,0,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Mayke","https://www.transfermarkt.com/mayke/profil/spieler/147361","Right-Back",25,"Brazil",44,21,1,1673,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Vitor Hugo","https://www.transfermarkt.com/vitor-hugo/profil/spieler/149752","Centre-Back",27,"Brazil",20,20,0,1800,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Luan","https://www.transfermarkt.com/luan/profil/spieler/178984","Centre-Back",25,"Brazil",46,35,1,3070,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Antônio Carlos","https://www.transfermarkt.com/antonio-carlos/profil/spieler/207446","Centre-Back",25,"Brazil",61,23,0,1970,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Pedrão","https://www.transfermarkt.com/pedrao/profil/spieler/585264","Centre-Back",21,"Brazil",0,0,0,0,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Lucas Esteves","https://www.transfermarkt.com/lucas-esteves/profil/spieler/688668","Left-Back",18,"Brazil",6,1,0,0,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Juninho","https://www.transfermarkt.com/juninho/profil/spieler/383638","Centre-Back",23,"Brazil",6,0,0,0,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Fabiano","https://www.transfermarkt.com/fabiano/profil/spieler/271335","Centre-Back",26,"Brazil",8,0,0,0,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Diogo Barbosa","https://www.transfermarkt.com/diogo-barbosa/profil/spieler/167724","Left-Back",25,"Brazil",66,51,0,4455,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Marcos Rocha","https://www.transfermarkt.com/marcos-rocha/profil/spieler/75435","Right-Back",29,"Brazil",57,46,3,4033,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Victor Luís","https://www.transfermarkt.com/victor-luis/profil/spieler/234538","Left-Back",25,"Brazil",64,19,0,1665,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Felipe Melo","https://www.transfermarkt.com/felipe-melo/profil/spieler/35537","Centre-Back",35,"Brazil",51,48,6,3945,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Lucas","https://www.transfermarkt.com/lucas/profil/spieler/54308","Right-Back",30,"Brazil",0,0,0,0,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Edú Dracena","https://www.transfermarkt.com/edu-dracena/profil/spieler/15419","Centre-Back",37,"Brazil",59,17,0,1530,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Raphael Veiga","https://www.transfermarkt.com/raphael-veiga/profil/spieler/432953","Attacking Midfield",23,"Brazil",47,30,5,1245,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Gustavo Scarpa","https://www.transfermarkt.com/gustavo-scarpa/profil/spieler/330085","Attacking Midfield",24,"Brazil",51,47,13,2795,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Zé Rafael","https://www.transfermarkt.com/ze-rafael/profil/spieler/225432","Central Midfield",25,"Brazil",61,38,7,2463,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Hyoran","https://www.transfermarkt.com/hyoran/profil/spieler/338861","Attacking Midfield",25,"Brazil",39,19,2,615,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Matheus Fernandes","https://www.transfermarkt.com/matheus-fernandes/profil/spieler/351892","Defensive Midfield",20,"Brazil",34,12,1,552,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Patrick de Lucca","https://www.transfermarkt.com/patrick-de-lucca/profil/spieler/689737","Defensive Midfield",18,"Brazil",1,0,0,0,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Matheus Sales","https://www.transfermarkt.com/matheus-sales/profil/spieler/407654","Defensive Midfield",23,"Brazil",0,0,0,0,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Bruno Henrique","https://www.transfermarkt.com/bruno-henrique/profil/spieler/277335","Central Midfield",28,"Brazil",60,59,10,4623,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Lucas Lima","https://www.transfermarkt.com/lucas-lima/profil/spieler/232847","Attacking Midfield",27,"Brazil",61,43,1,2155,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Moisés","https://www.transfermarkt.com/moises/profil/spieler/128822","Central Midfield",30,"Brazil",32,23,2,1208,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Thiago Santos","https://www.transfermarkt.com/thiago-santos/profil/spieler/346922","Defensive Midfield",28,"Brazil",64,34,1,1950,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Matheus Neris","https://www.transfermarkt.com/matheus-neris/profil/spieler/680296","Defensive Midfield",19,"Brazil",1,0,0,0,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Carlos Eduardo","https://www.transfermarkt.com/carlos-eduardo/profil/spieler/52406","Attacking Midfield",30,"Brazil",0,0,0,0,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Alejandro Guerra","https://www.transfermarkt.com/alejandro-guerra/profil/spieler/72540","Attacking Midfield",32,"Venezuela",5,0,0,0,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Ricardo Goulart","https://www.transfermarkt.com/ricardo-goulart/profil/spieler/106076","Attacking Midfield",27,"Brazil",12,12,4,697,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Gabriel Leite Borges","https://www.transfermarkt.com/gabriel-leite-borges/profil/spieler/394417","Attacking Midfield",23,"Brazil",0,0,0,0,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Jean","https://www.transfermarkt.com/jean/profil/spieler/69641","Defensive Midfield",32,"Brazil",46,11,0,523,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Ramires","https://www.transfermarkt.com/ramires/profil/spieler/54170","Central Midfield",31,"Brazil",14,6,0,160,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Arthur Cabral","https://www.transfermarkt.com/arthur-cabral/profil/spieler/390638","Centre-Forward",20,"Brazil",17,5,1,232,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Gabriel Veron","https://www.transfermarkt.com/gabriel-veron/profil/spieler/627221","Right Winger",15,"Brazil",4,3,2,70,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Dudu","https://www.transfermarkt.com/dudu/profil/spieler/114937","Left Winger",26,"Brazil",64,64,13,5371,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Miguel Borja","https://www.transfermarkt.com/miguel-borja/profil/spieler/211397","Centre-Forward",25,"Colombia",52,25,6,1477,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Iván Angulo","https://www.transfermarkt.com/ivan-angulo/profil/spieler/498686","Left Winger",19,"Colombia",1,0,0,0,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Yan","https://www.transfermarkt.com/yantm/profil/spieler/323945","Right Winger",19,"Brazil",1,0,0,0,2018
"Sociedade Esportiva Palmeiras","Campeonato Brasileiro Série A","Brazil","Deyverson","https://www.transfermarkt.com/deyverson/profil/spieler/243541","Centre-Forward",27,"Brazil",52,41,8,2881,2018
