"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"CSD Colo-Colo","Primera División de Chile","Chile","Brayan Cortés","https://www.transfermarkt.com/brayan-cortes/profil/spieler/248352","Goalkeeper",23,"Chile",30,28,0,2520,2018
"CSD Colo-Colo","Primera División de Chile","Chile","Omar Carabalí","https://www.transfermarkt.com/omar-carabali/profil/spieler/462231","Goalkeeper",21,"Chile",3,0,0,0,2018
"CSD Colo-Colo","Primera División de Chile","Chile","José Sanhueza","https://www.transfermarkt.com/jose-sanhueza/profil/spieler/660502","Goalkeeper",17,"Chile",3,0,0,0,2018
"CSD Colo-Colo","Primera División de Chile","Chile","Julio Fierro","https://www.transfermarkt.com/julio-fierro/profil/spieler/662733","Goalkeeper",16,"Chile",2,0,0,0,2018
"CSD Colo-Colo","Primera División de Chile","Chile","Miguel Pinto","https://www.transfermarkt.com/miguel-pinto/profil/spieler/40431","Goalkeeper",34,"Chile",2,0,0,0,2018
"CSD Colo-Colo","Primera División de Chile","Chile","Agustín Orión","https://www.transfermarkt.com/agustin-orion/profil/spieler/19988","Goalkeeper",37,"Argentina",0,0,0,0,2018
"CSD Colo-Colo","Primera División de Chile","Chile","Darío Melo","https://www.transfermarkt.com/dario-melo/profil/spieler/189797","Goalkeeper",25,"Chile",28,6,0,540,2018
"CSD Colo-Colo","Primera División de Chile","Chile","Gabriel Suazo","https://www.transfermarkt.com/gabriel-suazo/profil/spieler/385105","Left-Back",20,"Chile",27,27,3,2255,2018
"CSD Colo-Colo","Primera División de Chile","Chile","Brayan Véjar","https://www.transfermarkt.com/brayan-vejar/profil/spieler/270424","Left-Back",22,"Chile",2,1,0,8,2018
"CSD Colo-Colo","Primera División de Chile","Chile","Matías Zaldivia","https://www.transfermarkt.com/matias-zaldivia/profil/spieler/168259","Centre-Back",27,"Chile",21,18,0,1539,2018
"CSD Colo-Colo","Primera División de Chile","Chile","Óscar Opazo","https://www.transfermarkt.com/oscar-opazo/profil/spieler/136901","Right-Back",27,"Chile",25,25,0,2280,2018
"CSD Colo-Colo","Primera División de Chile","Chile","Agustín Ortiz","https://www.transfermarkt.com/agustin-ortiz/profil/spieler/663995","Centre-Back",19,"Chile",11,0,0,0,2018
"CSD Colo-Colo","Primera División de Chile","Chile","Felipe Campos","https://www.transfermarkt.com/felipe-campos/profil/spieler/214645","Centre-Back",24,"Chile",28,21,0,1890,2018
