"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"Junior FC","Liga Dimayor Apertura","Colombia","José Luis Chunga","https://www.transfermarkt.com/jose-luis-chunga/profil/spieler/224009","Goalkeeper",26,"Colombia",58,9,0,766,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Sebastián Viera","https://www.transfermarkt.com/sebastian-viera/profil/spieler/33531","Goalkeeper",35,"Uruguay",60,59,1,5310,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Sergio Pabón","https://www.transfermarkt.com/sergio-pabon/profil/spieler/569225","Goalkeeper",22,"Colombia",18,1,0,44,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Willer Ditta","https://www.transfermarkt.com/willer-ditta/profil/spieler/609255","Centre-Back",20,"Colombia",58,41,0,3426,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Gabriel Fuentes","https://www.transfermarkt.com/gabriel-fuentes/profil/spieler/480686","Left-Back",21,"Colombia",49,47,2,3989,2018
"Junior FC","Liga Dimayor Apertura","Colombia","César Haydar","https://www.transfermarkt.com/cesar-haydar/profil/spieler/651477","Centre-Back",17,"Colombia",14,8,0,637,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Rafael Pérez","https://www.transfermarkt.com/rafael-perez/profil/spieler/117874","Centre-Back",28,"Colombia",51,48,0,4080,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Germán Mera","https://www.transfermarkt.com/german-mera/profil/spieler/73704","Centre-Back",28,"Colombia",27,24,2,2093,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Germán Gutiérrez","https://www.transfermarkt.com/german-gutierrez/profil/spieler/332053","Left-Back",28,"Colombia",29,19,1,1683,2018
"Junior FC","Liga Dimayor Apertura","Colombia","David Murillo","https://www.transfermarkt.com/david-murillo/profil/spieler/260907","Right-Back",24,"Colombia",66,25,1,1877,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Marlon Piedrahita","https://www.transfermarkt.com/marlon-piedrahita/profil/spieler/73428","Right-Back",33,"Colombia",58,52,3,4572,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Deivy Balanta","https://www.transfermarkt.com/deivy-balanta/profil/spieler/260382","Centre-Back",24,"Colombia",9,5,0,358,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Jefferson Gómez","https://www.transfermarkt.com/jefferson-gomez/profil/spieler/366655","Centre-Back",22,"Colombia",9,9,0,674,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Víctor Cantillo","https://www.transfermarkt.com/victor-cantillo/profil/spieler/263032","Defensive Midfield",24,"Colombia",60,60,3,5062,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Homer Martínez","https://www.transfermarkt.com/homer-martinez/profil/spieler/656344","Defensive Midfield",20,"Colombia",11,7,0,459,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Fabián Ángel","https://www.transfermarkt.com/fabian-angel/profil/spieler/491546","Central Midfield",17,"Colombia",4,1,0,0,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Yohandry Orozco","https://www.transfermarkt.com/yohandry-orozco/profil/spieler/72638","Attacking Midfield",27,"Venezuela",10,7,0,248,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Róger Torres","https://www.transfermarkt.com/roger-torres/profil/spieler/126042","Attacking Midfield",26,"Colombia",25,12,2,546,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Fabián Sambueza","https://www.transfermarkt.com/fabian-sambueza/profil/spieler/358015","Attacking Midfield",29,"Argentina",20,20,4,1359,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Leonardo Pico","https://www.transfermarkt.com/leonardo-pico/profil/spieler/213528","Defensive Midfield",26,"Colombia",48,30,1,2192,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Enrique Serje","https://www.transfermarkt.com/enrique-serje/profil/spieler/456113","Defensive Midfield",22,"Colombia",18,11,0,617,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Sebastián Hernández","https://www.transfermarkt.com/sebastian-hernandez/profil/spieler/73693","Central Midfield",31,"Colombia",56,41,3,2020,2018
"Junior FC","Liga Dimayor Apertura","Colombia","James Sánchez","https://www.transfermarkt.com/james-sanchez/profil/spieler/157157","Central Midfield",30,"Colombia",49,42,0,2620,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Camilo Díaz","https://www.transfermarkt.com/camilo-diaz/profil/spieler/659624","Defensive Midfield",20,"Colombia",4,1,0,90,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Luis Narváez","https://www.transfermarkt.com/luis-narvaez/profil/spieler/119206","Defensive Midfield",33,"Colombia",54,48,9,3878,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Matías Fernández","https://www.transfermarkt.com/matias-fernandez/profil/spieler/37918","Attacking Midfield",32,"Chile",20,16,2,682,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Jhesuad Salamanca","https://www.transfermarkt.com/jhesuad-salamanca/profil/spieler/663181","Right Midfield",17,"Colombia",3,0,0,0,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Luis Díaz","https://www.transfermarkt.com/luis-diaz/profil/spieler/480692","Left Winger",21,"Colombia",24,24,3,1949,2018
"Junior FC","Liga Dimayor Apertura","Colombia","Edwuin Cetré","https://www.transfermarkt.com/edwuin-cetre/profil/spieler/470390","Right Winger",20,"Colombia",21,21,6,1579,2018
