"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Dominik Livakovic","https://www.transfermarkt.com/dominik-livakovic/profil/spieler/205927","Goalkeeper",23,"Croatia",49,35,0,3180,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Adrian Semper","https://www.transfermarkt.com/adrian-semper/profil/spieler/317057","Goalkeeper",20,"Croatia",5,1,0,90,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Dinko Horkas","https://www.transfermarkt.com/dinko-horkas/profil/spieler/357770","Goalkeeper",19,"Croatia",8,0,0,0,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Danijel Zagorac","https://www.transfermarkt.com/danijel-zagorac/profil/spieler/131310","Goalkeeper",31,"Croatia",54,22,0,1980,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Marko Mikulic","https://www.transfermarkt.com/marko-mikulic/profil/spieler/182400","Goalkeeper",24,"Croatia",0,0,0,0,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Josko Gvardiol","https://www.transfermarkt.com/josko-gvardiol/profil/spieler/475959","Centre-Back",16,"Croatia",1,0,0,0,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Amir Rrahmani","https://www.transfermarkt.com/amir-rrahmani/profil/spieler/257732","Centre-Back",24,"Kosovo",43,26,3,2211,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Dino Peric","https://www.transfermarkt.com/dino-peric/profil/spieler/240106","Centre-Back",23,"Croatia",49,28,2,2242,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Sadegh Moharrami","https://www.transfermarkt.com/sadegh-moharrami/profil/spieler/294778","Right-Back",22,"Iran",30,22,0,1868,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Petar Stojanović","https://www.transfermarkt.com/petar-stojanovic/profil/spieler/183841","Right-Back",22,"Slovenia",39,37,0,3234,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Kévin Théophile-Catherine","https://www.transfermarkt.com/kevin-theophile-catherine/profil/spieler/60603","Centre-Back",28,"Martinique",35,32,1,2898,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Ante Majstorovic","https://www.transfermarkt.com/ante-majstorovic/profil/spieler/207025","Centre-Back",24,"Croatia",0,0,0,0,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Emir Dilaver","https://www.transfermarkt.com/emir-dilaver/profil/spieler/80161","Centre-Back",27,"Austria",42,35,1,3040,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Jan Lecjaks","https://www.transfermarkt.com/jan-lecjaks/profil/spieler/62854","Left-Back",27,"Czech Republic",1,1,0,90,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Marko Leskovic","https://www.transfermarkt.com/marko-leskovic/profil/spieler/133834","Centre-Back",27,"Croatia",36,22,2,1980,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Marin Leovac","https://www.transfermarkt.com/marin-leovac/profil/spieler/51604","Left-Back",29,"Croatia",26,24,2,2009,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Mario Musa","https://www.transfermarkt.com/mario-musa/profil/spieler/86633","Left-Back",27,"Croatia",20,15,1,1105,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Dani Olmo","https://www.transfermarkt.com/dani-olmo/profil/spieler/293385","Attacking Midfield",20,"Spain",51,44,12,3297,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Lovro Majer","https://www.transfermarkt.com/lovro-majer/profil/spieler/387106","Attacking Midfield",20,"Croatia",17,11,1,690,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Nikola Moro","https://www.transfermarkt.com/nikola-moro/profil/spieler/316934","Defensive Midfield",20,"Croatia",29,25,3,1806,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Arijan Ademi","https://www.transfermarkt.com/arijan-ademi/profil/spieler/71542","Defensive Midfield",27,"North Macedonia",34,32,4,2609,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Ivan Sunjic","https://www.transfermarkt.com/ivan-sunjic/profil/spieler/226097","Defensive Midfield",21,"Croatia",45,41,2,2871,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Amer Gojak","https://www.transfermarkt.com/amer-gojak/profil/spieler/293210","Attacking Midfield",21,"Bosnia-Herzegovina",51,44,5,3167,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Ivan Fiolic","https://www.transfermarkt.com/ivan-fiolic/profil/spieler/226070","Attacking Midfield",22,"Croatia",4,4,0,161,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Mario Situm","https://www.transfermarkt.com/mario-situm/profil/spieler/138741","Right Midfield",26,"Croatia",35,24,2,1162,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Marko Djira","https://www.transfermarkt.com/marko-djira/profil/spieler/357791","Defensive Midfield",19,"Croatia",2,2,0,18,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Tongo Doumbia","https://www.transfermarkt.com/tongo-doumbia/profil/spieler/103563","Defensive Midfield",28,"Mali",4,3,0,104,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Bojan Knezevic","https://www.transfermarkt.com/bojan-knezevic/profil/spieler/263324","Defensive Midfield",21,"Croatia",7,5,0,279,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Bruno Petkovic","https://www.transfermarkt.com/bruno-petkovic/profil/spieler/256358","Centre-Forward",23,"Croatia",47,40,12,2219,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Mislav Orsic","https://www.transfermarkt.com/mislav-orsic/profil/spieler/119150","Left Winger",25,"Croatia",51,45,13,3224,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Komnen Andric","https://www.transfermarkt.com/komnen-andric/profil/spieler/260316","Centre-Forward",23,"Serbia",19,16,4,634,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Mario Cuze","https://www.transfermarkt.com/mario-cuze/profil/spieler/376445","Left Winger",19,"Croatia",1,0,0,0,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Antonio Marin","https://www.transfermarkt.com/antonio-marin/profil/spieler/371016","Left Winger",17,"Croatia",11,8,0,356,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Luka Menalo","https://www.transfermarkt.com/luka-menalo/profil/spieler/316047","Left Winger",21,"Bosnia-Herzegovina",15,12,0,400,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Iyayi Atiemwen","https://www.transfermarkt.com/iyayi-atiemwen/profil/spieler/419597","Left Winger",22,"Nigeria",18,14,1,805,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Damian Kadzior","https://www.transfermarkt.com/damian-kadzior/profil/spieler/199299","Right Winger",26,"Poland",50,41,8,2224,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Armin Hodzic","https://www.transfermarkt.com/armin-hodzic/profil/spieler/166753","Centre-Forward",23,"Bosnia-Herzegovina",7,3,2,200,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Izet Hajrovic","https://www.transfermarkt.com/izet-hajrovic/profil/spieler/74996","Right Winger",26,"Bosnia-Herzegovina",39,35,10,2336,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Mario Budimir","https://www.transfermarkt.com/mario-budimir/profil/spieler/41759","Centre-Forward",32,"Croatia",23,18,8,856,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Borna Petrovic","https://www.transfermarkt.com/borna-petrovic/profil/spieler/375859","Centre-Forward",20,"Croatia",0,0,0,0,2018
"GNK Dinamo Zagreb","SuperSport HNL","Croatia","Mario Gavranovic","https://www.transfermarkt.com/mario-gavranovic/profil/spieler/61380","Centre-Forward",28,"Switzerland",46,41,12,2307,2018
