"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"FC Copenhagen","Superliga","Denmark","Jesse Joronen","https://www.transfermarkt.com/jesse-joronen/profil/spieler/131758","Goalkeeper",25,"Finland",49,38,0,3398,2018
"FC Copenhagen","Superliga","Denmark","Frederik Ibsen","https://www.transfermarkt.com/frederik-ibsen/profil/spieler/461484","Goalkeeper",21,"Denmark",4,1,0,90,2018
"FC Copenhagen","Superliga","Denmark","Christoffer Monty","https://www.transfermarkt.com/christoffer-monty/profil/spieler/455062","Goalkeeper",17,"Denmark",1,0,0,0,2018
"FC Copenhagen","Superliga","Denmark","Stephan Andersen","https://www.transfermarkt.com/stephan-andersen/profil/spieler/17880","Goalkeeper",36,"Denmark",50,15,0,1222,2018
"FC Copenhagen","Superliga","Denmark","Mads Roerslev","https://www.transfermarkt.com/mads-roerslev/profil/spieler/391005","Right-Back",19,"Denmark",14,5,0,347,2018
"FC Copenhagen","Superliga","Denmark","Denis Vavro","https://www.transfermarkt.com/denis-vavro/profil/spieler/239962","Centre-Back",22,"Slovakia",50,50,2,4072,2018
"FC Copenhagen","Superliga","Denmark","Guillermo Varela","https://www.transfermarkt.com/guillermo-varela/profil/spieler/188862","Right-Back",25,"Uruguay",14,7,0,344,2018
"FC Copenhagen","Superliga","Denmark","Niklas Vesterlund","https://www.transfermarkt.com/niklas-vesterlund/profil/spieler/422932","Right-Back",19,"Denmark",1,1,0,76,2018
"FC Copenhagen","Superliga","Denmark","Sotirios Papagiannopoulos","https://www.transfermarkt.com/sotirios-papagiannopoulos/profil/spieler/97616","Centre-Back",27,"Sweden",50,30,0,2062,2018
"FC Copenhagen","Superliga","Denmark","Nicolai Boilesen","https://www.transfermarkt.com/nicolai-boilesen/profil/spieler/69642","Centre-Back",26,"Denmark",46,37,1,3014,2018
"FC Copenhagen","Superliga","Denmark","Peter Ankersen","https://www.transfermarkt.com/peter-ankersen/profil/spieler/146889","Right-Back",27,"Denmark",49,47,1,4174,2018
"FC Copenhagen","Superliga","Denmark","Jacob Haahr","https://www.transfermarkt.com/jacob-haahr/profil/spieler/514918","Centre-Back",16,"Denmark",4,1,0,14,2018
"FC Copenhagen","Superliga","Denmark","Andreas Bjelland","https://www.transfermarkt.com/andreas-bjelland/profil/spieler/56354","Centre-Back",29,"Denmark",42,41,1,3250,2018
"FC Copenhagen","Superliga","Denmark","Michael Lüftner","https://www.transfermarkt.com/michael-luftner/profil/spieler/61763","Centre-Back",24,"Czech Republic",9,2,0,170,2018
"FC Copenhagen","Superliga","Denmark","Pierre Neurath Bengtsson","https://www.transfermarkt.com/pierre-neurath-bengtsson/profil/spieler/50577","Left-Back",30,"Sweden",51,25,0,1612,2018
