"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"Manchester City","Premier League","England","Ederson","https://www.transfermarkt.com/ederson/profil/spieler/238223","Goalkeeper",24,"Brazil",60,55,0,4980,2018
"Manchester City","Premier League","England","Arijanet Muric","https://www.transfermarkt.com/arijanet-muric/profil/spieler/371021","Goalkeeper",19,"Kosovo",58,5,0,450,2018
"Manchester City","Premier League","England","Claudio Bravo","https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423","Goalkeeper",35,"Chile",3,1,0,90,2018
"Manchester City","Premier League","England","Daniel Grimshaw","https://www.transfermarkt.com/daniel-grimshaw/profil/spieler/339253","Goalkeeper",20,"England",1,0,0,0,2018
"Manchester City","Premier League","England","Oleksandr Zinchenko","https://www.transfermarkt.com/oleksandr-zinchenko/profil/spieler/203853","Left-Back",21,"Ukraine",37,29,1,2339,2018
"Manchester City","Premier League","England","John Stones","https://www.transfermarkt.com/john-stones/profil/spieler/186590","Centre-Back",24,"England",54,39,0,2820,2018
"Manchester City","Premier League","England","Aymeric Laporte","https://www.transfermarkt.com/aymeric-laporte/profil/spieler/176553","Centre-Back",24,"Spain",55,51,5,4353,2018
"Manchester City","Premier League","England","Eric García","https://www.transfermarkt.com/eric-garcia/profil/spieler/466794","Centre-Back",17,"Spain",4,3,0,270,2018
"Manchester City","Premier League","England","Kyle Walker","https://www.transfermarkt.com/kyle-walker/profil/spieler/95424","Right-Back",28,"England",59,52,2,4302,2018
"Manchester City","Premier League","England","Danilo","https://www.transfermarkt.com/danilo/profil/spieler/145707","Centre-Back",26,"Brazil",42,22,1,1479,2018
"Manchester City","Premier League","England","Pablo Marí","https://www.transfermarkt.com/pablo-mari/profil/spieler/210178","Centre-Back",24,"Spain",0,0,0,0,2018
"Manchester City","Premier League","England","Philippe Sandler","https://www.transfermarkt.com/philippe-sandler/profil/spieler/340460","Centre-Back",21,"Netherlands",4,2,0,113,2018
"Manchester City","Premier League","England","Benjamin Mendy","https://www.transfermarkt.com/benjamin-mendy/profil/spieler/157495","Left-Back",23,"France",16,15,0,1270,2018
"Manchester City","Premier League","England","Erik Palmer-Brown","https://www.transfermarkt.com/erik-palmer-brown/profil/spieler/282199","Centre-Back",21,"United States",0,0,0,0,2018
"Manchester City","Premier League","England","Nicolás Otamendi","https://www.transfermarkt.com/nicolas-otamendi/profil/spieler/54781","Centre-Back",30,"Argentina",55,33,1,2478,2018
"Manchester City","Premier League","England","Cameron Humphreys","https://www.transfermarkt.com/cameron-humphreys/profil/spieler/277723","Centre-Back",19,"England",1,0,0,0,2018
"Manchester City","Premier League","England","Luke Bolton","https://www.transfermarkt.com/luke-bolton/profil/spieler/382553","Right-Back",18,"England",1,0,0,0,2018
"Manchester City","Premier League","England","Eliaquim Mangala","https://www.transfermarkt.com/eliaquim-mangala/profil/spieler/90681","Centre-Back",27,"France",0,0,0,0,2018
"Manchester City","Premier League","England","Vincent Kompany","https://www.transfermarkt.com/vincent-kompany/profil/spieler/9594","Centre-Back",32,"Belgium",39,26,1,1782,2018
