"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"Bayern Munich","Bundesliga","Germany","Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","Goalkeeper",32,"Germany",38,38,0,3383,2018
"Bayern Munich","Bundesliga","Germany","Christian Früchtl","https://www.transfermarkt.com/christian-fruchtl/profil/spieler/336307","Goalkeeper",18,"Germany",6,0,0,0,2018
"Bayern Munich","Bundesliga","Germany","Ron-Thorben Hoffmann","https://www.transfermarkt.com/ron-thorben-hoffmann/profil/spieler/317444","Goalkeeper",19,"Germany",6,0,0,0,2018
"Bayern Munich","Bundesliga","Germany","Sven Ulreich","https://www.transfermarkt.com/sven-ulreich/profil/spieler/40680","Goalkeeper",29,"Germany",48,12,0,1057,2018
"Bayern Munich","Bundesliga","Germany","Alphonso Davies","https://www.transfermarkt.com/alphonso-davies/profil/spieler/424204","Left-Back",17,"Canada",17,6,1,74,2018
"Bayern Munich","Bundesliga","Germany","Joshua Kimmich","https://www.transfermarkt.com/joshua-kimmich/profil/spieler/161056","Right-Back",23,"Germany",48,48,2,4281,2018
"Bayern Munich","Bundesliga","Germany","David Alaba","https://www.transfermarkt.com/david-alaba/profil/spieler/59016","Centre-Back",26,"Austria",44,43,3,3631,2018
"Bayern Munich","Bundesliga","Germany","Niklas Süle","https://www.transfermarkt.com/niklas-sule/profil/spieler/166601","Centre-Back",22,"Germany",48,42,2,3507,2018
"Bayern Munich","Bundesliga","Germany","Marco Friedl","https://www.transfermarkt.com/marco-friedl/profil/spieler/156990","Centre-Back",20,"Austria",0,0,0,0,2018
"Bayern Munich","Bundesliga","Germany","Mats Hummels","https://www.transfermarkt.com/mats-hummels/profil/spieler/39728","Centre-Back",29,"Germany",42,33,2,2849,2018
"Bayern Munich","Bundesliga","Germany","Juan Bernat","https://www.transfermarkt.com/juan-bernat/profil/spieler/126719","Left-Back",25,"Spain",2,0,0,0,2018
"Bayern Munich","Bundesliga","Germany","Lukas Mai","https://www.transfermarkt.com/lukas-mai/profil/spieler/345780","Centre-Back",18,"Germany",9,0,0,0,2018
"Bayern Munich","Bundesliga","Germany","Jérôme Boateng","https://www.transfermarkt.com/jerome-boateng/profil/spieler/26485","Centre-Back",29,"Germany",43,28,0,2389,2018
"Bayern Munich","Bundesliga","Germany","Jonathan Meier","https://www.transfermarkt.com/jonathan-meier/profil/spieler/379989","Left-Back",18,"Germany",4,0,0,0,2018
"Bayern Munich","Bundesliga","Germany","Rafinha","https://www.transfermarkt.com/rafinha/profil/spieler/33947","Right-Back",32,"Brazil",42,26,1,1488,2018
"Bayern Munich","Bundesliga","Germany","Leon Goretzka","https://www.transfermarkt.com/leon-goretzka/profil/spieler/153084","Central Midfield",23,"Germany",43,42,9,2720,2018
"Bayern Munich","Bundesliga","Germany","Thiago","https://www.transfermarkt.com/thiago/profil/spieler/60444","Central Midfield",27,"Spain",42,42,3,3426,2018
"Bayern Munich","Bundesliga","Germany","Renato Sanches","https://www.transfermarkt.com/renato-sanches/profil/spieler/258027","Central Midfield",20,"Portugal",42,24,2,782,2018
"Bayern Munich","Bundesliga","Germany","Corentin Tolisso","https://www.transfermarkt.com/corentin-tolisso/profil/spieler/190393","Central Midfield",23,"France",7,4,1,81,2018
"Bayern Munich","Bundesliga","Germany","James Rodríguez","https://www.transfermarkt.com/james-rodriguez/profil/spieler/88103","Attacking Midfield",26,"Colombia",33,28,7,1655,2018
"Bayern Munich","Bundesliga","Germany","Woo-yeong Jeong","https://www.transfermarkt.com/woo-yeong-jeong/profil/spieler/297583","Attacking Midfield",18,"Korea, South",7,2,0,13,2018
"Bayern Munich","Bundesliga","Germany","Javi Martínez","https://www.transfermarkt.com/javi-martinez/profil/spieler/44017","Defensive Midfield",29,"Spain",45,33,4,2257,2018
"Bayern Munich","Bundesliga","Germany","Paul Will","https://www.transfermarkt.com/paul-will/profil/spieler/356640","Defensive Midfield",19,"Germany",3,0,0,0,2018
"Bayern Munich","Bundesliga","Germany","Meritan Shabani","https://www.transfermarkt.com/meritan-shabani/profil/spieler/379980","Attacking Midfield",19,"Germany",6,2,0,0,2018
"Bayern Munich","Bundesliga","Germany","Sebastian Rudy","https://www.transfermarkt.com/sebastian-rudy/profil/spieler/57051","Defensive Midfield",28,"Germany",1,0,0,0,2018
"Bayern Munich","Bundesliga","Germany","Kingsley Coman","https://www.transfermarkt.com/kingsley-coman/profil/spieler/243714","Left Winger",22,"France",30,30,10,1928,2018
"Bayern Munich","Bundesliga","Germany","Serge Gnabry","https://www.transfermarkt.com/serge-gnabry/profil/spieler/159471","Right Winger",22,"Germany",42,42,13,2540,2018
"Bayern Munich","Bundesliga","Germany","Robert Lewandowski","https://www.transfermarkt.com/robert-lewandowski/profil/spieler/38253","Centre-Forward",29,"Poland",49,47,40,4179,2018
"Bayern Munich","Bundesliga","Germany","Thomas Müller","https://www.transfermarkt.com/thomas-muller/profil/spieler/58358","Second Striker",28,"Germany",47,45,9,3251,2018
"Bayern Munich","Bundesliga","Germany","Sandro Wagner","https://www.transfermarkt.com/sandro-wagner/profil/spieler/39743","Centre-Forward",30,"Germany",24,12,1,263,2018
"Bayern Munich","Bundesliga","Germany","Franck Ribéry","https://www.transfermarkt.com/franck-ribery/profil/spieler/22068","Left Winger",35,"France",40,38,7,1935,2018
"Bayern Munich","Bundesliga","Germany","Arjen Robben","https://www.transfermarkt.com/arjen-robben/profil/spieler/4360","Right Winger",34,"Netherlands",21,19,6,1004,2018
"Borussia Dortmund","Bundesliga","Germany","Roman Bürki","https://www.transfermarkt.com/roman-burki/profil/spieler/59027","Goalkeeper",27,"Switzerland",42,40,0,3630,2018
"Borussia Dortmund","Bundesliga","Germany","Luca Unbehaun","https://www.transfermarkt.com/luca-unbehaun/profil/spieler/388815","Goalkeeper",17,"Germany",1,0,0,0,2018
"Borussia Dortmund","Bundesliga","Germany","Eric Oelschlägel","https://www.transfermarkt.com/eric-oelschlagel/profil/spieler/152460","Goalkeeper",22,"Germany",4,1,0,120,2018
"Borussia Dortmund","Bundesliga","Germany","Marwin Hitz","https://www.transfermarkt.com/marwin-hitz/profil/spieler/59238","Goalkeeper",30,"Switzerland",43,4,0,390,2018
"Borussia Dortmund","Bundesliga","Germany","Achraf Hakimi","https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073","Right-Back",19,"Morocco",38,28,3,2349,2018
"Borussia Dortmund","Bundesliga","Germany","Manuel Akanji","https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730","Centre-Back",22,"Switzerland",32,31,1,2776,2018
"Borussia Dortmund","Bundesliga","Germany","Raphaël Guerreiro","https://www.transfermarkt.com/raphael-guerreiro/profil/spieler/170986","Left-Back",24,"Portugal",38,32,6,2029,2018
"Borussia Dortmund","Bundesliga","Germany","Dan-Axel Zagadou","https://www.transfermarkt.com/dan-axel-zagadou/profil/spieler/344598","Centre-Back",19,"France",30,22,2,1734,2018
