"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"Olympiacos Piraeus","Super League 1","Greece","José Sá","https://www.transfermarkt.com/jose-sa/profil/spieler/249994","Goalkeeper",25,"Portugal",37,31,0,2790,2018
"Olympiacos Piraeus","Super League 1","Greece","Konstantinos Tzolakis","https://www.transfermarkt.com/konstantinos-tzolakis/profil/spieler/554389","Goalkeeper",15,"Greece",1,0,0,0,2018
"Olympiacos Piraeus","Super League 1","Greece","Andreas Gianniotis","https://www.transfermarkt.com/andreas-gianniotis/profil/spieler/226802","Goalkeeper",25,"Greece",25,13,0,1170,2018
"Olympiacos Piraeus","Super League 1","Greece","Lefteris Choutesiotis","https://www.transfermarkt.com/lefteris-choutesiotis/profil/spieler/182682","Goalkeeper",23,"Greece",20,2,0,180,2018
"Olympiacos Piraeus","Super League 1","Greece","Yuriy Lodygin","https://www.transfermarkt.com/yuriy-lodygin/profil/spieler/126360","Goalkeeper",28,"Russia",15,3,0,270,2018
"Olympiacos Piraeus","Super League 1","Greece","Konstantinos Tsimikas","https://www.transfermarkt.com/konstantinos-tsimikas/profil/spieler/338070","Left-Back",22,"Greece",31,28,0,2415,2018
"Olympiacos Piraeus","Super League 1","Greece","Dimitrios Goutas","https://www.transfermarkt.com/dimitrios-goutas/profil/spieler/191829","Centre-Back",24,"Greece",0,0,0,0,2018
"Olympiacos Piraeus","Super League 1","Greece","Pape Abou Cissé","https://www.transfermarkt.com/pape-abou-cisse/profil/spieler/364234","Centre-Back",22,"Senegal",37,29,2,2516,2018
"Olympiacos Piraeus","Super League 1","Greece","Dimitrios Nikolaou","https://www.transfermarkt.com/dimitrios-nikolaou/profil/spieler/292772","Centre-Back",19,"Greece",3,1,0,90,2018
"Olympiacos Piraeus","Super League 1","Greece","Manolis Saliakas","https://www.transfermarkt.com/manolis-saliakas/profil/spieler/242661","Right-Back",21,"Greece",0,0,0,0,2018
"Olympiacos Piraeus","Super League 1","Greece","Yassine Meriah","https://www.transfermarkt.com/yassine-meriah/profil/spieler/306330","Centre-Back",24,"Tunisia",32,26,1,2162,2018
"Olympiacos Piraeus","Super League 1","Greece","Igor Silva","https://www.transfermarkt.com/igor-silva/profil/spieler/391720","Right-Back",21,"Brazil",0,0,0,0,2018
"Olympiacos Piraeus","Super League 1","Greece","Roderick Miranda","https://www.transfermarkt.com/roderick-miranda/profil/spieler/87856","Centre-Back",27,"Portugal",38,20,0,1743,2018
"Olympiacos Piraeus","Super League 1","Greece","Ehsan Hajsafi","https://www.transfermarkt.com/ehsan-hajsafi/profil/spieler/77547","Left-Back",28,"Iran",1,0,0,0,2018
"Olympiacos Piraeus","Super League 1","Greece","Björn Engels","https://www.transfermarkt.com/bjorn-engels/profil/spieler/193469","Centre-Back",23,"Belgium",0,0,0,0,2018
"Olympiacos Piraeus","Super League 1","Greece","Athanasios Androutsos","https://www.transfermarkt.com/athanasios-androutsos/profil/spieler/341680","Right-Back",21,"Greece",17,9,1,620,2018
"Olympiacos Piraeus","Super League 1","Greece","Leonardo Koutris","https://www.transfermarkt.com/leonardo-koutris/profil/spieler/187530","Left-Back",22,"Greece",30,24,0,2065,2018
"Olympiacos Piraeus","Super League 1","Greece","Giannis Masouras","https://www.transfermarkt.com/giannis-masouras/profil/spieler/295780","Right-Back",21,"Greece",3,3,0,187,2018
"Olympiacos Piraeus","Super League 1","Greece","Omar Elabdellaoui","https://www.transfermarkt.com/omar-elabdellaoui/profil/spieler/121404","Right-Back",26,"Norway",34,31,5,2637,2018
"Olympiacos Piraeus","Super League 1","Greece","Apostolos Martinis","https://www.transfermarkt.com/apostolos-martinis/profil/spieler/481677","Left-Back",17,"Greece",4,1,0,90,2018
"Olympiacos Piraeus","Super League 1","Greece","Jagos Vukovic","https://www.transfermarkt.com/jagos-vukovic/profil/spieler/46894","Centre-Back",30,"Serbia",31,28,3,2432,2018
"Olympiacos Piraeus","Super League 1","Greece","Avraam Papadopoulos","https://www.transfermarkt.com/avraam-papadopoulos/profil/spieler/12979","Centre-Back",33,"Greece",5,2,0,111,2018
"Olympiacos Piraeus","Super League 1","Greece","Vasilios Torosidis","https://www.transfermarkt.com/vasilios-torosidis/profil/spieler/24977","Right-Back",33,"Greece",37,25,3,1207,2018
"Olympiacos Piraeus","Super League 1","Greece","Mady Camara","https://www.transfermarkt.com/mady-camara/profil/spieler/481173","Central Midfield",21,"Guinea",39,36,6,2562,2018
"Olympiacos Piraeus","Super League 1","Greece","Konstantinos Fortounis","https://www.transfermarkt.com/konstantinos-fortounis/profil/spieler/157539","Attacking Midfield",25,"Greece",43,43,17,3300,2018
"Olympiacos Piraeus","Super League 1","Greece","Qazim Laci","https://www.transfermarkt.com/qazim-laci/profil/spieler/290552","Central Midfield",22,"Albania",0,0,0,0,2018
"Olympiacos Piraeus","Super League 1","Greece","Guilherme","https://www.transfermarkt.com/guilherme/profil/spieler/115382","Defensive Midfield",27,"Brazil",39,33,4,2838,2018
"Olympiacos Piraeus","Super League 1","Greece","Andreas Bouchalakis","https://www.transfermarkt.com/andreas-bouchalakis/profil/spieler/157535","Central Midfield",25,"Greece",38,30,2,2133,2018
"Olympiacos Piraeus","Super League 1","Greece","Matías Nahuel","https://www.transfermarkt.com/matias-nahuel/profil/spieler/263843","Attacking Midfield",21,"Spain",14,11,1,747,2018
"Olympiacos Piraeus","Super League 1","Greece","Gil Dias","https://www.transfermarkt.com/gil-dias/profil/spieler/329723","Left Midfield",21,"Portugal",12,10,2,559,2018
"Olympiacos Piraeus","Super League 1","Greece","Bibras Natcho","https://www.transfermarkt.com/bibras-natcho/profil/spieler/56976","Central Midfield",30,"Israel",42,34,1,1338,2018
