"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"Ajax Amsterdam","Eredivisie","Netherlands","André Onana","https://www.transfermarkt.com/andre-onana/profil/spieler/234509","Goalkeeper",22,"Cameroon",56,55,0,4813,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Bruno Varela","https://www.transfermarkt.com/bruno-varela/profil/spieler/182722","Goalkeeper",23,"Cape Verde",19,0,0,0,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Dominik Kotarski","https://www.transfermarkt.com/dominik-kotarski/profil/spieler/370997","Goalkeeper",18,"Croatia",2,0,0,0,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Kostas Lamprou","https://www.transfermarkt.com/kostas-lamprou/profil/spieler/64352","Goalkeeper",26,"Greece",53,5,0,437,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Stan van Bladeren","https://www.transfermarkt.com/stan-van-bladeren/profil/spieler/258520","Goalkeeper",20,"Netherlands",1,0,0,0,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Issam El Maach","https://www.transfermarkt.com/issam-el-maach/profil/spieler/430475","Goalkeeper",18,"Morocco",3,0,0,0,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Benjamin van Leer","https://www.transfermarkt.com/benjamin-van-leer/profil/spieler/123520","Goalkeeper",26,"Netherlands",0,0,0,0,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Matthijs de Ligt","https://www.transfermarkt.com/matthijs-de-ligt/profil/spieler/326031","Centre-Back",18,"Netherlands",55,55,7,4848,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Noussair Mazraoui","https://www.transfermarkt.com/noussair-mazraoui/profil/spieler/340456","Right-Back",20,"Morocco",51,48,4,3800,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Perr Schuurs","https://www.transfermarkt.com/perr-schuurs/profil/spieler/418543","Centre-Back",18,"Netherlands",15,4,1,309,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Maximilian Wöber","https://www.transfermarkt.com/maximilian-wober/profil/spieler/263361","Centre-Back",20,"Austria",31,16,0,850,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Rasmus Kristensen","https://www.transfermarkt.com/rasmus-kristensen/profil/spieler/369684","Right-Back",20,"Denmark",54,19,1,1118,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Joël Veltman","https://www.transfermarkt.com/joel-veltman/profil/spieler/111195","Right-Back",26,"Netherlands",23,14,1,788,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Nicolás Tagliafico","https://www.transfermarkt.com/nicolas-tagliafico/profil/spieler/131225","Left-Back",25,"Argentina",48,46,6,4011,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Daley Blind","https://www.transfermarkt.com/daley-blind/profil/spieler/12282","Centre-Back",28,"Netherlands",57,57,6,4919,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Lisandro Magallán","https://www.transfermarkt.com/lisandro-magallan/profil/spieler/66736","Centre-Back",24,"Argentina",19,5,0,162,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Daley Sinkgraven","https://www.transfermarkt.com/daley-sinkgraven/profil/spieler/215099","Left-Back",22,"Netherlands",30,11,0,312,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Frenkie de Jong","https://www.transfermarkt.com/frenkie-de-jong/profil/spieler/326330","Central Midfield",21,"Netherlands",55,52,3,4412,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Ryan Gravenberch","https://www.transfermarkt.com/ryan-gravenberch/profil/spieler/478573","Central Midfield",16,"Netherlands",6,2,1,97,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Mitchel Bakker","https://www.transfermarkt.com/mitchel-bakker/profil/spieler/361065","Left Midfield",18,"Netherlands",6,2,0,180,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Donny van de Beek","https://www.transfermarkt.com/donny-van-de-beek/profil/spieler/288255","Central Midfield",21,"Netherlands",57,57,17,4117,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Jurgen Ekkelenkamp","https://www.transfermarkt.com/jurgen-ekkelenkamp/profil/spieler/361068","Attacking Midfield",18,"Netherlands",17,5,1,135,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Dani de Wit","https://www.transfermarkt.com/dani-de-wit/profil/spieler/340459","Attacking Midfield",20,"Netherlands",49,11,0,129,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Carel Eiting","https://www.transfermarkt.com/carel-eiting/profil/spieler/315128","Central Midfield",20,"Netherlands",21,14,0,876,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Zakaria Labyad","https://www.transfermarkt.com/zakaria-labyad/profil/spieler/123349","Attacking Midfield",25,"Morocco",48,20,4,677,2018
"Ajax Amsterdam","Eredivisie","Netherlands","Lasse Schöne","https://www.transfermarkt.com/lasse-schone/profil/spieler/34784","Defensive Midfield",32,"Denmark",55,51,7,3768,2018
