"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"SL Benfica","Liga Portugal","Portugal","Odysseas Vlachodimos","https://www.transfermarkt.com/odysseas-vlachodimos/profil/spieler/124419","Goalkeeper",24,"Greece",53,50,0,4526,2018
"SL Benfica","Liga Portugal","Portugal","Mile Svilar","https://www.transfermarkt.com/mile-svilar/profil/spieler/338670","Goalkeeper",18,"Serbia",55,11,0,902,2018
"SL Benfica","Liga Portugal","Portugal","Bruno Varela","https://www.transfermarkt.com/bruno-varela/profil/spieler/182722","Goalkeeper",23,"Cape Verde",8,0,0,0,2018
"SL Benfica","Liga Portugal","Portugal","Ivan Zlobin","https://www.transfermarkt.com/ivan-zlobin/profil/spieler/282654","Goalkeeper",21,"Russia",4,0,0,0,2018
"SL Benfica","Liga Portugal","Portugal","Rúben Dias","https://www.transfermarkt.com/ruben-dias/profil/spieler/258004","Centre-Back",21,"Portugal",56,55,4,4918,2018
"SL Benfica","Liga Portugal","Portugal","Alejandro Grimaldo","https://www.transfermarkt.com/alejandro-grimaldo/profil/spieler/193082","Left-Back",22,"Spain",54,54,7,4829,2018
"SL Benfica","Liga Portugal","Portugal","Tyronne Ebuehi","https://www.transfermarkt.com/tyronne-ebuehi/profil/spieler/309944","Right-Back",22,"Nigeria",0,0,0,0,2018
"SL Benfica","Liga Portugal","Portugal","Ferro","https://www.transfermarkt.com/ferro/profil/spieler/294321","Centre-Back",21,"Portugal",20,18,3,1586,2018
"SL Benfica","Liga Portugal","Portugal","Cristian Lema","https://www.transfermarkt.com/cristian-lema/profil/spieler/147128","Centre-Back",28,"Argentina",3,2,0,127,2018
"SL Benfica","Liga Portugal","Portugal","Germán Conti","https://www.transfermarkt.com/german-conti/profil/spieler/284321","Centre-Back",24,"Argentina",21,10,1,808,2018
"SL Benfica","Liga Portugal","Portugal","Yuri Ribeiro","https://www.transfermarkt.com/yuri-ribeiro/profil/spieler/258032","Left-Back",21,"Portugal",12,7,0,586,2018
"SL Benfica","Liga Portugal","Portugal","Sébastien Corchia","https://www.transfermarkt.com/sebastien-corchia/profil/spieler/102744","Right-Back",27,"France",15,8,0,609,2018
"SL Benfica","Liga Portugal","Portugal","André Almeida","https://www.transfermarkt.com/andre-almeida/profil/spieler/83466","Right-Back",27,"Portugal",56,53,2,4727,2018
"SL Benfica","Liga Portugal","Portugal","Jardel","https://www.transfermarkt.com/jardel/profil/spieler/122946","Centre-Back",32,"Brazil",41,37,3,3175,2018
"SL Benfica","Liga Portugal","Portugal","Florentino","https://www.transfermarkt.com/florentino/profil/spieler/357162","Defensive Midfield",18,"Portugal",17,14,1,1079,2018
"SL Benfica","Liga Portugal","Portugal","Gedson Fernandes","https://www.transfermarkt.com/gedson-fernandes/profil/spieler/337800","Central Midfield",19,"Portugal",59,46,3,2757,2018
"SL Benfica","Liga Portugal","Portugal","Filip Krovinovic","https://www.transfermarkt.com/filip-krovinovic/profil/spieler/261988","Attacking Midfield",22,"Croatia",22,9,0,361,2018
"SL Benfica","Liga Portugal","Portugal","Gabriel Pires","https://www.transfermarkt.com/gabriel-pires/profil/spieler/167291","Central Midfield",24,"Brazil",38,34,1,2210,2018
"SL Benfica","Liga Portugal","Portugal","Alfa Semedo","https://www.transfermarkt.com/alfa-semedo/profil/spieler/359210","Defensive Midfield",20,"Guinea-Bissau",28,16,1,692,2018
"SL Benfica","Liga Portugal","Portugal","Pizzi","https://www.transfermarkt.com/pizzi/profil/spieler/64339","Attacking Midfield",28,"Portugal",57,55,15,4216,2018
"SL Benfica","Liga Portugal","Portugal","Adel Taarabt","https://www.transfermarkt.com/adel-taarabt/profil/spieler/45287","Central Midfield",29,"Morocco",9,7,0,140,2018
"SL Benfica","Liga Portugal","Portugal","Ljubomir Fejsa","https://www.transfermarkt.com/ljubomir-fejsa/profil/spieler/46110","Defensive Midfield",29,"Serbia",33,33,0,2754,2018
"SL Benfica","Liga Portugal","Portugal","Andreas Samaris","https://www.transfermarkt.com/andreas-samaris/profil/spieler/140032","Defensive Midfield",29,"Greece",45,27,2,1913,2018
"SL Benfica","Liga Portugal","Portugal","João Félix","https://www.transfermarkt.com/joao-felix/profil/spieler/462250","Left Winger",18,"Portugal",50,43,20,2866,2018
"SL Benfica","Liga Portugal","Portugal","Rafa","https://www.transfermarkt.com/rafa/profil/spieler/238055","Second Striker",25,"Portugal",49,44,21,2946,2018
"SL Benfica","Liga Portugal","Portugal","Jota","https://www.transfermarkt.com/jota/profil/spieler/329812","Left Winger",19,"Portugal",14,6,0,93,2018
"SL Benfica","Liga Portugal","Portugal","Andrija Zivkovic","https://www.transfermarkt.com/andrija-zivkovic/profil/spieler/206843","Right Winger",21,"Serbia",46,30,0,1378,2018
"SL Benfica","Liga Portugal","Portugal","Haris Seferovic","https://www.transfermarkt.com/haris-seferovic/profil/spieler/109256","Centre-Forward",26,"Switzerland",54,51,27,3592,2018
"SL Benfica","Liga Portugal","Portugal","Franco Cervi","https://www.transfermarkt.com/franco-cervi/profil/spieler/341110","Left Winger",24,"Argentina",55,38,5,2066,2018
"SL Benfica","Liga Portugal","Portugal","Eduardo Salvio","https://www.transfermarkt.com/eduardo-salvio/profil/spieler/84535","Right Winger",27,"Argentina",33,28,6,1370,2018
"SL Benfica","Liga Portugal","Portugal","Nicolás Castillo","https://www.transfermarkt.com/nicolas-castillo/profil/spieler/145602","Centre-Forward",25,"Chile",22,11,0,270,2018
"SL Benfica","Liga Portugal","Portugal","Facundo Ferreyra","https://www.transfermarkt.com/facundo-ferreyra/profil/spieler/93795","Centre-Forward",27,"Argentina",14,9,1,536,2018
"SL Benfica","Liga Portugal","Portugal","Jonas","https://www.transfermarkt.com/jonas/profil/spieler/50143","Second Striker",34,"Brazil",37,31,15,1467,2018
"FC Porto","Liga Portugal","Portugal","Diogo Costa","https://www.transfermarkt.com/diogo-costa/profil/spieler/357153","Goalkeeper",18,"Portugal",3,0,0,0,2018
"FC Porto","Liga Portugal","Portugal","Vaná Alves","https://www.transfermarkt.com/vana-alves/profil/spieler/212198","Goalkeeper",27,"Brazil",53,9,0,840,2018
"FC Porto","Liga Portugal","Portugal","Fabiano","https://www.transfermarkt.com/fabiano/profil/spieler/52848","Goalkeeper",30,"Brazil",7,6,0,570,2018
"FC Porto","Liga Portugal","Portugal","Iker Casillas","https://www.transfermarkt.com/iker-casillas/profil/spieler/3979","Goalkeeper",37,"Spain",51,42,0,3810,2018
"FC Porto","Liga Portugal","Portugal","Éder Militão","https://www.transfermarkt.com/eder-militao/profil/spieler/401530","Centre-Back",20,"Brazil",51,47,5,4206,2018
"FC Porto","Liga Portugal","Portugal","Diogo Leite","https://www.transfermarkt.com/diogo-leite/profil/spieler/357156","Centre-Back",19,"Portugal",13,6,1,540,2018
