"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"Zenit St. Petersburg","Premier Liga","Russia","Andrey Lunev","https://www.transfermarkt.com/andrey-lunev/profil/spieler/112541","Goalkeeper",26,"Russia",44,42,0,3784,2018
"Zenit St. Petersburg","Premier Liga","Russia","Nikita Goylo","https://www.transfermarkt.com/nikita-goylo/profil/spieler/440135","Goalkeeper",19,"Russia",3,0,0,0,2018
"Zenit St. Petersburg","Premier Liga","Russia","Mikhail Kerzhakov","https://www.transfermarkt.com/mikhail-kerzhakov/profil/spieler/27706","Goalkeeper",31,"Russia",39,4,0,296,2018
"Zenit St. Petersburg","Premier Liga","Russia","Egor Baburin","https://www.transfermarkt.com/egor-baburin/profil/spieler/146918","Goalkeeper",24,"Russia",0,0,0,0,2018
"Zenit St. Petersburg","Premier Liga","Russia","Yuriy Lodygin","https://www.transfermarkt.com/yuriy-lodygin/profil/spieler/126360","Goalkeeper",28,"Russia",22,1,0,90,2018
"Zenit St. Petersburg","Premier Liga","Russia","Aleksandr Vasyutin","https://www.transfermarkt.com/aleksandr-vasyutin/profil/spieler/215213","Goalkeeper",23,"Russia",0,0,0,0,2018
"Zenit St. Petersburg","Premier Liga","Russia","Aleksey Gorodovoy","https://www.transfermarkt.com/aleksey-gorodovoy/profil/spieler/288559","Goalkeeper",24,"Russia",4,0,0,0,2018
"Zenit St. Petersburg","Premier Liga","Russia","Nikolay Rybikov","https://www.transfermarkt.com/nikolay-rybikov/profil/spieler/451128","Goalkeeper",18,"Russia",7,0,0,0,2018
"Zenit St. Petersburg","Premier Liga","Russia","Mikhail Kizeev","https://www.transfermarkt.com/mikhail-kizeev/profil/spieler/388988","Goalkeeper",21,"Russia",1,0,0,0,2018
"Zenit St. Petersburg","Premier Liga","Russia","Douglas Santos","https://www.transfermarkt.com/douglas-santos/profil/spieler/220793","Left-Back",24,"Brazil",0,0,0,0,2018
"Zenit St. Petersburg","Premier Liga","Russia","Vyacheslav Karavaev","https://www.transfermarkt.com/vyacheslav-karavaev/profil/spieler/170620","Right-Back",23,"Russia",0,0,0,0,2018
"Zenit St. Petersburg","Premier Liga","Russia","Emanuel Mammana","https://www.transfermarkt.com/emanuel-mammana/profil/spieler/275512","Centre-Back",22,"Argentina",30,11,0,753,2018
"Zenit St. Petersburg","Premier Liga","Russia","Yordan Osorio","https://www.transfermarkt.com/yordan-osorio/profil/spieler/358165","Centre-Back",24,"Venezuela",0,0,0,0,2018
"Zenit St. Petersburg","Premier Liga","Russia","Yaroslav Rakitskyi","https://www.transfermarkt.com/yaroslav-rakitskyi/profil/spieler/89222","Centre-Back",28,"Ukraine",16,16,3,1440,2018
"Zenit St. Petersburg","Premier Liga","Russia","Evgeniy Chernov","https://www.transfermarkt.com/evgeniy-chernov/profil/spieler/187024","Left-Back",25,"Russia",20,6,0,521,2018
"Zenit St. Petersburg","Premier Liga","Russia","Denis Terentjev","https://www.transfermarkt.com/denis-terentjev/profil/spieler/144583","Right-Back",25,"Russia",4,1,0,12,2018
"Zenit St. Petersburg","Premier Liga","Russia","Elmir Nabiullin","https://www.transfermarkt.com/elmir-nabiullin/profil/spieler/214257","Left-Back",23,"Russia",43,20,0,1465,2018
"Zenit St. Petersburg","Premier Liga","Russia","Luís Neto","https://www.transfermarkt.com/luis-neto/profil/spieler/56036","Centre-Back",30,"Portugal",42,21,0,1802,2018
"Zenit St. Petersburg","Premier Liga","Russia","Miha Mevlja","https://www.transfermarkt.com/miha-mevlja/profil/spieler/100160","Centre-Back",28,"Slovenia",29,14,1,1279,2018
"Zenit St. Petersburg","Premier Liga","Russia","Ivan Novoseltsev","https://www.transfermarkt.com/ivan-novoseltsev/profil/spieler/231873","Centre-Back",26,"Russia",0,0,0,0,2018
