"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"FC Barcelona","LaLiga","Spain","Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","Goalkeeper",26,"Germany",56,49,0,4410,2018
"FC Barcelona","LaLiga","Spain","Iñaki Peña","https://www.transfermarkt.com/inaki-pena/profil/spieler/283170","Goalkeeper",19,"Spain",14,0,0,0,2018
"FC Barcelona","LaLiga","Spain","Jasper Cillessen","https://www.transfermarkt.com/jasper-cillessen/profil/spieler/146227","Goalkeeper",29,"Netherlands",49,11,0,990,2018
"FC Barcelona","LaLiga","Spain","Jokin Ezkieta","https://www.transfermarkt.com/jokin-ezkieta/profil/spieler/379548","Goalkeeper",21,"Spain",1,0,0,0,2018
"FC Barcelona","LaLiga","Spain","Jean-Clair Todibo","https://www.transfermarkt.com/jean-clair-todibo/profil/spieler/605184","Centre-Back",18,"France",3,2,0,158,2018
"FC Barcelona","LaLiga","Spain","Nélson Semedo","https://www.transfermarkt.com/nelson-semedo/profil/spieler/231572","Right-Back",24,"Portugal",59,46,1,2887,2018
"FC Barcelona","LaLiga","Spain","Clément Lenglet","https://www.transfermarkt.com/clement-lenglet/profil/spieler/182904","Centre-Back",23,"France",57,45,2,3654,2018
"FC Barcelona","LaLiga","Spain","Juan Miranda","https://www.transfermarkt.com/juan-miranda/profil/spieler/341227","Left-Back",18,"Spain",10,4,0,316,2018
"FC Barcelona","LaLiga","Spain","Jorge Cuenca","https://www.transfermarkt.com/jorge-cuenca/profil/spieler/494880","Centre-Back",18,"Spain",1,1,0,61,2018
"FC Barcelona","LaLiga","Spain","Samuel Umtiti","https://www.transfermarkt.com/samuel-umtiti/profil/spieler/126540","Centre-Back",24,"France",32,15,0,1268,2018
"FC Barcelona","LaLiga","Spain","Jordi Alba","https://www.transfermarkt.com/jordi-alba/profil/spieler/69751","Left-Back",29,"Spain",55,54,3,4510,2018
"FC Barcelona","LaLiga","Spain","Chumi","https://www.transfermarkt.com/chumi/profil/spieler/333361","Centre-Back",19,"Spain",11,3,0,238,2018
"FC Barcelona","LaLiga","Spain","Jeison Murillo","https://www.transfermarkt.com/jeison-murillo/profil/spieler/131102","Centre-Back",26,"Colombia",14,4,0,292,2018
"FC Barcelona","LaLiga","Spain","Moussa Wagué","https://www.transfermarkt.com/moussa-wague/profil/spieler/364240","Right-Back",19,"Senegal",4,3,0,224,2018
"FC Barcelona","LaLiga","Spain","Guillem Jaime","https://www.transfermarkt.com/guillem-jaime/profil/spieler/331508","Right-Back",19,"Spain",1,0,0,0,2018
"FC Barcelona","LaLiga","Spain","Gerard Piqué","https://www.transfermarkt.com/gerard-pique/profil/spieler/18944","Centre-Back",31,"Spain",55,52,7,4680,2018
"FC Barcelona","LaLiga","Spain","Thomas Vermaelen","https://www.transfermarkt.com/thomas-vermaelen/profil/spieler/15904","Centre-Back",32,"Belgium",20,12,0,766,2018
"FC Barcelona","LaLiga","Spain","Arthur Melo","https://www.transfermarkt.com/arthur-melo/profil/spieler/362842","Defensive Midfield",21,"Brazil",49,44,0,2479,2018
"FC Barcelona","LaLiga","Spain","Riqui Puig","https://www.transfermarkt.com/riqui-puig/profil/spieler/331511","Central Midfield",18,"Spain",8,3,0,192,2018
"FC Barcelona","LaLiga","Spain","Philippe Coutinho","https://www.transfermarkt.com/philippe-coutinho/profil/spieler/80444","Attacking Midfield",26,"Brazil",56,54,11,3345,2018
"FC Barcelona","LaLiga","Spain","Ivan Rakitic","https://www.transfermarkt.com/ivan-rakitic/profil/spieler/32467","Central Midfield",30,"Croatia",54,54,5,4239,2018
"FC Barcelona","LaLiga","Spain","Rafinha","https://www.transfermarkt.com/rafinha/profil/spieler/129473","Attacking Midfield",25,"Brazil",14,8,1,349,2018
"FC Barcelona","LaLiga","Spain","Sergi Roberto","https://www.transfermarkt.com/sergi-roberto/profil/spieler/85370","Central Midfield",26,"Spain",48,44,1,3212,2018
"FC Barcelona","LaLiga","Spain","Carles Aleñá","https://www.transfermarkt.com/carles-alena/profil/spieler/284854","Central Midfield",20,"Spain",45,27,2,1070,2018
"FC Barcelona","LaLiga","Spain","Sergio Busquets","https://www.transfermarkt.com/sergio-busquets/profil/spieler/65230","Defensive Midfield",29,"Spain",55,54,0,4329,2018
"FC Barcelona","LaLiga","Spain","Denis Suárez","https://www.transfermarkt.com/denis-suarez/profil/spieler/165007","Attacking Midfield",24,"Spain",16,8,2,257,2018
"FC Barcelona","LaLiga","Spain","Sergi Samper","https://www.transfermarkt.com/sergi-samper/profil/spieler/181112","Defensive Midfield",23,"Spain",1,1,0,33,2018
"FC Barcelona","LaLiga","Spain","Uri Busquets","https://www.transfermarkt.com/uri-busquets/profil/spieler/282721","Defensive Midfield",19,"Spain",2,1,0,55,2018
"FC Barcelona","LaLiga","Spain","Arturo Vidal","https://www.transfermarkt.com/arturo-vidal/profil/spieler/37666","Central Midfield",31,"Chile",58,53,3,2745,2018
"FC Barcelona","LaLiga","Spain","Kevin-Prince Boateng","https://www.transfermarkt.com/kevin-prince-boateng/profil/spieler/16922","Attacking Midfield",31,"Ghana",13,4,0,303,2018
