team_name,league,country,player_name,appearances,goals,minutes_played,Year
Red Bull Salzburg,Bundesliga,Austria,Philipp Köhn,42,0,3777,2022
Red Bull Salzburg,Bundesliga,Austria,Nico Mantl,2,0,180,2022
Red Bull Salzburg,Bundesliga,Austria,Adam Stejskal,0,0,0,2022
Red Bull Salzburg,Bundesliga,Austria,Jonas Krumrey,0,0,0,2022
Red Bull Salzburg,Bundesliga,Austria,Alexander Walke,1,0,33,2022
Red Bull Salzburg,Bundesliga,Austria,Strahinja Pavlovic,34,2,2958,2022
Red Bull Salzburg,Bundesliga,Austria,Amar Dedic,38,3,3319,2022
Red Bull Salzburg,Bundesliga,Austria,Maximilian Wöber,21,2,1573,2022
Red Bull Salzburg,Bundesliga,Austria,Oumar Solet,33,1,2835,2022
Red Bull Salzburg,Bundesliga,Austria,Samson Baidoo,5,0,188,2022
Red Bull Salzburg,Bundesliga,Austria,Bernardo,27,0,1982,2022
Red Bull Salzburg,Bundesliga,Austria,Ignace Van der Brempt,18,1,743,2022
Red Bull Salzburg,Bundesliga,Austria,Kamil Piatkowski,4,0,268,2022
Red Bull Salzburg,Bundesliga,Austria,Daouda Guindo,0,0,0,2022
Red Bull Salzburg,Bundesliga,Austria,Bryan Okoh,1,0,0,2022
Red Bull Salzburg,Bundesliga,Austria,Lukas Wallner,0,0,0,2022
Red Bull Salzburg,Bundesliga,Austria,Jérôme Onguéné,0,0,0,2022
Red Bull Salzburg,Bundesliga,Austria,Lukas Ibertsberger,0,0,0,2022
Red Bull Salzburg,Bundesliga,Austria,Andreas Ulmer,32,0,2060,2022
Red Bull Salzburg,Bundesliga,Austria,Oscar Gloukh,17,2,796,2022
Red Bull Salzburg,Bundesliga,Austria,Nicolas Seiwald,43,4,3635,2022
Red Bull Salzburg,Bundesliga,Austria,Luka Sucic,25,0,1883,2022
Red Bull Salzburg,Bundesliga,Austria,Maurits Kjaergaard,36,2,2353,2022
Red Bull Salzburg,Bundesliga,Austria,Lucas Gourna-Douath,32,0,2061,2022
Red Bull Salzburg,Bundesliga,Austria,Nicolás Capaldo,30,6,2350,2022
