"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"Malmö FF","Allsvenskan","Sweden","Marko Johansson","https://www.transfermarkt.com/marko-johansson/profil/spieler/316983","Goalkeeper",19,"Sweden",0,0,0,0,2018
"Malmö FF","Allsvenskan","Sweden","Jakob Tannander","https://www.transfermarkt.com/jakob-tannander/profil/spieler/369522","Goalkeeper",17,"Sweden",0,0,0,0,2018
"Malmö FF","Allsvenskan","Sweden","Johan Dahlin","https://www.transfermarkt.com/johan-dahlin/profil/spieler/41653","Goalkeeper",31,"Sweden",45,45,0,4005,2018
"Malmö FF","Allsvenskan","Sweden","Mathias Nilsson","https://www.transfermarkt.com/mathias-nilsson/profil/spieler/396298","Goalkeeper",19,"Sweden",1,0,0,0,2018
"Malmö FF","Allsvenskan","Sweden","Fredrik Andersson","https://www.transfermarkt.com/fredrik-andersson/profil/spieler/205700","Goalkeeper",29,"Sweden",7,0,0,0,2018
"Malmö FF","Allsvenskan","Sweden","Walter Viitala","https://www.transfermarkt.com/walter-viitala/profil/spieler/181061","Goalkeeper",26,"Finland",7,0,0,0,2018
"Malmö FF","Allsvenskan","Sweden","Dusan Melicharek","https://www.transfermarkt.com/dusan-melicharek/profil/spieler/37061","Goalkeeper",34,"Czech Republic",32,2,0,134,2018
"Malmö FF","Allsvenskan","Sweden","Anel Ahmedhodzic","https://www.transfermarkt.com/anel-ahmedhodzic/profil/spieler/377468","Centre-Back",19,"Bosnia-Herzegovina",11,1,0,11,2018
"Malmö FF","Allsvenskan","Sweden","Felix Beijmo","https://www.transfermarkt.com/felix-beijmo/profil/spieler/322293","Right-Back",20,"Sweden",11,8,1,592,2018
"Malmö FF","Allsvenskan","Sweden","Franz Brorsson","https://www.transfermarkt.com/franz-brorsson/profil/spieler/271773","Centre-Back",22,"Sweden",27,19,0,841,2018
"Malmö FF","Allsvenskan","Sweden","Hugo Andersson","https://www.transfermarkt.com/hugo-andersson/profil/spieler/348875","Centre-Back",19,"Sweden",2,0,0,0,2018
"Malmö FF","Allsvenskan","Sweden","Eric Larsson","https://www.transfermarkt.com/eric-larsson/profil/spieler/146774","Right-Back",26,"Sweden",44,35,1,2804,2018
"Malmö FF","Allsvenskan","Sweden","Pavle Vagic","https://www.transfermarkt.com/pavle-vagic/profil/spieler/396294","Centre-Back",18,"Sweden",0,0,0,0,2018
"Malmö FF","Allsvenskan","Sweden","Jonas Knudsen","https://www.transfermarkt.com/jonas-knudsen/profil/spieler/144904","Left-Back",25,"Denmark",14,11,0,787,2018
"Malmö FF","Allsvenskan","Sweden","Egzon Binaku","https://www.transfermarkt.com/egzon-binaku/profil/spieler/318645","Left-Back",22,"Albania",9,2,0,42,2018
"Malmö FF","Allsvenskan","Sweden","Andreas Vindheim","https://www.transfermarkt.com/andreas-vindheim/profil/spieler/254472","Right-Back",22,"Norway",27,23,2,1544,2018
