"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"BSC Young Boys","Super League","Switzerland","David von Ballmoos","https://www.transfermarkt.com/david-von-ballmoos/profil/spieler/203124","Goalkeeper",23,"Switzerland",44,41,0,3576,2018
"BSC Young Boys","Super League","Switzerland","Dario Marzino","https://www.transfermarkt.com/dario-marzino/profil/spieler/254968","Goalkeeper",21,"Switzerland",4,0,0,0,2018
"BSC Young Boys","Super League","Switzerland","Marco Wölfli","https://www.transfermarkt.com/marco-wolfli/profil/spieler/4860","Goalkeeper",35,"Switzerland",48,9,0,804,2018
"BSC Young Boys","Super League","Switzerland","Jordan Lotomba","https://www.transfermarkt.com/jordan-lotomba/profil/spieler/313094","Right-Back",19,"Switzerland",7,5,0,162,2018
"BSC Young Boys","Super League","Switzerland","Ulisses Garcia","https://www.transfermarkt.com/ulisses-garcia/profil/spieler/192616","Left-Back",22,"Switzerland",41,29,4,1375,2018
"BSC Young Boys","Super League","Switzerland","Mohamed Camara","https://www.transfermarkt.com/mohamed-camara/profil/spieler/426723","Centre-Back",20,"Guinea",36,22,3,1931,2018
"BSC Young Boys","Super League","Switzerland","Kevin Mbabu","https://www.transfermarkt.com/kevin-mbabu/profil/spieler/183321","Right-Back",23,"Switzerland",35,33,1,2853,2018
"BSC Young Boys","Super League","Switzerland","Gregory Wüthrich","https://www.transfermarkt.com/gregory-wuthrich/profil/spieler/203125","Centre-Back",23,"Switzerland",29,18,0,1290,2018
"BSC Young Boys","Super League","Switzerland","Nicolas Bürgy","https://www.transfermarkt.com/nicolas-burgy/profil/spieler/203895","Centre-Back",22,"Switzerland",0,0,0,0,2018
"BSC Young Boys","Super League","Switzerland","Thorsten Schick","https://www.transfermarkt.com/thorsten-schick/profil/spieler/55574","Right-Back",28,"Austria",45,32,1,1792,2018
"BSC Young Boys","Super League","Switzerland","Linus Obexer","https://www.transfermarkt.com/linus-obexer/profil/spieler/254972","Left-Back",21,"Switzerland",0,0,0,0,2018
"BSC Young Boys","Super League","Switzerland","Jan Kronig","https://www.transfermarkt.com/jan-kronig/profil/spieler/346881","Centre-Back",18,"Switzerland",11,2,0,180,2018
"BSC Young Boys","Super League","Switzerland","Léo Seydoux","https://www.transfermarkt.com/leo-seydoux/profil/spieler/313097","Right-Back",20,"Switzerland",27,3,0,109,2018
"BSC Young Boys","Super League","Switzerland","Loris Benito","https://www.transfermarkt.com/loris-benito/profil/spieler/119085","Centre-Back",26,"Switzerland",46,42,1,3840,2018
"BSC Young Boys","Super League","Switzerland","Steve von Bergen","https://www.transfermarkt.com/steve-von-bergen/profil/spieler/4793","Centre-Back",35,"Switzerland",39,37,1,3301,2018
"BSC Young Boys","Super League","Switzerland","Djibril Sow","https://www.transfermarkt.com/djibril-sow/profil/spieler/212723","Central Midfield",21,"Switzerland",42,39,3,3209,2018
"BSC Young Boys","Super League","Switzerland","Michel Aebischer","https://www.transfermarkt.com/michel-aebischer/profil/spieler/237658","Central Midfield",21,"Switzerland",41,35,4,2257,2018
"BSC Young Boys","Super League","Switzerland","Christian Fassnacht","https://www.transfermarkt.com/christian-fassnacht/profil/spieler/250490","Right Midfield",24,"Switzerland",47,47,11,3322,2018
"BSC Young Boys","Super League","Switzerland","Sandro Lauper","https://www.transfermarkt.com/sandro-lauper/profil/spieler/254965","Defensive Midfield",21,"Switzerland",37,35,1,2545,2018
"BSC Young Boys","Super League","Switzerland","Leonardo Bertone","https://www.transfermarkt.com/leonardo-bertone/profil/spieler/194975","Central Midfield",24,"Switzerland",27,15,1,766,2018
"BSC Young Boys","Super League","Switzerland","Miguel Castroman","https://www.transfermarkt.com/miguel-castroman/profil/spieler/183309","Attacking Midfield",23,"Switzerland",0,0,0,0,2018
"BSC Young Boys","Super League","Switzerland","Sékou Sanogo","https://www.transfermarkt.com/sekou-sanogo/profil/spieler/173656","Defensive Midfield",29,"Cote d'Ivoire",26,23,1,2001,2018
"BSC Young Boys","Super League","Switzerland","Gianluca Gaudino","https://www.transfermarkt.com/gianluca-gaudino/profil/spieler/195051","Central Midfield",21,"Germany",19,11,1,381,2018
"BSC Young Boys","Super League","Switzerland","Esteban Petignat","https://www.transfermarkt.com/esteban-petignat/profil/spieler/479480","Defensive Midfield",18,"Switzerland",2,0,0,0,2018
"BSC Young Boys","Super League","Switzerland","Pedro Teixeira","https://www.transfermarkt.com/pedro-teixeira/profil/spieler/433189","Left Midfield",19,"Switzerland",2,0,0,0,2018
"BSC Young Boys","Super League","Switzerland","Miralem Sulejmani","https://www.transfermarkt.com/miralem-sulejmani/profil/spieler/36080","Left Midfield",29,"Serbia",27,27,9,1669,2018
"BSC Young Boys","Super League","Switzerland","Nicolas Moumi Ngamaleu","https://www.transfermarkt.com/nicolas-moumi-ngamaleu/profil/spieler/266768","Left Winger",23,"Cameroon",45,44,13,2767,2018
"BSC Young Boys","Super League","Switzerland","Taulant Seferi","https://www.transfermarkt.com/taulant-seferi/profil/spieler/254985","Centre-Forward",21,"Albania",0,0,0,0,2018
"BSC Young Boys","Super League","Switzerland","Jean-Pierre Nsame","https://www.transfermarkt.com/jean-pierre-nsame/profil/spieler/225055","Centre-Forward",25,"Cameroon",47,40,16,2412,2018
"BSC Young Boys","Super League","Switzerland","Kwadwo Duah","https://www.transfermarkt.com/kwadwo-duah/profil/spieler/254955","Centre-Forward",21,"Switzerland",0,0,0,0,2018
"BSC Young Boys","Super League","Switzerland","Felix Mambimbi","https://www.transfermarkt.com/felix-mambimbi/profil/spieler/507496","Left Winger",17,"Switzerland",6,2,0,14,2018
"BSC Young Boys","Super League","Switzerland","Roger Assalé","https://www.transfermarkt.com/roger-assale/profil/spieler/263183","Centre-Forward",24,"Cote d'Ivoire",44,42,10,2863,2018
"BSC Young Boys","Super League","Switzerland","Guillaume Hoarau","https://www.transfermarkt.com/guillaume-hoarau/profil/spieler/23934","Centre-Forward",34,"France",40,38,30,2727,2018
"FC Basel 1893","Super League","Switzerland","Jonas Omlin","https://www.transfermarkt.com/jonas-omlin/profil/spieler/247915","Goalkeeper",24,"Switzerland",37,35,0,3180,2018
"FC Basel 1893","Super League","Switzerland","Martin Hansen","https://www.transfermarkt.com/martin-hansen/profil/spieler/45601","Goalkeeper",28,"Denmark",44,13,0,1162,2018
"FC Basel 1893","Super League","Switzerland","Djordje Nikolic","https://www.transfermarkt.com/djordje-nikolic/profil/spieler/274344","Goalkeeper",21,"Serbia",0,0,0,0,2018
"FC Basel 1893","Super League","Switzerland","Signori Antonio","https://www.transfermarkt.com/signori-antonio/profil/spieler/147029","Goalkeeper",23,"Angola",11,1,0,8,2018
"FC Basel 1893","Super League","Switzerland","Jozef Pukaj","https://www.transfermarkt.com/jozef-pukaj/profil/spieler/421809","Goalkeeper",18,"Kosovo",4,0,0,0,2018
"FC Basel 1893","Super League","Switzerland","Eray Cömert","https://www.transfermarkt.com/eray-comert/profil/spieler/298583","Centre-Back",20,"Switzerland",40,31,2,2724,2018
"FC Basel 1893","Super League","Switzerland","Silvan Widmer","https://www.transfermarkt.com/silvan-widmer/profil/spieler/168989","Right-Back",25,"Switzerland",43,41,2,3588,2018
"FC Basel 1893","Super League","Switzerland","Dominik Schmid","https://www.transfermarkt.com/dominik-schmid/profil/spieler/359409","Left-Back",20,"Switzerland",0,0,0,0,2018
"FC Basel 1893","Super League","Switzerland","Blas Riveros","https://www.transfermarkt.com/blas-riveros/profil/spieler/401732","Left-Back",20,"Paraguay",35,23,2,1889,2018
"FC Basel 1893","Super League","Switzerland","Pedro Pacheco","https://www.transfermarkt.com/pedro-pacheco/profil/spieler/290508","Centre-Back",21,"Portugal",0,0,0,0,2018
"FC Basel 1893","Super League","Switzerland","Carlos Zambrano","https://www.transfermarkt.com/carlos-zambrano/profil/spieler/53533","Centre-Back",28,"Peru",16,9,1,680,2018
"FC Basel 1893","Super League","Switzerland","Raoul Petretta","https://www.transfermarkt.com/raoul-petretta/profil/spieler/243878","Left-Back",21,"Italy",38,29,1,2394,2018
"FC Basel 1893","Super League","Switzerland","Konstantinos Dimitriou","https://www.transfermarkt.com/konstantinos-dimitriou/profil/spieler/348522","Centre-Back",19,"Greece",8,0,0,0,2018
"FC Basel 1893","Super League","Switzerland","Marek Suchy","https://www.transfermarkt.com/marek-suchy/profil/spieler/34542","Centre-Back",30,"Czech Republic",27,25,2,2085,2018
"FC Basel 1893","Super League","Switzerland","Yves Kaiser","https://www.transfermarkt.com/yves-kaiser/profil/spieler/294595","Centre-Back",20,"Switzerland",24,8,0,597,2018
"FC Basel 1893","Super League","Switzerland","Éder Balanta","https://www.transfermarkt.com/eder-balanta/profil/spieler/265127","Defensive Midfield",25,"Colombia",33,31,3,2505,2018
"FC Basel 1893","Super League","Switzerland","Taulant Xhaka","https://www.transfermarkt.com/taulant-xhaka/profil/spieler/113125","Defensive Midfield",27,"Albania",39,34,0,2622,2018
"FC Basel 1893","Super League","Switzerland","Gezim Pepsi","https://www.transfermarkt.com/gezim-pepsi/profil/spieler/342825","Defensive Midfield",19,"Kosovo",0,0,0,0,2018
"FC Basel 1893","Super League","Switzerland","Fabian Frei","https://www.transfermarkt.com/fabian-frei/profil/spieler/52595","Defensive Midfield",29,"Switzerland",45,43,6,3572,2018
"FC Basel 1893","Super League","Switzerland","Luca Zuffi","https://www.transfermarkt.com/luca-zuffi/profil/spieler/59246","Central Midfield",28,"Switzerland",46,45,8,3589,2018
"FC Basel 1893","Super League","Switzerland","Samuele Campo","https://www.transfermarkt.com/samuele-campo/profil/spieler/183446","Attacking Midfield",22,"Switzerland",31,21,8,1139,2018
"FC Basel 1893","Super League","Switzerland","Yannick Marchand","https://www.transfermarkt.com/yannick-marchand/profil/spieler/346882","Central Midfield",18,"Switzerland",1,1,0,21,2018
"FC Basel 1893","Super League","Switzerland","Geoffroy Serey Dié","https://www.transfermarkt.com/geoffroy-serey-die/profil/spieler/77708","Defensive Midfield",33,"Cote d'Ivoire",22,18,1,1380,2018
"FC Basel 1893","Super League","Switzerland","Martin Liechti","https://www.transfermarkt.com/martin-liechti/profil/spieler/290021","Right Midfield",20,"Switzerland",0,0,0,0,2018
"FC Basel 1893","Super League","Switzerland","Zdravko Kuzmanovic","https://www.transfermarkt.com/zdravko-kuzmanovic/profil/spieler/25441","Central Midfield",30,"Serbia",23,17,2,841,2018
"FC Basel 1893","Super League","Switzerland","Robin Huser","https://www.transfermarkt.com/robin-huser/profil/spieler/243873","Defensive Midfield",20,"Switzerland",5,1,0,9,2018
"FC Basel 1893","Super League","Switzerland","Noah Okafor","https://www.transfermarkt.com/noah-okafor/profil/spieler/346890","Centre-Forward",18,"Switzerland",37,29,4,1911,2018
"FC Basel 1893","Super League","Switzerland","Edon Zhegrova","https://www.transfermarkt.com/edon-zhegrova/profil/spieler/496857","Right Winger",19,"Kosovo",17,9,0,354,2018
"FC Basel 1893","Super League","Switzerland","Julian Von Moos","https://www.transfermarkt.com/julian-von-moos/profil/spieler/500762","Centre-Forward",17,"Switzerland",2,1,1,16,2018
"FC Basel 1893","Super League","Switzerland","Aldo Kalulu","https://www.transfermarkt.com/aldo-kalulu/profil/spieler/292822","Left Winger",22,"DR Congo",39,24,1,1209,2018
"FC Basel 1893","Super League","Switzerland","Afimico Pululu","https://www.transfermarkt.com/afimico-pululu/profil/spieler/410649","Centre-Forward",19,"Angola",20,13,0,253,2018
"FC Basel 1893","Super League","Switzerland","Ricky van Wolfswinkel","https://www.transfermarkt.com/ricky-van-wolfswinkel/profil/spieler/41355","Centre-Forward",29,"Netherlands",44,42,17,3132,2018
"FC Basel 1893","Super League","Switzerland","Albian Ajeti","https://www.transfermarkt.com/albian-ajeti/profil/spieler/195906","Centre-Forward",21,"Switzerland",46,43,21,3241,2018
"FC Basel 1893","Super League","Switzerland","Kevin Bua","https://www.transfermarkt.com/kevin-bua/profil/spieler/252080","Left Winger",24,"Switzerland",34,32,6,1765,2018
"FC Basel 1893","Super League","Switzerland","Dimitri Oberlin","https://www.transfermarkt.com/dimitri-oberlin/profil/spieler/212718","Centre-Forward",20,"Switzerland",24,20,1,387,2018
"FC Basel 1893","Super League","Switzerland","Neftali Manzambi","https://www.transfermarkt.com/neftali-manzambi/profil/spieler/211453","Centre-Forward",21,"Switzerland",0,0,0,0,2018
"FC Basel 1893","Super League","Switzerland","Tician Tushi","https://www.transfermarkt.com/tician-tushi/profil/spieler/507499","Centre-Forward",17,"Switzerland",1,1,0,6,2018
"FC Basel 1893","Super League","Switzerland","Valentin Stocker","https://www.transfermarkt.com/valentin-stocker/profil/spieler/45178","Left Winger",29,"Switzerland",28,26,4,1446,2018
"FC Zürich","Super League","Switzerland","Yanick Brecher","https://www.transfermarkt.com/yanick-brecher/profil/spieler/165532","Goalkeeper",25,"Switzerland",49,42,0,3736,2018
"FC Zürich","Super League","Switzerland","Osman Hadzikic","https://www.transfermarkt.com/osman-hadzikic/profil/spieler/188881","Goalkeeper",22,"Austria",0,0,0,0,2018
"FC Zürich","Super League","Switzerland","Andris Vanins","https://www.transfermarkt.com/andris-vanins/profil/spieler/15403","Goalkeeper",38,"Latvia",49,8,0,674,2018
"FC Zürich","Super League","Switzerland","Becir Omeragic","https://www.transfermarkt.com/becir-omeragic/profil/spieler/507344","Centre-Back",16,"Switzerland",7,5,0,144,2018
"FC Zürich","Super League","Switzerland","Andreas Maxsø","https://www.transfermarkt.com/andreas-maxso/profil/spieler/253206","Centre-Back",24,"Denmark",47,37,1,3101,2018
"FC Zürich","Super League","Switzerland","Hakim Guenouche","https://www.transfermarkt.com/hakim-guenouche/profil/spieler/395230","Left-Back",18,"France",11,4,0,314,2018
"FC Zürich","Super League","Switzerland","Kevin Rüegg","https://www.transfermarkt.com/kevin-ruegg/profil/spieler/290032","Right-Back",19,"Switzerland",34,34,2,2951,2018
"FC Zürich","Super League","Switzerland","Victor Pálsson","https://www.transfermarkt.com/victor-palsson/profil/spieler/97241","Centre-Back",27,"Iceland",22,20,1,1609,2018
"FC Zürich","Super League","Switzerland","Levan Kharabadze","https://www.transfermarkt.com/levan-kharabadze/profil/spieler/412614","Left-Back",18,"Georgia",21,20,1,1654,2018
"FC Zürich","Super League","Switzerland","Mirlind Kryeziu","https://www.transfermarkt.com/mirlind-kryeziu/profil/spieler/265208","Centre-Back",21,"Kosovo",48,23,0,1697,2018
"FC Zürich","Super League","Switzerland","Ilan Sauter","https://www.transfermarkt.com/ilan-sauter/profil/spieler/507484","Centre-Back",17,"Switzerland",0,0,0,0,2018
"FC Zürich","Super League","Switzerland","Fabio Dixon","https://www.transfermarkt.com/fabio-dixon/profil/spieler/464192","Right-Back",19,"Switzerland",12,6,0,301,2018
"FC Zürich","Super League","Switzerland","Joel Untersee","https://www.transfermarkt.com/joel-untersee/profil/spieler/147031","Right-Back",24,"Switzerland",11,10,0,707,2018
"FC Zürich","Super League","Switzerland","Alain Nef","https://www.transfermarkt.com/alain-nef/profil/spieler/4945","Centre-Back",36,"Switzerland",41,32,1,1931,2018
"FC Zürich","Super League","Switzerland","Umaru Bangura","https://www.transfermarkt.com/umaru-bangura/profil/spieler/38304","Centre-Back",30,"Sierra Leone",41,36,0,3157,2018
"FC Zürich","Super League","Switzerland","Pa Modou","https://www.transfermarkt.com/pa-modou/profil/spieler/66449","Centre-Back",28,"The Gambia",25,24,2,1986,2018
"FC Zürich","Super League","Switzerland","Simon Sohm","https://www.transfermarkt.com/simon-sohm/profil/spieler/507486","Central Midfield",17,"Switzerland",21,9,0,474,2018
