"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"Galatasaray","Süper Lig","Türkiye","Fernando Muslera","https://www.transfermarkt.com/fernando-muslera/profil/spieler/58088","Goalkeeper",32,"Uruguay",45,45,0,4080,2018
"Galatasaray","Süper Lig","Türkiye","Batuhan Şen","https://www.transfermarkt.com/batuhan-sen/profil/spieler/352659","Goalkeeper",19,"Türkiye",8,1,0,9,2018
"Galatasaray","Süper Lig","Türkiye","İsmail Çipe","https://www.transfermarkt.com/ismail-cipe/profil/spieler/282460","Goalkeeper",23,"Türkiye",52,8,0,621,2018
"Galatasaray","Süper Lig","Türkiye","Ozan Kabak","https://www.transfermarkt.com/ozan-kabak/profil/spieler/361260","Centre-Back",18,"Türkiye",22,17,0,1444,2018
"Galatasaray","Süper Lig","Türkiye","Marcão","https://www.transfermarkt.com/marcao/profil/spieler/439022","Centre-Back",22,"Brazil",23,21,0,1833,2018
"Galatasaray","Süper Lig","Türkiye","Serdar Aziz","https://www.transfermarkt.com/serdar-aziz/profil/spieler/44996","Centre-Back",27,"Türkiye",18,15,2,1307,2018
"Galatasaray","Süper Lig","Türkiye","Martin Linnes","https://www.transfermarkt.com/martin-linnes/profil/spieler/137582","Right-Back",26,"Norway",48,33,4,2228,2018
"Galatasaray","Süper Lig","Türkiye","Lionel Carole","https://www.transfermarkt.com/lionel-carole/profil/spieler/11530","Left-Back",27,"France",1,1,0,18,2018
"Galatasaray","Süper Lig","Türkiye","Maicon","https://www.transfermarkt.com/maicon/profil/spieler/84695","Centre-Back",29,"Brazil",28,22,1,1661,2018
"Galatasaray","Süper Lig","Türkiye","Mariano","https://www.transfermarkt.com/mariano/profil/spieler/54155","Right-Back",32,"Brazil",46,39,0,3138,2018
"Galatasaray","Süper Lig","Türkiye","Christian Luyindama","https://www.transfermarkt.com/christian-luyindama/profil/spieler/262793","Centre-Back",24,"DR Congo",17,17,2,1511,2018
