"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"Shakhtar Donetsk","Premier Liga","Ukraine","Anatoliy Trubin","https://www.transfermarkt.com/anatoliy-trubin/profil/spieler/537844","Goalkeeper",16,"Ukraine",8,1,0,90,2018
"Shakhtar Donetsk","Premier Liga","Ukraine","Oleksiy Shevchenko","https://www.transfermarkt.com/oleksiy-shevchenko/profil/spieler/136537","Goalkeeper",26,"Ukraine",38,5,0,450,2018
"Shakhtar Donetsk","Premier Liga","Ukraine","Oleg Kudryk","https://www.transfermarkt.com/oleg-kudryk/profil/spieler/341485","Goalkeeper",21,"Ukraine",3,1,0,90,2018
"Shakhtar Donetsk","Premier Liga","Ukraine","Andriy Pyatov","https://www.transfermarkt.com/andriy-pyatov/profil/spieler/39996","Goalkeeper",34,"Ukraine",41,38,0,3450,2018
"Shakhtar Donetsk","Premier Liga","Ukraine","Mykola Matvienko","https://www.transfermarkt.com/mykola-matvienko/profil/spieler/289059","Centre-Back",22,"Ukraine",43,27,3,2080,2018
"Shakhtar Donetsk","Premier Liga","Ukraine","Dodô","https://www.transfermarkt.com/dodo/profil/spieler/401529","Right-Back",19,"Brazil",0,0,0,0,2018
"Shakhtar Donetsk","Premier Liga","Ukraine","Vitão","https://www.transfermarkt.com/vitao/profil/spieler/428783","Centre-Back",18,"Brazil",0,0,0,0,2018
"Shakhtar Donetsk","Premier Liga","Ukraine","Valeriy Bondar","https://www.transfermarkt.com/valeriy-bondar/profil/spieler/396394","Centre-Back",19,"Ukraine",3,1,0,15,2018
"Shakhtar Donetsk","Premier Liga","Ukraine","Ivan Ordets","https://www.transfermarkt.com/ivan-ordets/profil/spieler/118850","Centre-Back",25,"Ukraine",3,2,0,114,2018
"Shakhtar Donetsk","Premier Liga","Ukraine","Ismaily","https://www.transfermarkt.com/ismaily/profil/spieler/124028","Left-Back",28,"Brazil",40,39,2,3527,2018
"Shakhtar Donetsk","Premier Liga","Ukraine","Sergiy Kryvtsov","https://www.transfermarkt.com/sergiy-kryvtsov/profil/spieler/74089","Centre-Back",27,"Ukraine",36,32,0,2782,2018
