"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played","Year"
"CA Peñarol","Primera División Apertura","Uruguay","Kevin Dawson","https://www.transfermarkt.com/kevin-dawson/profil/spieler/131110","Goalkeeper",26,"Uruguay",46,44,0,3989,2018
"CA Peñarol","Primera División Apertura","Uruguay","Thiago Cardozo","https://www.transfermarkt.com/thiago-cardozo/profil/spieler/294843","Goalkeeper",21,"Uruguay",50,6,0,540,2018
"CA Peñarol","Primera División Apertura","Uruguay","Gastón Guruceaga","https://www.transfermarkt.com/gaston-guruceaga/profil/spieler/266070","Goalkeeper",23,"Uruguay",0,0,0,0,2018
"CA Peñarol","Primera División Apertura","Uruguay","Adriano Freitas","https://www.transfermarkt.com/adriano-freitas/profil/spieler/438014","Goalkeeper",21,"Uruguay",4,0,0,0,2018
"CA Peñarol","Primera División Apertura","Uruguay","Giovanni González","https://www.transfermarkt.com/giovanni-gonzalez/profil/spieler/339699","Right-Back",23,"Uruguay",41,39,0,2889,2018
"CA Peñarol","Primera División Apertura","Uruguay","Gabriel Rojas","https://www.transfermarkt.com/gabriel-rojas/profil/spieler/471639","Left-Back",21,"Argentina",19,19,0,1554,2018
"CA Peñarol","Primera División Apertura","Uruguay","Cristian Lema","https://www.transfermarkt.com/cristian-lema/profil/spieler/147128","Centre-Back",28,"Argentina",21,20,3,1793,2018
"CA Peñarol","Primera División Apertura","Uruguay","Fabricio Formiliano","https://www.transfermarkt.com/fabricio-formiliano/profil/spieler/197231","Centre-Back",25,"Uruguay",45,44,4,3936,2018
"CA Peñarol","Primera División Apertura","Uruguay","Juan Izquierdo","https://www.transfermarkt.com/juan-izquierdo/profil/spieler/532422","Centre-Back",20,"Uruguay",17,5,0,312,2018
"CA Peñarol","Primera División Apertura","Uruguay","Rodrigo Abascal","https://www.transfermarkt.com/rodrigo-abascal/profil/spieler/367652","Centre-Back",24,"Uruguay",23,14,0,1260,2018
"CA Peñarol","Primera División Apertura","Uruguay","Enzo Martínez","https://www.transfermarkt.com/enzo-martinez/profil/spieler/578737","Centre-Back",20,"Uruguay",47,20,1,1720,2018
"CA Peñarol","Primera División Apertura","Uruguay","Yeferson Quintana","https://www.transfermarkt.com/yeferson-quintana/profil/spieler/454256","Centre-Back",22,"Uruguay",1,0,0,0,2018
"CA Peñarol","Primera División Apertura","Uruguay","Hernán Petryk","https://www.transfermarkt.com/hernan-petryk/profil/spieler/227776","Centre-Back",23,"Uruguay",0,0,0,0,2018
"CA Peñarol","Primera División Apertura","Uruguay","Lucas Hernández","https://www.transfermarkt.com/lucas-hernandez/profil/spieler/250144","Left-Back",25,"Uruguay",18,17,2,1552,2018
"CA Peñarol","Primera División Apertura","Uruguay","Ezequiel Busquets","https://www.transfermarkt.com/ezequiel-busquets/profil/spieler/589687","Right-Back",17,"Uruguay",23,13,0,1031,2018
